,names,scores,logfoldchanges,pvals,pvals_adj
0,RPL30,175.85681,1.0749156,0.0,0.0
1,RPL21,171.7152,1.0581903,0.0,0.0
2,RPS13,171.61868,0.9786523,0.0,0.0
3,RPS27,171.13884,1.1357975,0.0,0.0
4,RPL9,168.09663,1.0464687,0.0,0.0
5,RPL32,166.41101,1.0396132,0.0,0.0
6,RPL11,165.72452,0.87757415,0.0,0.0
7,RPS25,165.59305,1.0868539,0.0,0.0
8,RPS3A,165.04768,1.1247759,0.0,0.0
9,RPL35A,164.66049,0.8952452,0.0,0.0
10,RPL34,163.4414,0.9346364,0.0,0.0
11,RPS16,161.18346,0.942938,0.0,0.0
12,RPL13,160.93857,1.0032567,0.0,0.0
13,RPS27A,160.93564,1.0143744,0.0,0.0
14,RPS6,159.70026,1.1078417,0.0,0.0
15,RPS15A,159.5306,0.96330345,0.0,0.0
16,RPS20,158.73206,1.0466735,0.0,0.0
17,RPL19,158.49376,0.84381413,0.0,0.0
18,RPS14,158.43843,0.86503905,0.0,0.0
19,RPS12,157.94174,1.1144003,0.0,0.0
20,RPL22,156.24037,0.93191123,0.0,0.0
21,RPL38,155.90547,0.8955443,0.0,0.0
22,RPL5,155.8213,0.9976955,0.0,0.0
23,RPLP2,155.52719,0.9153228,0.0,0.0
24,RPS23,155.10298,0.9231784,0.0,0.0
25,RPS29,154.58492,1.0509872,0.0,0.0
26,RPL23,154.24565,0.905914,0.0,0.0
27,TPT1,152.76195,0.7530537,0.0,0.0
28,RPL7,151.49672,0.8370168,0.0,0.0
29,RPL37,151.37984,0.7794057,0.0,0.0
30,RPS8,150.45175,0.98889416,0.0,0.0
31,RPS28,150.2321,0.79017776,0.0,0.0
32,RPL24,149.97871,0.8579694,0.0,0.0
33,RPL39,147.9586,0.8112772,0.0,0.0
34,RPL10,147.81294,0.8488575,0.0,0.0
35,TCF7,146.92793,2.4399254,0.0,0.0
36,RPS5,146.28258,1.2685171,0.0,0.0
37,LDHB,146.12466,1.8713022,0.0,0.0
38,RPL18,144.73517,0.8210895,0.0,0.0
39,RPL31,144.72682,0.959104,0.0,0.0
40,RPL14,143.405,0.90764445,0.0,0.0
41,RPL36,142.36588,0.900605,0.0,0.0
42,RPS21,141.39723,0.9092645,0.0,0.0
43,EEF1A1,141.27077,0.6668287,0.0,0.0
44,RPS3,139.46484,0.9493514,0.0,0.0
45,RPS15,137.47519,0.70350343,0.0,0.0
46,RPL10A,137.01654,0.99705225,0.0,0.0
47,RPL18A,136.91658,0.84154135,0.0,0.0
48,RPL29,136.89879,0.7023526,0.0,0.0
49,RPL37A,136.5132,0.66489404,0.0,0.0
50,RPL3,136.45404,0.9388383,0.0,0.0
51,SARAF,135.99324,1.270701,0.0,0.0
52,EEF1B2,135.98486,1.1578104,0.0,0.0
53,RPL13A,134.29718,0.83910656,0.0,0.0
54,RPS18,134.27339,0.89648193,0.0,0.0
55,RPL27A,133.78423,0.76668966,0.0,0.0
56,CCR7,133.76854,2.99114,0.0,0.0
57,LEF1,133.67522,2.8000014,0.0,0.0
58,RPS4X,131.85736,0.8443001,0.0,0.0
59,RPSA,130.79796,1.1207365,0.0,0.0
60,RPL28,130.68837,0.6069268,0.0,0.0
61,RPL27,130.24097,0.73320746,0.0,0.0
62,TOMM7,129.04912,0.9083381,0.0,0.0
63,RPL12,127.35168,0.73931634,0.0,0.0
64,RPL23A,126.60716,0.82545286,0.0,0.0
65,RPS10,126.34341,1.0126464,0.0,0.0
66,RPS2,125.36615,0.67940027,0.0,0.0
67,NOSIP,125.28222,1.9393587,0.0,0.0
68,NPM1,124.85008,1.0685776,0.0,0.0
69,RPL6,122.76811,0.6398974,0.0,0.0
70,IL7R,122.7077,2.2791378,0.0,0.0
71,RPL41,121.56886,0.58691806,0.0,0.0
72,LTB,121.451096,1.9795159,0.0,0.0
73,RPS9,120.47788,0.5836156,0.0,0.0
74,RPL7A,120.044914,0.63998944,0.0,0.0
75,RPL26,118.51636,0.545131,0.0,0.0
76,RPS7,118.065315,0.6407189,0.0,0.0
77,NOP53,117.314384,1.059086,0.0,0.0
78,RPLP1,117.014465,0.5855362,0.0,0.0
79,PIK3IP1,116.75454,2.0028412,0.0,0.0
80,NACA,114.21955,0.55939186,0.0,0.0
81,CD3G,112.14484,1.7981061,0.0,0.0
82,C12orf57,112.06924,1.4586521,0.0,0.0
83,RCAN3,111.97594,2.0817719,0.0,0.0
84,EIF3E,111.96274,0.98043835,0.0,0.0
85,RPL35,111.66778,0.66868526,0.0,0.0
86,MAL,111.60816,2.6631515,0.0,0.0
87,CD3D,110.87561,1.7658274,0.0,0.0
88,UBA52,110.22123,0.4911341,0.0,0.0
89,RPS19,110.17776,0.7115921,0.0,0.0
90,RACK1,109.654,0.60911864,0.0,0.0
91,GIMAP7,109.25843,1.4696529,0.0,0.0
92,TRABD2A,108.563484,2.754234,0.0,0.0
93,RPL15,108.51016,0.5414221,0.0,0.0
