,names,scores,logfoldchanges,pvals,pvals_adj
0,IL7R,88.92561,3.2429924,0.0,0.0
1,IL32,72.6106,2.237238,0.0,0.0
2,LTB,65.37279,2.0458524,0.0,0.0
3,ZFP36L2,63.6204,1.2752781,0.0,0.0
4,TRAC,61.836,1.8999181,0.0,0.0
5,KLRB1,60.44029,2.6170778,0.0,0.0
6,TPT1,59.562717,0.565309,0.0,0.0
7,RPS3,58.810665,0.7856393,0.0,0.0
8,CD69,57.14032,1.784413,0.0,0.0
9,CD2,56.897705,1.6693892,0.0,0.0
10,RPL41,56.845566,0.5295085,0.0,0.0
11,RPS29,56.547173,0.78775555,0.0,0.0
12,GZMK,54.67724,3.4655025,0.0,0.0
13,RPLP0,54.418327,0.802152,0.0,0.0
14,RPL3,53.747833,0.74809074,0.0,0.0
15,RPL10,53.146374,0.6072253,0.0,0.0
16,RPS27A,52.962135,0.67127776,0.0,0.0
17,RPL36,52.74618,0.6514531,0.0,0.0
18,RORA,52.597923,1.7483156,0.0,0.0
19,SYNE2,52.545567,1.6328275,0.0,0.0
20,RPS25,52.19158,0.69539756,0.0,0.0
21,EEF1A1,52.13031,0.49235246,0.0,0.0
22,RPS15A,51.88999,0.64306366,0.0,0.0
23,RPL14,51.625065,0.64441514,0.0,0.0
24,RPL23A,51.52,0.66652477,0.0,0.0
25,ARL4C,51.1005,1.3305467,0.0,0.0
26,CXCR4,50.98456,1.3128294,0.0,0.0
27,RPSA,50.826313,0.8757639,0.0,0.0
28,LYAR,50.591244,1.7557358,0.0,0.0
29,RPL34,50.57867,0.57542837,0.0,0.0
30,CD3E,50.065777,1.4591829,0.0,0.0
31,CD3D,50.044956,1.5132246,0.0,0.0
32,RPS14,49.875996,0.5128169,0.0,0.0
33,RPS12,49.81507,0.7103726,0.0,0.0
34,LDHB,48.97288,1.1985401,0.0,0.0
35,RPS18,48.95863,0.65641165,0.0,0.0
36,CD3G,48.27707,1.457633,0.0,0.0
37,RPS21,47.941494,0.61882746,0.0,0.0
38,RPS28,47.778717,0.49420705,0.0,0.0
39,RPL30,47.428368,0.5873149,0.0,0.0
40,RPS19,47.126526,0.6063719,0.0,0.0
41,RPS4X,46.955624,0.59401995,0.0,0.0
42,RPL13A,46.883915,0.60479975,0.0,0.0
43,RPS2,45.98506,0.5023579,0.0,0.0
44,RPL6,45.848427,0.46644634,0.0,0.0
45,RPL27A,45.663185,0.5327168,0.0,0.0
46,RPL35,45.603237,0.5344825,0.0,0.0
47,RPL39,45.57802,0.49036667,0.0,0.0
48,RPS7,45.575138,0.47927317,0.0,0.0
49,RPL13,44.94353,0.5965718,0.0,0.0
50,RPLP1,44.89391,0.44064388,0.0,0.0
51,RPL37,44.495064,0.45892712,0.0,0.0
52,CCL5,44.323475,1.5298381,0.0,0.0
53,RPL32,44.230347,0.56272733,0.0,0.0
54,RPL7A,43.955585,0.4655401,0.0,0.0
55,RPLP2,43.811893,0.514785,0.0,0.0
56,RPL11,43.72848,0.4661101,0.0,0.0
57,RPL9,43.659866,0.54006284,0.0,0.0
58,RPS6,43.44783,0.62104857,0.0,0.0
59,RPL35A,43.38892,0.45923126,0.0,0.0
60,RPL18,43.320553,0.49159417,0.0,0.0
61,SPOCK2,42.856358,1.4079262,0.0,0.0
62,ETS1,42.815674,1.148515,0.0,0.0
63,CALM1,42.75549,0.68388397,0.0,0.0
64,RPS20,42.744755,0.57534844,0.0,0.0
65,RPL38,42.59586,0.47444072,0.0,0.0
66,RPS27,42.551666,0.6680662,0.0,0.0
67,TOMM7,41.74952,0.5607882,0.0,0.0
68,RPL36AL,41.729637,0.5460748,0.0,0.0
69,KLF2,41.438206,0.81989753,0.0,0.0
70,TRBC2,41.292267,1.2592752,0.0,0.0
71,RPL19,40.8931,0.4473528,0.0,0.0
72,RPL10A,40.881668,0.61317486,0.0,0.0
73,RPL5,40.568546,0.52318144,0.0,0.0
74,RPL28,40.563293,0.36831567,0.0,0.0
75,RPS3A,40.52204,0.539641,0.0,0.0
76,RPL24,40.249123,0.44414768,0.0,0.0
77,RPS15,40.009857,0.41143855,0.0,0.0
78,RPS8,39.519318,0.52451235,0.0,0.0
79,EEF1B2,39.28044,0.6700021,0.0,0.0
80,HINT1,38.650555,0.6587928,0.0,0.0
81,RPS16,38.629112,0.45187303,0.0,0.0
82,RPL12,38.231915,0.4401999,0.0,0.0
83,AQP3,38.074017,2.0379028,0.0,0.0
84,RPL18A,37.6682,0.47345763,1.647604177274e-310,4.250565299801246e-308
85,LEPROTL1,37.5029,0.97629744,8.261469669871904e-308,2.0832569157004806e-305
86,PIK3R1,37.448566,1.0590482,6.338553196792571e-307,1.5864357993584271e-304
87,RPS10,37.397133,0.5735898,4.350076335370199e-306,1.0806878528566352e-303
88,BTG1,37.216938,0.5700332,3.632008312160643e-303,8.826832954582872e-301
89,PBXIP1,37.20378,1.3799077,5.927866583237683e-303,1.4302790609253628e-300
90,RPS26,36.998528,0.713919,1.2091966929502518e-299,2.8761729566074857e-297
91,DNAJB1,36.899563,1.378568,4.696323678341708e-298,1.109192278339607e-295
92,RPL36A,36.686455,0.6104325,1.2009618604652119e-294,2.758757457279608e-292
93,ODF2L,36.00522,1.3886847,6.931242349581105e-284,1.5497333728016742e-281
94,FAM107B,35.93467,0.8301672,8.785218417770112e-283,1.951249372815722e-280
95,EML4,35.535347,1.1165767,1.3991760101831783e-276,3.0274558083563507e-274
