,names,scores,logfoldchanges,pvals,pvals_adj
0,RPL36,58.828957,0.9473565,0.0,0.0
1,RPL32,55.95163,0.88878626,0.0,0.0
2,RPL30,54.054836,0.84090483,0.0,0.0
3,RPS6,53.783424,0.9488356,0.0,0.0
4,RPL12,53.780552,0.7978463,0.0,0.0
5,RPL11,52.294144,0.7027364,0.0,0.0
6,RPL13,51.830578,0.8255819,0.0,0.0
7,RPS12,50.04229,0.8980639,0.0,0.0
8,RPS15,49.99258,0.65515393,0.0,0.0
9,RPL34,49.8263,0.72535384,0.0,0.0
10,RPL39,48.946194,0.68138885,0.0,0.0
11,RPLP2,48.88082,0.73238456,0.0,0.0
12,RPL37,48.87716,0.6441411,0.0,0.0
13,RPS3A,48.61899,0.8331812,0.0,0.0
14,RPS8,48.43902,0.8122577,0.0,0.0
15,RPS20,47.994415,0.8096842,0.0,0.0
16,RPL18A,47.85392,0.74407333,0.0,0.0
17,RPL5,47.79591,0.78325117,0.0,0.0
18,RPS28,47.67813,0.6363529,0.0,0.0
19,RPL9,47.155407,0.7474465,0.0,0.0
20,RPS16,46.770596,0.69728994,0.0,0.0
21,TRAC,46.75504,1.8927587,0.0,0.0
22,RPS3,46.705654,0.8102715,0.0,0.0
23,RPL22,46.653934,0.7075315,0.0,0.0
24,RPS27,46.474483,0.8330066,0.0,0.0
25,RPS15A,46.35277,0.72810334,0.0,0.0
26,RPL38,46.012516,0.6714367,0.0,0.0
27,LDHB,45.976917,1.4718871,0.0,0.0
28,RPS29,45.757523,0.81570464,0.0,0.0
29,RPL14,45.638565,0.7377305,0.0,0.0
30,RPL10,45.617577,0.66991967,0.0,0.0
31,RPL24,45.392582,0.65877265,0.0,0.0
32,RPS18,45.187317,0.7634208,0.0,0.0
33,RPL37A,44.869682,0.55725974,0.0,0.0
34,RPL10A,44.744728,0.82831174,0.0,0.0
35,RPL8,44.707485,0.63447416,0.0,0.0
36,RPL35A,44.49061,0.6141152,0.0,0.0
37,RPL28,43.528145,0.5193384,0.0,0.0
38,TPT1,43.344193,0.5313375,0.0,0.0
39,RPS7,43.300777,0.5923368,0.0,0.0
40,RPL21,43.162052,0.66540027,0.0,0.0
41,C12orf57,43.137672,1.4275022,0.0,0.0
42,RPS25,43.03177,0.7395708,0.0,0.0
43,RPS13,42.55485,0.61910766,0.0,0.0
44,RPS27A,42.456066,0.69417524,0.0,0.0
45,RPL41,42.407574,0.5173217,0.0,0.0
46,RPL7,42.31006,0.59545976,0.0,0.0
47,RPL35,42.300014,0.63487136,0.0,0.0
48,RPS5,42.20168,0.9343047,0.0,0.0
49,RPL19,42.042286,0.5810427,0.0,0.0
50,RPL18,41.94022,0.6112532,0.0,0.0
51,RPL3,41.730778,0.7495798,0.0,0.0
52,RPS10,41.70136,0.8310041,0.0,0.0
53,RPL6,41.446907,0.5521349,0.0,0.0
54,RPL29,41.380745,0.54528385,0.0,0.0
55,RPL13A,41.299294,0.66989344,0.0,0.0
56,RTKN2,40.639107,5.091299,0.0,0.0
57,RPS21,40.47564,0.67214435,0.0,0.0
58,LEF1,40.161755,2.088745,0.0,0.0
59,CD3D,40.078106,1.5793055,0.0,0.0
60,RPL26,39.493507,0.46228763,0.0,0.0
61,CD3G,38.201916,1.5239336,0.0,0.0
