,names,scores,logfoldchanges,pvals,pvals_adj
0,NUCB2,25.324322,2.9681525,1.7241431501399688e-141,5.782431296939427e-137
1,GZMK,23.680147,4.799527,5.775846193320129e-124,9.685516481578525e-120
2,TCF7,20.87201,2.3098536,9.62037244590582e-97,1.0754935036359646e-92
3,CD27,20.75301,2.9418807,1.1515283098115824e-95,9.654989113615212e-92
4,CD3D,19.540154,2.0323193,5.003130023749228e-85,3.355899494730032e-81
5,SEPT6,18.736494,1.7218219,2.4953994499264247e-78,1.1955815250233204e-74
6,TRAC,17.985758,1.996066,2.5191877941150426e-72,9.387613359892256e-69
7,LDHB,17.90141,1.5223073,1.1497695642976519e-71,3.856097164741464e-68
8,FCMR,17.078587,2.2628381,2.1424396562143607e-65,6.532103744556111e-62
9,CD3G,16.980444,1.7931857,1.1461521606127327e-64,3.203304263552486e-61
10,LCK,16.724953,1.8163729,8.624494552371005e-63,2.2249869099801444e-59
11,CD3E,16.527586,1.6553468,2.3225820979595884e-61,5.563911314383477e-58
12,ISG20,16.466188,1.7981547,6.41895082942973e-61,1.4351918194494287e-57
13,GYPC,16.317642,1.6424499,7.393564028259874e-60,1.5497834398736227e-56
14,GPR183,15.593716,2.179845,8.032264864967075e-55,1.4099238825619522e-51
15,SARAF,15.590796,0.98166907,8.407918674709e-55,1.4099238825619522e-51
16,ETS1,15.535759,1.435449,1.9870579672143094e-54,3.173426195449215e-51
17,TRBC2,15.399945,1.7427315,1.6380912048084114e-53,2.4971955830392954e-50
18,LYAR,15.227475,2.0099094,2.3239411311348323e-52,3.3887103328695656e-49
19,CLEC2D,15.124775,1.5121309,1.1118010876886245e-51,1.551428367022573e-48
20,MALAT1,15.045931,0.5000495,3.671340148705936e-51,4.7357463810499874e-48
21,LEF1,14.546904,1.9391375,6.110707867701166e-48,6.61099743441812e-45
22,FOXP1,14.278125,1.250128,2.9955348069600525e-46,3.13950769861957e-43
23,C12orf57,14.185543,1.2525553,1.1259055854392031e-45,1.1442612583169696e-42
24,PIK3IP1,13.987888,1.5718286,1.8481725914122029e-44,1.675243577588715e-41
25,AES,13.616434,0.95684147,3.198074435450705e-42,2.6160248881986767e-39
26,LIMD2,13.525391,0.88917106,1.1075404336831199e-41,8.638300247642901e-39
27,RCAN3,12.919958,1.5943838,3.473315749040123e-38,2.284079678260934e-35
28,FAM107B,12.5348625,1.0649862,4.8119510994534763e-36,2.8312844907626437e-33
29,IKZF3,12.532151,1.5830156,4.9793269944382926e-36,2.879252909301232e-33
30,MGAT4A,12.432648,1.5269641,1.737820833304544e-35,9.40048953344642e-33
31,LEPROTL1,12.180748,1.1505759,3.936529636516028e-34,1.9704974768578287e-31
32,NOSIP,12.105162,1.4311076,9.91738371511195e-34,4.820423406339486e-31
33,SPTBN1,11.971851,1.896332,4.9902320080617526e-33,2.357216916709508e-30
34,LAT,11.962128,1.5975697,5.610583107807049e-33,2.5434859168379268e-30
35,FYB1,11.940204,0.7882662,7.30442153122073e-33,3.266342524187745e-30
36,BCL11B,11.832962,1.4784935,2.636690050993954e-32,1.1337091144901952e-29
37,ARHGDIB,11.788081,0.5823517,4.4967174866733524e-32,1.8618630996055665e-29
38,PNISR,11.781258,0.6485939,4.87603238830495e-32,1.9942972468167246e-29
39,SLFN5,11.767114,1.3949239,5.7663491903533e-32,2.302283561262726e-29
40,MT2A,11.758737,1.4761251,6.368028364987244e-32,2.5125992388816728e-29
41,RIPOR2,11.37599,0.74383605,5.5074314259487794e-30,2.0523137240385573e-27
42,ATM,11.306773,0.9412296,1.2147554629353829e-29,4.334092416587965e-27
43,TRAF3IP3,11.234024,0.87687725,2.775425995189301e-29,9.696066356943622e-27
44,NPM1,11.131705,0.62524045,8.793681781669296e-29,3.0404381401404625e-26
45,IL32,11.1130905,1.2034656,1.0834404651493113e-28,3.7077986040997554e-26
46,SH2D1A,11.032371,2.2216032,2.6673986205390676e-28,8.945921493563925e-26
47,GMFG,10.983962,0.6249972,4.564550215877747e-28,1.5008420111775281e-25
48,SESN3,10.974365,2.1363876,5.076090696602056e-28,1.6528342697343665e-25
49,LINC00861,10.915415,1.4294969,9.728422804561844e-28,3.1372292694172607e-25
50,GIMAP7,10.799618,1.0272216,3.456389454857268e-27,1.063489812266083e-24
51,SRSF5,10.660687,0.5162785,1.554447347236849e-26,4.533309141880821e-24
52,DGKA,10.634572,1.6292201,2.0577060365594542e-26,5.7992726936244515e-24
53,FAM102A,10.458727,1.9275937,1.3363897437334546e-25,3.5571300972486193e-23
54,MCUB,10.455974,1.2611313,1.375778882333657e-25,3.633139539819385e-23
55,TIGIT,10.344832,2.7484953,4.416894161735391e-25,1.1394907415098578e-22
56,TTN,10.050922,2.5543077,9.10112125989673e-24,2.119676422322337e-21
57,CCR7,10.009523,1.5595306,1.3841832586628165e-23,3.1580093965328937e-21
