,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,MCC
ASDC,0.9999690909652892,1.0,0.9333333333333333,0.9655172413793104,0.9999979384418743,0.9958333333333333,0.9660768460179819
B_intermediate,0.9856891169288783,0.5751633986928104,0.18106995884773663,0.27543035993740217,0.9828144392828165,0.4333439439488693,0.31742523233880526
B_memory,0.9912836522115415,0.8109452736318408,0.7442922374429224,0.7761904761904762,0.995257169134172,0.8663382333595144,0.7724922652776153
B_naive,0.9939418291966742,0.9298469387755102,0.944300518134715,0.9370179948586118,0.998987115500366,0.9754806852365896,0.9338667144604316
CD14_Mono,0.9898927456495533,0.9776614310645724,0.9841883345045678,0.9809140255646996,0.9987740915162245,0.9951550858102691,0.9740504546602915
CD16_Mono,0.9932618304330356,0.9184,0.9082278481012658,0.9132856006364359,0.9985119029442219,0.9543027154138713,0.9097957105532148
CD4_CTL,0.9923036503569993,0.69140625,0.5100864553314121,0.5870646766169154,0.9910775915394825,0.6403349052999674,0.5901540496152468
CD4_Naive,0.965474608227985,0.8466919265520256,0.8309496567505721,0.8387469322939223,0.987831944372745,0.9052464988263732,0.8194618019337857
CD4_Proliferating,0.9995054554446264,0.6071428571428571,0.7727272727272727,0.68,0.9845138777587511,0.7333498271341562,0.6847114745689432
CD4_TCM,0.9466510060890798,0.7542648253452477,0.6235728676964406,0.6827205882352941,0.968945498192418,0.7498592587737339,0.6574123722360188
CD4_TEM,0.9741291379470219,0.5381526104417671,0.15654205607476634,0.2425339366515837,0.9552385422257986,0.3692282419330479,0.28078500401462625
CD8_Naive,0.9814545791734924,0.897239263803681,0.8147632311977716,0.854014598540146,0.9879586732673883,0.9155367991558245,0.8452563019746199
CD8_Proliferating,0.9994436373752048,0.0,0.0,0.0,0.9977303575417075,0.10458641978497847,0.0
CD8_TCM,0.9882545668098786,0.7571801566579635,0.5025996533795494,0.6041666666666666,0.9805400694811688,0.6591992576379352,0.6114382799756544
CD8_TEM,0.9795382190214199,0.8865411116214975,0.8230277185501066,0.8536045997346308,0.9919248541540308,0.9243759581758675,0.8432941674461067
Doublet,0.9966309152165178,0.7727272727272727,0.14049586776859505,0.2377622377622378,0.9261726450178357,0.4366945035461475,0.32862392076016333
Eryth,0.9997218186876023,0.6818181818181818,0.8823529411764706,0.7692307692307693,0.9999035858776959,0.8487572131952086,0.7755011998997595
HSPC,0.9999381819305783,0.9848484848484849,0.9848484848484849,0.9848484848484849,0.9999985921719127,0.9993247987900393,0.9848175126305643
ILC,0.9995363644793374,0.7391304347826086,0.6538461538461539,0.693877551020408,0.9983355185353515,0.6494903097638653,0.6949521144412971
MAIT,0.99378728402312,0.8358490566037736,0.7953321364452424,0.8150873965041399,0.9975400855498688,0.890470359549012,0.8121891672029018
NK,0.9855345717553241,0.9254373386865501,0.9394468704512373,0.9323894828084368,0.9974752885058821,0.9750304903131396,0.9243235717719989
NK_CD56bright,0.9979290946743733,0.8505747126436781,0.783068783068783,0.8154269972451791,0.9991286390055201,0.9110098462932575,0.8150915537955368
NK_Proliferating,0.9985472753685902,0.8058252427184466,0.7545454545454545,0.7793427230046948,0.9989971043750159,0.8880309920802556,0.7790383403990896
Plasmablast,0.9998145457917349,1.0,0.9178082191780822,0.9571428571428571,0.9985877000899662,0.9725015648757243,0.95793405543298
Platelet,0.998392730195036,0.965675057208238,0.9193899782135077,0.9419642857142858,0.9813689081465798,0.9579110328498328,0.9414417177555625
Treg,0.9946527369950237,0.8923444976076556,0.7445109780439122,0.8117519042437433,0.9942131309401792,0.87902688294213,0.8124783946584877
cDC1,0.9999690909652892,0.967741935483871,1.0,0.9836065573770492,0.9999979374851757,0.9978136200716845,0.98372353624001
cDC2,0.9978672766049517,0.9517819706498952,0.908,0.9293756397134085,0.9994157536181836,0.9766469328931313,0.9285588260807012
dnT,0.9978672766049517,0.625,0.07042253521126761,0.12658227848101267,0.926783425289984,0.2458464208357751,0.20931434491386078
gdT,0.9918400148363367,0.8710191082802548,0.7493150684931507,0.8055964653902797,0.9854270712447459,0.8620080705934773,0.8038216070671419
pDC,0.9997836367570241,0.9714285714285714,0.9883720930232558,0.9798270893371757,0.9999963867167034,0.9993388600971881,0.9797553452135088
