,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,MCC
ASDC,0.9999319995503975,0.9482142857142858,0.9075,0.9268075639599556,0.9999670149552358,0.9665492628149781,0.9272986892102175
B_intermediate,0.9902265032254387,0.7501391568452925,0.5273430172129693,0.6163917881706051,0.9927168277762259,0.7061306894679996,0.6228157466627067
B_memory,0.9963836198182004,0.9198074629598111,0.9010654490106547,0.9098023509221367,0.9988871201397241,0.9648783287684021,0.9082872882481418
B_naive,0.9952585240758605,0.9507472280229055,0.9502446280880728,0.9502772137944866,0.9993457144425545,0.9859744559925072,0.9479085601849698
CD14_Mono,0.9895835882335083,0.9766247453105776,0.9841180604356993,0.9803409377412906,0.9987258480849898,0.9943096520777616,0.9732839596279058
CD16_Mono,0.9936512538887372,0.9172849724788634,0.9213607594936709,0.9191572828487239,0.9985601544821309,0.9537889472466136,0.9159432270944692
CD4_CTL,0.9962414403604061,0.8551570702573603,0.7851618139057274,0.8171151026697296,0.9975042162008506,0.9003797755509708,0.8167704890316088
CD4_Naive,0.971983925207718,0.8753743266147129,0.8689284954315253,0.8711781028266845,0.9917010984253579,0.9368046235784456,0.8560800884234123
CD4_Proliferating,0.9996661805143269,0.8003725490196079,0.7047619047619047,0.7357498605849662,0.9998179821615789,0.8640846810676355,0.7438474380404061
CD4_TCM,0.9637929543864276,0.8244973518415122,0.7835963790448058,0.7998500255856713,0.9869913335085059,0.8803117691809703,0.7825092364524597
CD4_TEM,0.9787468241043266,0.6765568149245351,0.3890781251703944,0.4920481317224953,0.9742849907383817,0.5887955163400128,0.5023191420526054
CD8_Naive,0.991363977676951,0.9497115994572874,0.9196708960440851,0.9341702078082559,0.996237690395815,0.97597989973663,0.9298475671615689
CD8_Proliferating,0.9994869067754468,0.5650793650793651,0.39415204678362575,0.4580220977279801,0.9990604343876495,0.5522426061122637,0.46830031489686197
CD8_TCM,0.9904614210610616,0.803323771725202,0.6364908290005777,0.7054052214015755,0.9869243131298091,0.7842843998945573,0.7080067471652249
CD8_TEM,0.9807435630330147,0.8853194522843101,0.8458211681817438,0.8639591415120158,0.9932087366694813,0.9354299248441802,0.8545326653863168
Doublet,0.9968843496199489,0.8039338870076989,0.22644628099173553,0.348432623408973,0.9126517500108916,0.4229828663202686,0.42121123030262597
Eryth,0.9998578182492505,0.8775816993464052,0.8566176470588236,0.8601558116758012,0.9993453849106435,0.9237920835260377,0.8635398097553523
HSPC,0.9999567269692455,0.9969696969696968,0.9817249417249417,0.9891935341789992,0.9999927890323406,0.9974292324206981,0.9892490481846442
ILC,0.9998207264521997,0.9311439518336069,0.8478632478632478,0.883446424851442,0.9934806851775605,0.9309011165496333,0.8863805249413785
MAIT,0.9941952441099868,0.8486841077401112,0.808162303191558,0.8266907079243063,0.9978440664661316,0.8951475645492643,0.8246352919338099
NK,0.9866101163558534,0.9327189238259427,0.9420607013180126,0.9373155494635725,0.9980830302549849,0.9829973016808038,0.9298668783861089
NK_CD56bright,0.9984669011778848,0.8886694782437388,0.8430316334571654,0.8648397960605992,0.9995769381577979,0.9415462538207526,0.8645800946477422
NK_Proliferating,0.9987512660169411,0.8656643554127891,0.7552460383653045,0.8032843155941194,0.9993210137172909,0.896621604612954,0.8062492680037927
Plasmablast,0.9996909071688569,0.9660189927443448,0.8989633469085524,0.9290616511655779,0.9982080997603873,0.9518837379866737,0.9306263877820576
Platelet,0.9985287221135005,0.9700692026998299,0.9249621828352884,0.9465617548485122,0.9814841576864415,0.9553401987649419,0.946306137035662
Treg,0.9942447031514344,0.8676217112874509,0.7682483638301086,0.8066354146187553,0.9953402764520186,0.8967390967216706,0.8094966321469304
cDC1,0.999956727351405,0.9806451612903226,0.9733333333333334,0.9763589301121657,0.9997498169518092,0.9926408111814071,0.9766528228584004
cDC2,0.9974839890970901,0.9328281687845286,0.9024463073852296,0.9172443195870617,0.9994867086320559,0.9728132499036419,0.9161696376886983
dnT,0.9988069034258981,0.842202354626061,0.5784428794992175,0.6798243726548724,0.9815683208505233,0.7128498479784956,0.6942024982290941
gdT,0.9929650553566749,0.900118927895946,0.7752755698367063,0.8328402880088779,0.98762884403763,0.8778888914690078,0.8317857408708896
pDC,0.999876362714679,0.9884182788198579,0.988385535690281,0.988378372145089,0.9999955990373459,0.9991470424383138,0.988328116736696
