,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.09311372891215823,1.0,1.0,2561,0.998397273840609,0.9948292227064195,0.9726569672799529,0.9653518123667377,0.97680690399137,0.0009346975130029023,0.03100612387061119
1.4677992676220687e-05,0.07995200698080279,1.0,1.0,2199,0.9981642326751847,0.9944837243169071,0.9734376101056925,0.9709208400646203,0.977500677690431,0.0012634372105821967,0.020005371421575546
2.1544346900318854e-05,0.0737347294938918,1.0,1.0,2028,0.9983367611317565,0.9945172064203768,0.9737664020680078,0.9709364908503767,0.9777777777777777,0.0017303259810432792,0.016841871663928032
3.16227766016838e-05,0.06471785922047703,1.0,1.0,1780,0.9983963325318044,0.9949731245414423,0.9766265650795921,0.9741239892183289,0.9802007051803635,0.002352894516661763,0.02710249461233616
4.6415888336127784e-05,0.05795520651541594,1.0,1.0,1594,0.9986886492573666,0.9958944178010283,0.9772825940815718,0.9741518578352181,0.9807535917592843,0.0031971451826393604,0.019668376073241234
6.81292069057961e-05,0.04781122745782432,1.0,1.0,1315,0.9981466436478116,0.9948628013816647,0.9733889302503997,0.9724473257698542,0.977464023893565,0.004295468796044588,0.012728097848594189
9.999999999999991e-05,0.0441390343222804,1.0,1.0,1214,0.9984907861466885,0.9954151099587824,0.9768974544989846,0.9761904761904762,0.9804347826086957,0.00580289401113987,0.00982394814491272
0.00014677992676220703,0.03850349040139616,1.0,1.0,1059,0.9986837275570466,0.9963546239833143,0.9762837197680098,0.974622030237581,0.9799131378935938,0.007777176331728697,0.009183974005281925
0.0002154434690031884,0.03279522978475858,1.0,1.0,902,0.998771995428359,0.9967745786825956,0.9798746489718957,0.9752821063944116,0.982940698619009,0.010339394211769104,0.006499077193439007
0.00031622776601683783,0.027123327515997674,1.0,1.0,746,0.9987429493281098,0.9968056752634339,0.9829920828319513,0.981591770438549,0.9855939113889645,0.013649841770529747,0.005917599890381098
0.00046415888336127795,0.02163321698662013,1.0,1.0,595,0.9989242185092939,0.9967314854772799,0.984248205238294,0.9842476914720261,0.9866594064797168,0.017823824658989906,0.005192727316170931
0.0006812920690579617,0.01639761489237929,1.0,1.0,451,0.9988895245562187,0.9963950733483709,0.9826990869269692,0.9800215982721382,0.9853420195439739,0.022990968078374863,0.004238791763782501
0.0010000000000000002,0.011671029668411867,1.0,1.0,321,0.9995685040440778,0.9959865415243202,0.9864806578262127,0.9874727668845316,0.9885496183206107,0.029269099235534668,0.00359578849747777
0.0014677992676220694,0.007889761489237928,1.0,1.0,217,0.9996413882400731,0.9975794872126849,0.9867870372710132,0.9890770070999454,0.9888069888069888,0.03700447082519531,0.002039811108261347
0.0021544346900318843,0.00512652705061082,1.0,1.0,141,0.999638967731719,0.9968324642068791,0.9854862047783637,0.9890530925013684,0.9877015578026783,0.046749748289585114,0.002246215008199215
0.003162277660168382,0.003817626527050611,1.0,1.0,105,0.9996750064116577,0.9971311416769424,0.9877565308542737,0.9896288209606987,0.9896288209606987,0.05922409147024155,0.0019400077871978283
0.004641588833612781,0.002763234438627109,1.0,1.0,76,0.999650317226446,0.9970569749141439,0.9887160115500367,0.9912520503007107,0.9904397705544933,0.07523186504840851,0.0016880916664376855
0.006812920690579613,0.0017815590459569516,1.0,1.0,49,0.9996559112901977,0.9969395619999482,0.984830375901515,0.9895776193088316,0.987140902872777,0.09573797881603241,0.0012493692338466644
0.010000000000000004,0.0013089005235602095,1.0,1.0,36,0.9994950281682626,0.9959090561575766,0.978381477367817,0.9835616438356164,0.9816789718348372,0.12205803394317627,0.000904202286619693
0.014677992676220709,0.001127108784176847,1.0,1.0,31,0.9994571606597897,0.9955858564564548,0.9761090995295038,0.9824368825466521,0.9797482211275315,0.1556912064552307,0.0007781281019560993
0.02154434690031885,0.0008726003490401396,1.0,1.0,24,0.99937900513449,0.9959718826916435,0.9744488755694413,0.9839867476532302,0.9783145758989844,0.1980999857187271,0.0006977910525165498
0.0316227766016838,0.0006908086096567772,1.0,1.0,19,0.9980002297869264,0.9939318264796345,0.9712031792430489,0.9817578772802653,0.9755561658884921,0.2506871521472931,0.0005939864786341786
0.04641588833612786,0.0006180919139034322,1.0,1.0,17,0.9978806028851599,0.9934919470465786,0.9699261752323659,0.9795918367346939,0.974485596707819,0.3144303560256958,0.0004877200990449637
0.0681292069057962,0.0004363001745200698,1.0,1.0,12,0.9962764513152935,0.9819926320914281,0.9226496711086647,0.9457494407158836,0.9342541436464088,0.38856393098831177,0.0004277173720765859
0.10000000000000002,0.00029086678301337986,1.0,1.0,8,0.9937753131384763,0.9669102398704527,0.8958610574651247,0.9125205030071077,0.9117727396886096,0.47242748737335205,0.00036629181704483926
