,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.1736474694589878,1.0,1.0,4776,0.9854678526053725,0.9272857783886406,0.8558871656269452,0.8543046357615894,0.8682692307692308,0.0021066772751510143,0.023914432153105736
1.4677992676220687e-05,0.15950407213496218,1.0,1.0,4387,0.9867074356515486,0.9321810928546007,0.8661875787535359,0.8717454194792671,0.8776699029126214,0.0028865616768598557,0.03106153942644596
2.1544346900318854e-05,0.15528650378126818,1.0,1.0,4271,0.9862791195405197,0.9282015844977689,0.8619016506647286,0.8715953307392996,0.8737201365187712,0.003967445809394121,0.01927046850323677
3.16227766016838e-05,0.1427065154159395,1.0,1.0,3925,0.9871507397039757,0.9321111045663072,0.8704330423723223,0.8793774319066148,0.8815212091662603,0.005397984758019447,0.012830153107643127
4.6415888336127784e-05,0.1383435136707388,1.0,1.0,3805,0.9867932148518723,0.9320895703052549,0.8700883657563625,0.8740384615384615,0.8812409112942318,0.007351386826485395,0.016703849658370018
6.81292069057961e-05,0.12681791739383363,1.0,1.0,3488,0.9874285965104326,0.9362906423025852,0.8743624534176924,0.8855185909980431,0.8850855745721271,0.009928327053785324,0.015052665024995804
9.999999999999991e-05,0.1172193135543921,1.0,1.0,3224,0.9869513911619856,0.9351746925914091,0.8771202649324863,0.8963110667996012,0.8874629812438302,0.013333676382899284,0.012170359492301941
0.00014677992676220703,0.10951134380453752,1.0,1.0,3012,0.9868596346278901,0.9338372470650814,0.8715617036923576,0.8881188118811881,0.882439744220364,0.017787396907806396,0.010084173642098904
0.0002154434690031884,0.09900378126817917,1.0,1.0,2723,0.9895619247764142,0.937144781171164,0.8801617176617029,0.8960396039603961,0.8903098868666995,0.023487189784646034,0.007580756675451994
0.00031622776601683783,0.08784176847004072,1.0,1.0,2416,0.9897558758752221,0.9424235482673577,0.8821250199352321,0.8947885939036382,0.8921568627450981,0.030633028596639633,0.0055441102012991905
0.00046415888336127795,0.07428010471204188,1.0,1.0,2043,0.988283890523437,0.9405805595435941,0.8878815603351411,0.9121212121212121,0.8971684053651267,0.039312079548835754,0.005342516116797924
0.0006812920690579617,0.05624636416521233,1.0,1.0,1547,0.9878118149763614,0.9316848062878509,0.8679469448485142,0.8758486905916586,0.8792599805258032,0.049337975680828094,0.0036532364320009947
0.0010000000000000002,0.03759453170447935,1.0,1.0,1034,0.9854774431035888,0.9032057217044672,0.8538377541024939,0.8646543330087634,0.8663414634146341,0.06042609363794327,0.003568102605640888
0.0014677992676220694,0.022033158813263527,1.0,1.0,606,0.9923292964919027,0.9497736460197783,0.8925688885813461,0.9070227497527201,0.9016715830875124,0.07242999970912933,0.002462440636008978
0.0021544346900318843,0.01214368819080861,1.0,1.0,334,0.9929345238397929,0.9541220056809416,0.8939661172604348,0.9164149043303121,0.9027777777777778,0.08580775558948517,0.0019777107518166304
0.003162277660168382,0.007271669575334497,1.0,1.0,200,0.9933830023005598,0.9553635173478487,0.9017769750963291,0.9278455284552846,0.9098156452416541,0.10148065537214279,0.0018936183769255877
0.004641588833612781,0.00439936009307737,1.0,1.0,121,0.9931439981636204,0.9531631109069317,0.8940148266460326,0.9224489795918367,0.9026460309535695,0.12038832902908325,0.0016163215041160583
0.006812920690579613,0.003017742873763816,1.0,1.0,83,0.9919869826160399,0.9459756891216818,0.8860742794861757,0.918724279835391,0.8952380952380953,0.14347338676452637,0.0012297832872718573
0.010000000000000004,0.002254217568353694,1.0,1.0,62,0.9915067439937386,0.9408992922422368,0.8707593901445105,0.904320987654321,0.8812030075187971,0.17198340594768524,0.0010064702946692705
0.014677992676220709,0.0016724840023269343,1.0,1.0,46,0.9896573390819225,0.928796490606806,0.8672014567211019,0.9037267080745341,0.8778280542986425,0.20679453015327454,0.000837668776512146
0.02154434690031885,0.001272542175683537,1.0,1.0,35,0.9868005303946977,0.9195107013363084,0.8502262676239729,0.8922594142259415,0.8620515411824156,0.248491108417511,0.0007030555279925466
0.0316227766016838,0.0008726003490401396,1.0,1.0,24,0.9805491314086496,0.8967615627488145,0.8161742402498754,0.8795180722891566,0.8295454545454544,0.2973545789718628,0.0005845200503244996
0.04641588833612786,0.0005090168702734148,1.0,1.0,14,0.9733992588641406,0.8634691119241293,0.7681863691195373,0.8588098016336057,0.7829787234042553,0.35312384366989136,0.0004329470684751868
0.0681292069057962,0.0003272251308900524,1.0,1.0,9,0.9675298739558736,0.8082290831529323,0.6954972914790607,0.802439024390244,0.7140531741725447,0.4159068465232849,0.00019721318676602095
0.10000000000000002,0.00014543339150668993,1.0,1.0,4,0.9402602067211817,0.6474341809068305,0.5707220671657423,0.7156726768377254,0.591743119266055,0.48272764682769775,0.0002709129767026752
