,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.2114914425427873,0.1744351053378452,0.17411924119241193,7093,0.9966674408908979,0.988710796185528,0.937774648643942,0.9142259414225942,0.9466558353642025,0.051372066140174866,0.0006961103645153344
1.4677992676220687e-05,0.1927067803685372,0.18818906232944002,0.18834688346883469,6463,0.9972636339207988,0.9904001799242692,0.942354228574111,0.9201261166579086,0.9505971769815418,0.06841935217380524,0.009563133120536804
2.1544346900318854e-05,0.18051165841731767,0.2003056434887021,0.2,6054,0.997040147554403,0.989612846215144,0.9439945882428605,0.9243786356425172,0.9520697167755992,0.08284606039524078,0.0016149135772138834
3.16227766016838e-05,0.16220406702844534,0.215915293090274,0.21510840108401083,5440,0.9973458826291114,0.9901518712686979,0.9428023946402017,0.9224274406332453,0.9510337323177366,0.10092604160308838,9.371450869366527e-05
4.6415888336127784e-05,0.14419464488043413,0.23534548630062221,0.23577235772357724,4836,0.9975572298789188,0.991042365941164,0.9504977668225053,0.9366612989801396,0.9577387486278814,0.11261826753616333,7.554329931735992e-05
6.81292069057961e-05,0.12779533663307294,0.2577229560091693,0.25718157181571816,4286,0.9971852113739504,0.9896563657862706,0.9515267730680216,0.9367631296891747,0.9585961063888128,0.12417174875736237,8.089756011031568e-05
9.999999999999991e-05,0.1017949788299839,0.2995306189280646,0.29986449864498643,3414,0.9979555085136497,0.9923435335568489,0.9611365877147292,0.9575991189427313,0.9669168751737559,0.13382981717586517,8.688942762091756e-05
0.00014677992676220703,0.07701711491442542,0.3552013972273769,0.35528455284552846,2583,0.9987075281626128,0.9935206207779126,0.9652680649675299,0.96398891966759,0.9704406023424428,0.14563027024269104,7.668113539693877e-05
0.0002154434690031884,0.05680124038404198,0.4058508896408689,0.405420054200542,1905,0.9985904586323404,0.9932868746179503,0.9675151347883137,0.9672222222222222,0.9723540910360235,0.15718725323677063,5.5386219173669815e-05
0.00031622776601683783,0.03897071978054744,0.4663246370483572,0.4665311653116531,1307,0.9983793315932649,0.9924298529262656,0.9655255289370401,0.9660734149054505,0.9706621961441745,0.1690707504749298,4.7706664190627635e-05
0.00046415888336127795,0.028594430198580715,0.5299639777316887,0.5294037940379404,959,0.9969629636929208,0.9858947697109322,0.9530434112400981,0.9555061179087876,0.9600447052249231,0.18342775106430054,4.453350993571803e-05
0.0006812920690579617,0.022809946925875128,0.5900010915838882,0.589159891598916,765,0.9965667770601416,0.9813868660946424,0.9488058306774215,0.9582863585118376,0.9563994374120955,0.19931529462337494,5.562169098993763e-05
0.0010000000000000002,0.015832786689725088,0.6553869664883746,0.6550135501355013,531,0.9990797393519715,0.9949349427899162,0.966333548910064,0.9724254361283061,0.9713322091062394,0.21747612953186035,5.1078743126709014e-05
0.0014677992676220694,0.014043771244558412,0.6699050322017247,0.666260162601626,471,0.9992654320515288,0.9957827466420079,0.9732481940779907,0.9791431792559189,0.9772151898734178,0.24051782488822937,7.159572123782709e-05
0.0021544346900318843,0.00912397877035005,0.7368191245497216,0.7360433604336043,306,0.9995144903891503,0.9971071060358215,0.9788438621104638,0.9853024307518372,0.9819718309859155,0.2633016109466553,6.265146657824516e-05
0.003162277660168382,0.004860158626036138,0.8001309900665866,0.800271002710027,163,0.9991213041275915,0.9955553666006435,0.9782161333813534,0.9825548677546426,0.9814502529510961,0.28870370984077454,2.0522471459116787e-05
0.004641588833612781,0.0033693124217305742,0.8209802423316231,0.8195121951219512,113,0.9986713034972382,0.9951395901625378,0.975921587035079,0.9797752808988764,0.9795001404099972,0.32188594341278076,1.7021042367559858e-05
0.006812920690579613,0.0022362693064583456,0.8146490557799367,0.8161246612466124,75,0.9964980437854907,0.9923986452901499,0.9702349132038962,0.978494623655914,0.9746335963923337,0.36031419038772583,8.125915883283596e-06
0.010000000000000004,0.0016697477488222315,0.8237637812465888,0.8217479674796748,56,0.9948846148065623,0.988190059945362,0.9488098163592651,0.9677975848188615,0.95625,0.4007587134838104,0.0009109100792557001
0.014677992676220709,0.0011330431152722284,0.8293854382709311,0.8323848238482385,38,0.9945433982776988,0.9860810345241925,0.9434467757020971,0.9642651296829972,0.9516496018202503,0.4420367181301117,0.0006193777080625296
0.02154434690031885,0.0005963384817222256,0.8313502892697304,0.835230352303523,20,0.9927208792089635,0.9798671532866927,0.9253149684179677,0.9445714285714286,0.9362786745964317,0.4813615679740906,0.0006245027761906385
0.0316227766016838,0.0005068877094638917,0.8348433577120402,0.836449864498645,17,0.9928221210928905,0.9791538333076912,0.925432099398206,0.9425483503981797,0.9364227182820005,0.5210162997245789,0.0008152551599778235
0.04641588833612786,0.00023853539268889023,0.9079794782229014,0.9071815718157181,8,0.9919397917434079,0.9683176591731997,0.900645903434968,0.9128978224455612,0.9154535274356103,0.5600977540016174,0.00031493272399529815
0.0681292069057962,0.00020871846860277894,0.9123458137757887,0.9121951219512195,7,0.9919638497658527,0.9685371663934758,0.8991732190743479,0.9098998887652948,0.9142218496786813,0.5988280177116394,0.00034268887247890234
0.10000000000000002,8.945077225833382e-05,0.9357057089837354,0.9365853658536586,3,0.9824561413167138,0.935102527357169,0.8518246442770866,0.8903150525087514,0.873247496423462,0.6351514458656311,0.0001098797147278674
