,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.32224403723094824,0.11462962962962962,0.11494520867335044,8863,0.9812796764081598,0.9120599240647675,0.7933981372971411,0.7406855439642325,0.8104362005707298,0.19446203112602234,0.0003970911493524909
1.4677992676220687e-05,0.2915939499709133,0.12731481481481483,0.1280018652366519,8020,0.9819991107584399,0.91784577829143,0.8192414495103487,0.7914653784219001,0.8355291117722056,0.19823454320430756,0.0003356780798640102
2.1544346900318854e-05,0.2588714368819081,0.1426851851851852,0.142224294707391,7120,0.9844304055025982,0.9219059799362316,0.8179256579432183,0.7915993537964459,0.8343976160068115,0.20405720174312592,0.0002253458951599896
3.16227766016838e-05,0.29337550901687026,0.13111111111111112,0.13103287479598974,8069,0.9835720116311936,0.9184335115055222,0.8098950619684501,0.7758484609313339,0.8267451640033643,0.3938412368297577,0.0002677152515389025
4.6415888336127784e-05,0.19059045956951717,0.18722222222222223,0.18722312893448356,5242,0.9850080647037931,0.921708631712167,0.8220537789868182,0.8041322314049587,0.8384317104696252,0.22331081330776215,7.58868845878169e-05
6.81292069057961e-05,0.15852239674229204,0.2136111111111111,0.21380275122406156,4360,0.984055264483114,0.920516071456371,0.8357439140547984,0.8268251273344652,0.8510266491917868,0.23877885937690735,0.00013248964387457818
9.999999999999991e-05,0.12798138452588714,0.2475,0.24726043366752157,3520,0.986272033220435,0.9247504322574436,0.8411559035512254,0.8429319371727748,0.8560035445281347,0.2602521777153015,1.5035438991617411e-05
0.00014677992676220703,0.09962187318208261,0.28703703703703703,0.286430403357426,2740,0.9858901429751035,0.9187159178487334,0.8498093786875642,0.8488271068635969,0.8638373121131742,0.28834277391433716,0.0003082955372519791
0.0002154434690031884,0.07682518906340896,0.3335185185185185,0.3324784332012124,2113,0.9838908400914615,0.9038894128228546,0.8361662747976738,0.8341968911917098,0.8514764213309828,0.32608017325401306,0.00022800825536251068
0.00031622776601683783,0.059809482257126234,0.38481481481481483,0.3842387502914432,1645,0.9759958192893539,0.8594428713743024,0.8051435591432222,0.7969671440606572,0.8233246301131419,0.37485721707344055,0.00033956626430153847
0.00046415888336127795,0.04639325189063409,0.43824074074074076,0.4391466542317557,1276,0.9892891856119094,0.9323735294541526,0.8462917380220475,0.8632246376811594,0.8604966139954853,0.43484774231910706,0.00031049689278006554
0.0006812920690579617,0.041921175101803376,0.4572222222222222,0.45814875262298904,1153,0.9894136529302945,0.9342256084849091,0.8529057994922908,0.8751147842056933,0.8663636363636362,0.49883705377578735,0.00035128265153616667
0.0010000000000000002,0.027705061082024432,0.5355555555555556,0.5359058055490791,762,0.9905460322460619,0.9401063930897202,0.8672590815420869,0.8984962406015038,0.879080459770115,0.5124104619026184,0.00022966242977418005
0.0014677992676220694,0.01828824898196626,0.6168518518518519,0.6162275588715318,503,0.9911089922130496,0.9431227609085235,0.8679270820605343,0.9024621212121212,0.8795569912321181,0.5241513848304749,0.0002551338402554393
0.0021544346900318843,0.011634671320535195,0.6813888888888888,0.6831429237584519,320,0.9907265636859022,0.9424759114093606,0.8708908770602065,0.9060721062618596,0.8822170900692841,0.5362364053726196,0.00023371164570562541
0.003162277660168382,0.007308027923211169,0.7203703703703703,0.7223128934483563,201,0.9898561205830767,0.9372229694374519,0.8697130018564081,0.9066666666666666,0.8810735770476632,0.5495405793190002,0.00022565582185052335
0.004641588833612781,0.004726585223967423,0.7825925925925926,0.7809512706924691,130,0.9873230491693938,0.92443039331217,0.8381393435712264,0.8900883218842002,0.8516431924882629,0.56452876329422,0.00025856238789856434
0.006812920690579613,0.003235892961023851,0.8448148148148148,0.8456516670552576,89,0.9860987478819645,0.9182910496092832,0.8296853952117228,0.8837438423645321,0.8438381937911571,0.5817572474479675,0.00023830850841477513
0.010000000000000004,0.0025814426992437464,0.8448148148148148,0.8456516670552576,71,0.9846900229631022,0.9103142526925532,0.8214616336649497,0.8797216699801192,0.8360888049126121,0.6013877987861633,0.0003225219843443483
0.014677992676220709,0.0018179173938336242,0.9342592592592592,0.9337840988575425,50,0.9787470604637057,0.8816243287446137,0.7915189811590925,0.8568548387096774,0.8083689966714217,0.6224666237831116,0.0001230088237207383
0.02154434690031885,0.0013089005235602095,0.9139814814814815,0.9121007227792026,36,0.9736081253722944,0.8556295084770101,0.7580904733489611,0.8331616889804325,0.777137367915466,0.6437678337097168,0.0001468933478463441
0.0316227766016838,0.0007998836532867946,0.9462037037037037,0.9454418279319189,22,0.9620117959905293,0.8347786734963606,0.7502415403659296,0.8549280177187154,0.766633565044687,0.663311779499054,0.00011229817027924582
0.04641588833612786,0.0003999418266433973,0.9701851851851852,0.9678246677547214,11,0.900403703080769,0.4863380995875057,0.3569808155373706,0.612691466083151,0.35714285714285715,0.6785390377044678,0.00012539979070425034
0.0681292069057962,0.00029086678301337986,0.9648148148148148,0.962578689671252,8,0.8757031927316385,0.40638357195480757,0.2614691200440538,0.5440729483282675,0.24861111111111112,0.6901048421859741,0.00011962595453951508
0.10000000000000002,0.0,0.0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.6931473612785339,0.0
