,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.34864019778941246,0.09907030796048809,0.09800362976406533,9589,0.9598644856193201,0.8481729252313305,0.7407339819938276,0.6998754669987547,0.7543624161073826,0.2981930673122406,9.486276394454762e-05
1.4677992676220687e-05,0.3095913321698662,0.11098198721673445,0.10998185117967332,8515,0.9607930406322733,0.8547466058475721,0.74975304233532,0.7068322981366459,0.762734584450402,0.31028711795806885,0.00108424574136734
2.1544346900318854e-05,0.2651977894124491,0.12376525276002324,0.12341197822141561,7294,0.9584627593886335,0.8468630481661984,0.7580554520763654,0.7335958005249343,0.7715665976535543,0.31749996542930603,8.559275738662109e-05
3.16227766016838e-05,0.23087550901687026,0.1411969785008716,0.14047186932849365,6350,0.9619307267541266,0.8468052248028463,0.7578845710819895,0.7320261437908496,0.7713498622589531,0.3416740894317627,0.0006721805548295379
4.6415888336127784e-05,0.18640924956369984,0.15920976176641488,0.15789473684210525,5127,0.9569352322566915,0.8373195422268975,0.7616308157506946,0.7489823609226595,0.7752808988764045,0.3566332459449768,5.2407060138648376e-05
6.81292069057961e-05,0.14608784176847003,0.1850668216153399,0.1838475499092559,4018,0.9577854839422754,0.8327986283357216,0.7578539089662759,0.739652870493992,0.7715877437325905,0.3743833005428314,5.757008329965174e-05
9.999999999999991e-05,0.11005671902268761,0.21528181289947704,0.21270417422867513,3027,0.9544051647456895,0.8220454322967432,0.7421342513102229,0.712082262210797,0.7563139931740614,0.38921836018562317,0.006781906355172396
0.00014677992676220703,0.08173356602675974,0.2537768739105171,0.2539019963702359,2248,0.9481668063237122,0.7639997087072969,0.7165014095077156,0.6826196473551638,0.7319378798109386,0.40668293833732605,3.495218334137462e-05
0.0002154434690031884,0.05799156486329261,0.3076699593259733,0.3063520871143376,1595,0.9574789086926488,0.8478090115219066,0.7558563509439239,0.7452316076294278,0.7698803659394793,0.4240195155143738,0.0007836556760594249
0.00031622776601683783,0.131326352530541,0.21165020337013365,0.20980036297640653,3612,0.9556033667723987,0.8133554154609031,0.7525536874205564,0.7277486910994765,0.766368022053756,0.4393518567085266,7.082194497343153e-05
0.00046415888336127795,0.09900378126817917,0.24665891923300406,0.24646098003629763,2723,0.9558393079094352,0.7868664912777644,0.7309333964328781,0.6952141057934509,0.7454422687373395,0.4471336901187897,7.435800944222137e-05
0.0006812920690579617,0.07151687027341477,0.29227193492155723,0.29038112522686027,1967,0.9546634690552339,0.8303632694346494,0.7196052650371199,0.689171974522293,0.7350543478260868,0.4554038941860199,7.851285045035183e-05
0.0010000000000000002,0.055846422338568937,0.3290238233585125,0.3275862068965517,1536,0.9621292885250116,0.8555167409756911,0.7736334116429416,0.7900146842878121,0.7865497076023392,0.4655216932296753,6.936793215572834e-05
0.0014677992676220694,0.03944880744618964,0.3765252760023242,0.37568058076225047,1085,0.9708270803454009,0.8814294118987287,0.8247916001694109,0.8665620094191523,0.8338368580060423,0.47627827525138855,0.011313065886497498
0.0021544346900318843,0.02679610238510762,0.4328878558977339,0.43157894736842106,737,0.9744121482424416,0.8942330694180521,0.8479070717110109,0.9055374592833876,0.8547271329746349,0.4861160218715668,7.935484609333798e-05
0.003162277660168382,0.018179173938336242,0.4952062754212667,0.49491833030852994,500,0.9743176686721341,0.9029115252011606,0.8504218993787619,0.9169435215946844,0.8564778898370831,0.49874964356422424,8.635061385575682e-05
0.004641588833612781,0.012543630017452007,0.5781522370714701,0.5756805807622505,345,0.973350832032467,0.9024185935126764,0.8454508937203646,0.9233390119250426,0.8508634222919937,0.5127097368240356,7.91200582170859e-05
0.006812920690579613,0.007089877835951134,0.6612434631028472,0.6606170598911071,195,0.9727845990824525,0.8971772646263637,0.8492750594704785,0.9327586206896552,0.8539857932123125,0.5284631848335266,7.104747055564076e-05
0.010000000000000004,0.004435718440954043,0.699883788495061,0.7010889292196008,122,0.9684746292708021,0.8896391141189038,0.8470851511968824,0.9401408450704225,0.8509960159362551,0.5502890348434448,5.713772043236531e-05
0.014677992676220709,0.0018542757417102968,0.7492736780941314,0.7448275862068966,51,0.9628486479818816,0.8769629366505982,0.8313034104804553,0.9334532374100719,0.835076427996782,0.5758054852485657,3.240240039303899e-05
0.02154434690031885,0.0010180337405468296,0.8182742591516561,0.8176043557168784,28,0.9617146353494603,0.8657803332297526,0.807061250514165,0.9252336448598131,0.8101472995090017,0.6046856045722961,0.00011272980918874964
0.0316227766016838,0.0005817335660267597,0.8159500290528763,0.8130671506352087,16,0.9482353781264456,0.8529911850062422,0.7966938101257796,0.926923076923077,0.7986743993371996,0.6280840039253235,0.0003262217214796692
0.04641588833612786,0.00029086678301337986,0.9023823358512493,0.9005444646098004,8,0.9404047876007744,0.8435071784406134,0.7854732113968385,0.9251968503937008,0.7866108786610878,0.6487536430358887,7.633041241206229e-05
0.0681292069057962,0.00018179173938336242,0.9683323649041256,0.968421052631579,5,0.9310455098938671,0.821356013491017,0.7715784254198754,0.9178356713426854,0.772344013490725,0.6674296855926514,0.00010112612653756514
0.10000000000000002,0.00010907504363001745,0.9683323649041256,0.9695099818511796,3,0.8877316537881861,0.7712326104108865,0.7779436059469824,0.9436325678496869,0.7753001715265867,0.6827635765075684,6.070601557439659e-06
