,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.32809773123909247,0.1174892703862661,0.11677852348993288,9024,0.9798803338389898,0.839404623332511,0.737955851309001,0.6631578947368421,0.7420494699646644,0.20940041542053223,0.0004176377260591835
1.4677992676220687e-05,0.2983566026759744,0.13090128755364808,0.13053691275167784,8206,0.9807668744230879,0.8512188040048525,0.7642455454391617,0.7129840546697038,0.7699876998769988,0.21140693128108978,0.0005172633682377636
2.1544346900318854e-05,0.2608347876672484,0.14914163090128754,0.14899328859060404,7174,0.9822035987301087,0.8650456127321673,0.7735502035375893,0.7204545454545455,0.7788697788697789,0.21403814852237701,0.0005015511997044086
3.16227766016838e-05,0.22287667248400234,0.16899141630901288,0.16845637583892617,6130,0.984130683289743,0.8795552655551602,0.7912558256089441,0.7615571776155717,0.797452229299363,0.21792371571063995,0.00015707236889284104
4.6415888336127784e-05,0.18742728330424666,0.194206008583691,0.19328859060402684,5155,0.9841544685249262,0.8761350969498902,0.7908801451290947,0.770573566084788,0.7974193548387096,0.22366712987422943,0.00020241459424141794
6.81292069057961e-05,0.15546829552065153,0.22585836909871246,0.22550335570469798,4276,0.9868355930908457,0.8929461752393684,0.7966051087239465,0.7837150127226463,0.803129074315515,0.23244060575962067,6.721612862747861e-06
9.999999999999991e-05,0.1218368237347295,0.263412017167382,0.26308724832214764,3351,0.9874352693233412,0.8980863331170214,0.8235107724213048,0.8040201005025126,0.8290155440414508,0.24400213360786438,0.0006173719884827733
0.00014677992676220703,0.09049592786503781,0.31223175965665234,0.312751677852349,2489,0.9883238520740965,0.8989808907983032,0.8331917024490272,0.8298429319371727,0.8386243386243387,0.2604306638240814,0.0004373268748167902
0.0002154434690031884,0.06526323443862711,0.36641630901287553,0.363758389261745,1795,0.9847875401886385,0.8959677956564901,0.8350274341279678,0.823076923076923,0.8403141361256545,0.2835603356361389,0.00041791319381445646
0.00031622776601683783,0.046829552065154156,0.4262339055793991,0.4275167785234899,1288,0.9863651739950018,0.86833725447899,0.8134339041813473,0.8077922077922078,0.8194993412384717,0.3159373998641968,0.00037409289507195354
0.00046415888336127795,0.032722513089005235,0.4973175965665236,0.49798657718120803,900,0.9843264910339272,0.8457781598207987,0.8026212609325148,0.7825,0.8087855297157623,0.35955023765563965,2.1256590116536245e-05
0.0006812920690579617,0.024214659685863876,0.5651824034334765,0.5651006711409396,666,0.9906204486712222,0.900531867863939,0.8235883391962324,0.8091603053435115,0.8292046936114733,0.41657525300979614,0.00028938491595909
0.0010000000000000002,0.017306573589296104,0.6300965665236051,0.6251677852348994,476,0.9921909949580106,0.91765104145737,0.8638173681842016,0.8836565096952909,0.8680272108843539,0.48763307929039,8.842554234433919e-05
0.0014677992676220694,0.01359802210587551,0.653969957081545,0.6503355704697986,374,0.9916895829799584,0.9214750376651023,0.8625708548954742,0.8812154696132597,0.8668478260869565,0.5698902010917664,3.641163857537322e-05
0.0021544346900318843,0.01127108784176847,0.7140557939914163,0.7114093959731543,310,0.9924156332902957,0.9171821322644796,0.8738011421862574,0.8922651933701657,0.8777173913043478,0.5931230783462524,0.000890893570613116
0.003162277660168382,0.006835369400814427,0.8001609442060086,0.8013422818791947,188,0.993701958029391,0.9200466760576925,0.8636057348651375,0.8971428571428571,0.8674033149171272,0.6024140119552612,0.0008065758156590164
0.004641588833612781,0.00439936009307737,0.8621244635193133,0.8583892617449664,121,0.9922546625067331,0.9168557832846591,0.8698739489363851,0.9125364431486881,0.8730822873082288,0.6119271516799927,0.0001802586775738746
0.006812920690579613,0.0028359511343804536,0.9093347639484979,0.9087248322147651,78,0.9917936133520221,0.9146915352950384,0.8676322734348636,0.9196428571428571,0.8704225352112674,0.6224363446235657,0.00028640456730499864
0.010000000000000004,0.0018542757417102968,0.953862660944206,0.951006711409396,51,0.9875540753718064,0.8964008379878923,0.8546619668965766,0.9050445103857567,0.8579465541490857,0.6342224478721619,0.0002907293091993779
0.014677992676220709,0.001199825479930192,0.9640557939914163,0.9644295302013423,33,0.9855157527930835,0.8866927560952139,0.8387087035859883,0.9021406727828746,0.8416547788873038,0.6474122405052185,0.00038346037035807967
0.02154434690031885,0.0007271669575334497,0.9589592274678111,0.9577181208053691,20,0.9840122376236292,0.8697821210564812,0.8189300294920574,0.9009584664536742,0.8209606986899564,0.661003828048706,0.00032271063537336886
0.0316227766016838,0.0005453752181500873,0.953862660944206,0.951006711409396,15,0.9664166894508397,0.7807506105191379,0.6917417355836607,0.8078291814946619,0.6931297709923664,0.6741742491722107,0.00042521124123595655
0.04641588833612786,0.0002181500872600349,0.947156652360515,0.9449664429530201,6,0.9550447042293991,0.6906573782835622,0.6098809399455639,0.7642276422764228,0.6064516129032258,0.6850671768188477,0.00015508834621869028
0.0681292069057962,0.00014543339150668993,0.947156652360515,0.9449664429530201,4,0.950804685739382,0.6515484217889362,0.5486984107578071,0.7063829787234043,0.5451559934318556,0.6922010183334351,0.0002878207014873624
0.10000000000000002,0.0,0.0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.6931473612785339,0.0
