,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.3641652123327516,0.08433734939759036,0.08955223880597014,10016,0.8821221815965874,0.5875997811363367,0.4572806766136524,0.3055555555555556,0.42307692307692313,0.46148696541786194,8.542128489352763e-05
1.4677992676220687e-05,0.3430410122164049,0.0963855421686747,0.08955223880597014,9435,0.9449214329241753,0.634818917450154,0.4856608510048717,0.3157894736842105,0.44444444444444436,0.47155463695526123,0.00014706150977872312
2.1544346900318816e-05,0.31733566026759746,0.0963855421686747,0.1044776119402985,8728,0.9781056846870375,0.6243663477546758,0.47935908935264704,0.3076923076923077,0.4363636363636364,0.48298999667167664,0.0003019577416125685
3.16227766016838e-05,0.2778868528214078,0.10843373493975904,0.11940298507462686,7643,0.9676618133542265,0.6595804746035863,0.5011765706751571,0.36666666666666664,0.47826086956521735,0.4948037564754486,0.0010588924633339047
4.6415888336127784e-05,0.24047411285631182,0.13253012048192772,0.13432835820895522,6614,0.989417384869853,0.6825557701820392,0.5294678140073956,0.375,0.5,0.507207453250885,0.0006533203413709998
6.81292069057961e-05,0.20702443280977312,0.14457831325301204,0.14925373134328357,5694,0.9935524941237921,0.7833182200649856,0.5661896068918796,0.42857142857142855,0.5454545454545454,0.519679605960846,0.000705545418895781
9.999999999999991e-05,0.16877545084351367,0.1686746987951807,0.16417910447761194,4642,0.9945373030382172,0.7637463865871905,0.6541121554583834,0.5714285714285714,0.6486486486486486,0.5320388078689575,0.0006088066147640347
0.00014677992676220676,0.13296247818499127,0.1927710843373494,0.19402985074626866,3657,0.9935062461913468,0.7399663298007875,0.7272162512332006,0.7058823529411765,0.7272727272727272,0.5439848303794861,0.0009022715385071933
0.0002154434690031884,0.10027632344386271,0.2289156626506024,0.22388059701492538,2758,0.9598867197701749,0.7704564426258117,0.76568862527461,0.7222222222222222,0.7647058823529411,0.555267870426178,0.0005497533129528165
0.00031622776601683783,0.07242582897033159,0.27710843373493976,0.26865671641791045,1992,0.9980303821711499,0.8376609000299322,0.8247014041272397,0.7777777777777778,0.823529411764706,0.5659040808677673,0.0005543001461774111
0.00046415888336127757,0.049956369982547995,0.3373493975903614,0.3283582089552239,1374,0.9983241925655089,0.8451394365359227,0.8486582613074654,0.8235294117647058,0.8484848484848485,0.5756162405014038,0.0007229738403111696
0.0006812920690579611,0.03323152995927865,0.40963855421686746,0.40298507462686567,914,0.9958213632802297,0.8342544302837162,0.8247014041272397,0.7777777777777778,0.823529411764706,0.584480881690979,0.0007987983990460634
0.0009999999999999994,0.02210587550901687,0.46987951807228917,0.4626865671641791,608,0.9893738574040218,0.8979945842118693,0.8122388352050144,0.8125,0.8125,0.5929217338562012,0.0006724880076944828
0.0014677992676220694,0.014252472367655613,0.5421686746987951,0.5373134328358209,392,0.9915665534952556,0.9202819202610845,0.8486582613074654,0.8235294117647058,0.8484848484848485,0.6009967923164368,0.0007608088199049234
0.0021544346900318825,0.008871436881908086,0.6506024096385542,0.6492537313432836,244,0.9990505571515627,0.8609649323870512,0.8389300560800069,0.8666666666666667,0.8387096774193549,0.6088736653327942,0.0007977930945344269
0.003162277660168379,0.005926410703897615,0.7710843373493976,0.7761194029850746,163,0.9989907068860451,0.8707359566385404,0.8748258901366762,0.875,0.875,0.6170291900634766,0.0009321762481704354
0.004641588833612776,0.0038539848749272834,0.8192771084337349,0.8134328358208955,106,0.9995783276747627,0.8663586533032549,0.8684303727224664,0.9285714285714286,0.8666666666666666,0.6257001757621765,0.0008777466136962175
0.006812920690579607,0.0027268760907504363,0.8554216867469879,0.8507462686567164,75,0.9995484025420039,0.8071110811095599,0.787937256270333,0.7647058823529411,0.787878787878788,0.6349576115608215,0.0006083635380491614
0.009999999999999995,0.0017088423502036067,0.8795180722891566,0.8805970149253731,47,0.9997986854705319,0.8607291074401175,0.7452191314298228,0.6842105263157895,0.742857142857143,0.645169734954834,0.0006182797951623797
0.014677992676220683,0.0013452588714368819,0.891566265060241,0.8955223880597015,37,0.9997660398711586,0.8165978468709952,0.7272162512332006,0.7058823529411765,0.7272727272727272,0.6561359763145447,0.0008723113569431007
0.02154434690031883,0.0008362420011634672,0.927710843373494,0.9402985074626866,23,0.9997333942717854,0.8240634048828708,0.6870647253416906,0.6875,0.6875,0.6668950319290161,0.00019190408056601882
0.0316227766016838,0.0003999418266433973,0.9518072289156626,0.9402985074626866,11,0.9393934447636458,0.354886322118665,0.44141871149668893,0.625,0.4166666666666667,0.6766669154167175,0.00026408323901705444
0.046415888336127774,0.0002181500872600349,0.891566265060241,0.8880597014925373,6,0.9427559414990859,0.16859737564667726,0.1764229900645235,0.5,0.1111111111111111,0.6850102543830872,0.00039312447188422084
0.06812920690579607,0.00018179173938336242,0.8554216867469879,0.835820895522388,5,0.9266126926090362,0.12567828214271007,0.1764229900645235,0.5,0.1111111111111111,0.6914085149765015,0.0003332134510856122
