,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.3851803374054683,0.0975609756097561,0.1,10594,0.9224094834116043,0.20051067765489275,0.16166993342256855,0.10344827586206896,0.14814814814814814,0.4632743000984192,0.0009158924804069102
1.4677992676220687e-05,0.3598385689354276,0.10569105691056911,0.11,9897,0.9257385244659901,0.25277479428374844,0.2337007737286428,0.16,0.2191780821917808,0.47431647777557373,0.0011176434345543385
2.1544346900318816e-05,0.32824316463059916,0.11382113821138211,0.12,9028,0.92880245417361,0.1911336830435474,0.25541555566162183,0.19047619047619047,0.24615384615384614,0.48602113127708435,0.0007190890028141439
3.16227766016838e-05,0.2941753926701571,0.13008130081300814,0.13,8091,0.9383881230116649,0.2425893606904904,0.2764688101982932,0.17857142857142858,0.25316455696202533,0.4980681836605072,0.0007291175425052643
4.6415888336127784e-05,0.26181646305991857,0.14634146341463414,0.15,7201,0.9432169368277533,0.4278117201736837,0.45760185844518997,0.44,0.4583333333333333,0.5102620124816895,0.0006541458424180746
6.81292069057961e-05,0.22713059918557302,0.16260162601626016,0.17,6247,0.9712278442660204,0.5621129033483458,0.5907397322825491,0.6190476190476191,0.5909090909090909,0.5224848389625549,0.0008118657860904932
9.999999999999991e-05,0.19360820244328097,0.1951219512195122,0.19,5325,0.9614262990455992,0.5537898963589871,0.57326710669573,0.631578947368421,0.5714285714285715,0.5345677137374878,0.0006210726569406688
0.00014677992676220676,0.15764979639325188,0.21951219512195122,0.22,4336,0.9635131040751401,0.6214995172313141,0.6568613451839497,0.7647058823529411,0.65,0.5462611317634583,0.00087464734679088
0.0002154434690031884,0.12332751599767307,0.2601626016260163,0.26,3392,0.9771777003484321,0.6923367432148269,0.6356379106657211,0.8461538461538461,0.6111111111111112,0.5572087168693542,0.0005426434800028801
0.00031622776601683783,0.09173211169284468,0.3089430894308943,0.31,2523,0.9696182396606574,0.8028497655245183,0.6912029132856387,1.0,0.6470588235294118,0.5672448873519897,0.0009923202451318502
0.00046415888336127757,0.06562681791739383,0.35772357723577236,0.36,1805,0.9661149825783972,0.8161255257071732,0.7514821821993458,1.0,0.7222222222222222,0.5761885046958923,0.0007335672271437943
0.0006812920690579611,0.043557300756253636,0.43902439024390244,0.44,1198,0.9728904711407362,0.845460844254989,0.785989021504517,0.8888888888888888,0.7804878048780488,0.5840457677841187,0.00080481031909585
0.0009999999999999994,0.027814136125654452,0.5203252032520326,0.53,765,0.9745038630510529,0.8613369025090768,0.7815863616627396,0.9375,0.7692307692307693,0.5912244319915771,0.0007078432245180011
0.0014677992676220694,0.018397324025596278,0.6341463414634146,0.63,506,0.9876571731555825,0.8205572096005666,0.7581818597553951,0.8823529411764706,0.75,0.5982497930526733,0.0006456190021708608
0.0021544346900318825,0.011671029668411867,0.7154471544715447,0.72,321,0.9760945311316467,0.8390956574594346,0.7922453385748982,0.85,0.7906976744186046,0.6054776906967163,0.0005923237185925245
0.003162277660168379,0.0075988947062245495,0.7804878048780488,0.77,209,0.9604984093319194,0.7459046505068323,0.7275060309980552,0.7619047619047619,0.7272727272727272,0.6132943630218506,0.0005773761658929288
0.004641588833612776,0.004617510180337406,0.9105691056910569,0.9,127,0.8869508407816996,0.4359456568886219,0.4568751443395147,0.37142857142857144,0.4482758620689655,0.6217247843742371,0.0005679700407199562
0.006812920690579607,0.0031631762652705063,0.9512195121951219,0.95,87,0.9590365096197545,0.4615342983743839,0.5770937659416006,0.5909090909090909,0.5777777777777778,0.6309088468551636,0.00047403606004081666
0.009999999999999995,0.0019997091332169866,0.959349593495935,0.95,55,0.9597712467807908,0.446255260367041,0.5023153512443487,0.7272727272727273,0.4705882352941176,0.64112389087677,0.0004210469778627157
0.014677992676220683,0.0014179755671902268,0.983739837398374,0.98,39,0.9522572337524617,0.4440967670728881,0.47237927751222575,0.8571428571428571,0.4,0.6525611281394958,0.0003223900275770575
0.02154434690031883,0.0008726003490401396,0.983739837398374,0.985,24,0.9415997576124828,0.23584458485193052,-0.00041735564534736046,0.0,0.0,0.6644023060798645,0.00029766937950626016
0.0316227766016838,0.0005453752181500873,0.975609756097561,0.97,15,0.9576162702620815,0.15856011012099036,0.11979916148842684,0.3333333333333333,0.07692307692307691,0.6754113435745239,0.00018865732999984175
0.046415888336127774,0.00029086678301337986,0.9349593495934959,0.9299999999999999,8,0.8727427662475383,0.023412674411485358,-0.00041735564534736046,0.0,0.0,0.6843794584274292,0.0004266310716047883
0.06812920690579607,0.00018179173938336242,0.9512195121951219,0.95,5,0.8194591728525982,0.014185419817286328,0.0,0.0,0.0,0.6909806132316589,0.00034635502379387617
0.0999999999999999,0.0,0.0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.6931473612785339,0.0
0.14677992676220672,0.0,0.0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.6931473612785339,0.0
0.21544346900318834,0.0,0.0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.6931473612785339,0.0
0.3162277660168378,0.0,0.0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.6931473612785339,0.0
0.4641588833612774,0.0,0.0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.6931473612785339,0.0
0.6812920690579604,0.0,0.0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.6931473612785339,0.0
1.0,0.0,0.0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.6931473612785339,0.0
