,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.42764688772542175,0.2229119638826185,0.22340055632823366,11762,0.997403927999729,0.9783669998948589,0.8633053730844693,0.7698598130841121,0.8648293963254594,0.16812960803508759,1.5196293645658443e-07
1.4677992676220687e-05,0.40310500290866785,0.2440744920993228,0.24408901251738527,11087,0.9989174762215314,0.9878333356012025,0.9066327280908036,0.8381795195954488,0.9088416723783412,0.17356880009174347,3.980668594749659e-08
2.1544346900318854e-05,0.3796175101803374,0.26410835214446954,0.26425591098748263,10441,0.9992000837434043,0.9886310015329016,0.9393667720018822,0.8970189701897019,0.9416785206258891,0.18257281184196472,1.1547625433649955e-07
3.16227766016838e-05,0.35460296684118675,0.28752821670428896,0.28720445062586925,9753,0.9982790783355495,0.9836475655557224,0.8988385274074147,0.8272841051314143,0.9011588275391957,0.19183242321014404,1.144766201832681e-07
4.6415888336127784e-05,0.3252254217568354,0.3126410835214447,0.31223922114047287,8945,0.9984783129991783,0.9863534118681002,0.9281326786639698,0.8810160427807486,0.9307909604519774,0.2023393213748932,1.4899411837632215e-07
6.81292069057961e-05,0.29461169284467714,0.3422686230248307,0.34248956884561893,8103,0.999037705176634,0.9866385985131267,0.9323021641689406,0.8870967741935484,0.934844192634561,0.21127164363861084,9.059110794851222e-08
9.999999999999991e-05,0.2581442699243746,0.3812076749435666,0.3823018080667594,7100,0.9981473359857371,0.9852850192468411,0.9326401196735066,0.8903924221921515,0.9353233830845772,0.2194497436285019,5.014578050577256e-07
0.00014677992676220703,0.21887725421756835,0.4272009029345372,0.42767732962447846,6020,0.9981654001050234,0.9868299856901019,0.9476724517493231,0.9188811188811189,0.9501084598698482,0.22860226035118103,1.4342325016514224e-07
0.0002154434690031884,0.17768324607329844,0.47799097065462753,0.47774687065368565,4887,0.9983399537558546,0.9877923305330604,0.9433273090610867,0.9123783031988874,0.9459264599855803,0.23899886012077332,4.441079681782867e-08
0.00031622776601683783,0.14332460732984292,0.524548532731377,0.523817802503477,3942,0.9983687372426293,0.9911342063510353,0.9582074196168328,0.9310829817158931,0.9601160261058739,0.2553810477256775,3.8985794503787474e-07
0.00046415888336127795,0.11132926119837115,0.5806997742663658,0.5811891515994436,3062,0.9991378187754618,0.9942805365427662,0.9649780786227289,0.9521044992743106,0.9668386145910096,0.27492037415504456,1.4377336299276067e-07
0.0006812920690579617,0.08344240837696335,0.6297968397291196,0.6303894297635605,2295,0.999427638711262,0.994897260312051,0.9641599633611999,0.9520348837209303,0.9660766961651918,0.2980976402759552,1.05679205830711e-07
0.0010000000000000002,0.059082315299592784,0.6732505643340858,0.6738525730180807,1625,0.9992865665415984,0.9932166207421677,0.9686599370959046,0.9604105571847508,0.9703703703703704,0.3249313235282898,2.0835682335018646e-07
0.0014677992676220694,0.03908522396742292,0.715293453724605,0.7169680111265647,1075,0.9994627744158078,0.9920933808050774,0.9563420790571664,0.9447674418604651,0.9587020648967551,0.3530988097190857,1.346093370102608e-07
0.0021544346900318843,0.03134089586969168,0.7428047404063205,0.7425243393602226,862,0.9989561850485733,0.990206548268902,0.9623119153954766,0.9558823529411765,0.9643916913946587,0.41012710332870483,0.018344806507229805
0.003162277660168382,0.019742582897033158,0.7660835214446953,0.7670375521557719,543,0.9989335552727644,0.9866761425106881,0.9566297643597584,0.9540740740740741,0.9590469099032017,0.4357881247997284,1.249105849865373e-07
0.004641588833612781,0.014688772542175684,0.7952878103837471,0.7972878998609179,404,0.99885871820715,0.9840263479705141,0.9598508721118775,0.9556868537666174,0.9620817843866172,0.48813730478286743,4.852195445437246e-08
0.006812920690579613,0.006653577661431064,0.781038374717833,0.7826842837273992,183,0.9996872856126502,0.9959602687086898,0.9737560304344496,0.9788838612368024,0.9752066115702479,0.5019760131835938,1.0196944089102544e-07
0.010000000000000004,0.003308609656777196,0.7889390519187359,0.7882475660639777,91,0.9998848660529013,0.9980906161403253,0.9737560304344496,0.9788838612368024,0.9752066115702479,0.5187256336212158,6.011036646214052e-08
0.014677992676220709,0.0018542757417102968,0.8253386004514672,0.8324061196105702,51,0.9998640890072754,0.9977748901485544,0.9770280744951841,0.9775784753363229,0.9783096484667165,0.5458093881607056,6.000081498314103e-08
0.02154434690031885,0.0005817335660267597,0.8418453724604966,0.8456189151599444,16,0.9997234138512224,0.9951178809493246,0.9724063027589671,0.9688888888888889,0.9739389426656739,0.5534908175468445,1.1984011507593095e-06
0.0316227766016838,0.00029086678301337986,0.8212471783295711,0.8257997218358832,8,0.9990367126426074,0.9910742657496234,0.9595439124059678,0.9625187406296851,0.9617977528089887,0.5797197818756104,1.3170890156288806e-08
0.04641588833612786,0.00014543339150668993,0.9043453724604966,0.9066411682892906,4,0.9985487829150751,0.9806458337648759,0.9198397337545107,0.9508716323296355,0.9237875288683602,0.622597336769104,0.00239722803235054
0.0681292069057962,0.00014543339150668993,0.9043453724604966,0.9066411682892906,4,0.9985487829150751,0.9806458337648759,0.9198397337545107,0.9508716323296355,0.9237875288683602,0.66222083568573,0.0003401382127776742
0.10000000000000002,0.0,0.0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.6827825903892517,5.960464477539063e-08
