,Percentage,Prevalence,Other_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.3273342059336824,0.254606365159129,0.15211356688569522,9003,1.0,1.0,1.0,1.0,1.0,0.1597532331943512,0.0018396328669041395
1.4677992676220687e-05,0.36983711460151253,0.21775544388609716,0.13636283776661162,10172,1.0,1.0,1.0,1.0,1.0,0.38082852959632874,0.000206895187147893
2.1544346900318854e-05,0.3402777777777778,0.24120603015075376,0.1480902350750202,9359,1.0,1.0,1.0,1.0,1.0,0.3907564878463745,0.00016095374303404242
3.16227766016838e-05,0.1984438627108784,0.39865996649916247,0.2239361889033346,5458,1.0,1.0,1.0,1.0,1.0,0.10678555071353912,0.03779802471399307
4.6415888336127784e-05,0.12765415939499708,0.4824120603015075,0.25647422607962334,3511,1.0,1.0,1.0,1.0,1.0,0.1052388921380043,0.00303027150221169
6.81292069057961e-05,0.23927428737638162,0.3417085427135678,0.19679187603218665,6581,1.0,1.0,1.0,1.0,1.0,0.41253694891929626,0.00013581708481069654
9.999999999999991e-05,0.06991710296684119,0.626465661641541,0.3294739801117397,1923,1.0,1.0,1.0,1.0,1.0,0.15112781524658203,0.0013522404478862882
0.00014677992676220703,0.04435718440954043,0.6909547738693467,0.35065357180505285,1220,1.0,1.0,1.0,1.0,1.0,0.1642674058675766,8.830914157442749e-05
0.0002154434690031884,0.12140052356020943,0.5125628140703518,0.28049123300186235,3339,1.0,1.0,1.0,1.0,1.0,0.443551242351532,0.00019690589397214353
0.00031622776601683783,0.08493310063990692,0.5879396984924623,0.30852278716750414,2336,1.0,1.0,1.0,1.0,1.0,0.45501160621643066,0.00022952051949687302
0.00046415888336127795,0.020397033158813263,0.8542713567839196,0.42654344846972836,561,1.0,1.0,1.0,1.0,1.0,0.2106924206018448,0.0006403679144568741
0.0006812920690579617,0.010580279232111692,0.8525963149078727,0.30208369935696966,291,1.0,1.0,1.0,1.0,1.0,0.25556057691574097,0.00015915764379315078
0.0010000000000000002,0.006544502617801047,0.8601340033500837,0.1636828419832039,180,1.0,1.0,1.0,1.0,1.0,0.4159065783023834,0.0011590052163228393
0.0014677992676220694,0.02446916812100058,0.7989949748743719,0.33938297199479955,673,1.0,1.0,1.0,1.0,1.0,0.5946176052093506,0.0001395953440805897
0.0021544346900318843,0.0030541012216404886,0.9195979899497487,0.04861379528444429,84,1.0,1.0,1.0,1.0,1.0,0.4163454473018646,0.00011860913946293294
0.003162277660168382,0.0018542757417102968,0.8693467336683417,0.02319125759865069,51,1.0,1.0,1.0,1.0,1.0,0.4536946415901184,4.5074630179442465e-05
0.004641588833612781,0.0013089005235602095,0.8551088777219431,0.015698021715450296,36,1.0,1.0,1.0,1.0,1.0,0.4243493974208832,3.393475344637409e-05
0.006812920690579613,0.0008362420011634672,0.9128978224455612,0.013247127446501986,23,0.9999937316153132,0.9993507364979539,0.9957821604045421,0.9933333333333333,0.9958228905597326,0.5980309844017029,5.54602884221822e-05
0.010000000000000004,0.0025087260034904013,0.9128978224455612,0.02919990161284655,69,1.0,1.0,1.0,1.0,1.0,0.6448168754577637,7.397791341645643e-05
0.014677992676220709,0.0013452588714368819,0.9229480737018425,0.023612916827717066,37,1.0,1.0,1.0,1.0,1.0,0.657776415348053,6.437388947233558e-05
0.02154434690031885,0.0006180919139034322,0.9128978224455612,0.013264696581046417,17,0.999983931746296,0.9977368153405133,0.99324217729691,0.991652754590985,0.9933110367892977,0.670089602470398,4.8876667278818786e-05
0.0316227766016838,0.00018179173938336242,0.9782244556113903,0.019167925787975684,5,0.9999363744239781,0.9936284518365894,0.9660929659974848,0.9680672268907563,0.9664429530201343,0.6835579872131348,0.001076642656698823
0.04641588833612786,0.00014543339150668993,0.9824120603015075,0.019255771460697846,4,0.9998652444437538,0.9826552576076284,0.9561429579117575,0.9534109816971714,0.9565943238731219,0.689333975315094,0.0005565474275499582
0.0681292069057962,0.00014543339150668993,0.9824120603015075,0.019255771460697846,4,0.9998652444437538,0.9826552576076284,0.9561429579117575,0.9534109816971714,0.9565943238731219,0.6926118731498718,0.00021704267419409007
0.10000000000000002,0.0,0.0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.6931474208831787,0.0
