True,ASDC,B_intermediate,B_memory,B_naive,CD14_Mono,CD16_Mono,CD4_CTL,CD4_Naive,CD4_Proliferating,CD4_TCM,CD4_TEM,CD8_Naive,CD8_Proliferating,CD8_TCM,CD8_TEM,Doublet,Eryth,HSPC,ILC,MAIT,NK,NK_CD56bright,NK_Proliferating,Plasmablast,Platelet,Treg,cDC1,cDC2,dnT,gdT,pDC
ASDC,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
B_intermediate,0,2146,25,241,2,0,0,3,0,2,0,0,0,0,2,0,1,0,0,0,8,0,0,0,0,1,0,0,0,0,0
B_memory,0,29,3247,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B_naive,0,106,10,7587,3,2,0,2,0,2,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0
CD14_Mono,0,0,0,1,42433,165,0,12,0,1,1,2,0,0,3,11,0,0,0,0,1,0,0,1,15,1,0,43,0,0,0
CD16_Mono,0,0,0,0,202,6098,0,0,0,0,0,0,0,0,0,12,1,0,0,0,2,0,0,0,0,0,0,5,0,0,0
CD4_CTL,0,0,0,0,0,0,1696,0,0,4,2,0,0,0,29,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
CD4_Naive,0,0,0,0,0,0,0,16881,0,417,8,47,0,3,2,0,0,0,0,0,0,0,0,0,6,97,0,0,8,10,0
CD4_Proliferating,0,0,0,0,0,0,0,0,104,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CD4_TCM,0,0,0,0,0,0,6,822,1,13315,510,1,0,71,14,0,1,0,0,4,1,0,0,0,1,132,0,0,2,8,0
CD4_TEM,0,0,0,0,0,0,13,8,0,826,3303,0,0,21,30,0,1,0,0,52,0,0,0,1,1,17,0,0,2,7,0
CD8_Naive,0,0,0,0,1,0,0,108,0,14,1,10498,0,49,84,0,0,0,0,0,0,0,0,0,0,7,0,0,2,4,0
CD8_Proliferating,0,0,0,0,0,0,2,0,2,0,0,1,68,0,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
CD8_TCM,0,0,0,0,0,0,0,32,0,276,16,66,1,2348,123,0,0,0,0,4,0,0,0,0,0,12,0,0,1,4,0
CD8_TEM,0,0,0,0,2,1,19,30,0,46,230,41,0,121,10942,0,1,0,0,14,46,0,1,0,3,2,0,0,3,225,0
Doublet,0,0,0,0,211,80,0,19,0,12,1,0,0,0,1,278,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Eryth,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSPC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,1,0,0,0,0,0,0,0,0
ILC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,1,0,0,0,0,0,0,0,0,0
MAIT,0,0,0,0,0,0,0,2,0,11,25,0,0,0,58,0,0,0,0,2674,2,1,0,0,0,0,0,0,0,11,0
NK,0,0,0,0,0,0,3,0,0,1,0,1,0,0,36,1,1,0,0,2,17086,11,4,0,3,0,0,0,0,24,0
NK_CD56bright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,924,0,0,0,0,0,0,0,0,0
NK_Proliferating,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,11,0,531,0,0,0,0,0,0,1,0
Plasmablast,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0
Platelet,0,0,0,2,30,0,0,10,0,0,0,6,0,1,12,2,1,0,0,1,13,0,0,0,2209,0,0,2,0,4,0
Treg,0,0,0,0,2,0,0,258,0,171,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1,2067,0,0,2,0,0
cDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1,0,0,0
cDC2,0,0,0,0,208,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2290,0,0,0
dnT,0,0,0,0,0,0,0,7,0,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,315,4,0
gdT,0,0,0,0,2,0,3,45,0,9,9,10,0,5,190,0,0,0,0,48,38,0,0,0,0,4,0,0,3,3283,0
pDC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860
