,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.3357329842931937,0.14227642276422764,0.14295925661186562,9234,0.995516374330544,0.9594160499386463,0.8938242119747966,0.8519553072625698,0.895741556534508,0.2753071188926697,7.851949339965358e-05
1.4677992676220687e-05,0.3661285631180919,0.13066202090592335,0.13152251608291637,10070,0.99633606008075,0.9611438658276191,0.9038141706834597,0.8647887323943662,0.9056047197640118,0.5253115892410278,0.00011409811850171536
2.1544346900318816e-05,0.26767015706806285,0.1765389082462253,0.17655468191565404,7362,0.9980148928039344,0.9684537243865432,0.9042239188588952,0.8627450980392157,0.9058823529411766,0.2797170579433441,7.308844942599535e-05
3.16227766016838e-05,0.2320026178010471,0.1997677119628339,0.20014295925661185,6381,0.9980227850484888,0.967228952484433,0.9098998112181493,0.8704225352112676,0.9115044247787609,0.29278671741485596,8.029671880649403e-05
4.6415888336127784e-05,0.26661576497963935,0.18466898954703834,0.18513223731236597,7333,0.9964958434178681,0.9662985382946627,0.9114600978639559,0.8818443804034583,0.9134328358208955,0.5415425300598145,7.357085996773094e-05
6.81292069057961e-05,0.23076643397324026,0.21196283391405343,0.2137240886347391,6347,0.9983088442984764,0.9667048479824212,0.9107546754754027,0.8862973760932945,0.912912912912913,0.5476544499397278,5.801314182463102e-05
9.999999999999991e-05,0.18822716695753344,0.24390243902439024,0.2444603288062902,5177,0.9972440835857929,0.9673762047776866,0.9242240816602013,0.9029411764705882,0.9260935143288085,0.5536981225013733,6.789723556721583e-05
0.00014677992676220676,0.14528795811518325,0.2862950058072009,0.2873481057898499,3996,0.9986311801813278,0.9696945868883274,0.8993670638808933,0.8794117647058823,0.9019607843137255,0.5599103569984436,8.802056981949136e-05
0.0002154434690031884,0.10823880162885398,0.34552845528455284,0.34667619728377413,2977,0.9983224134206927,0.9713482294823668,0.9165211580792119,0.9090909090909091,0.9188361408882082,0.566591203212738,0.00030306848930194974
0.00031622776601683783,0.07653432228039558,0.42160278745644597,0.42387419585418157,2105,0.9986124880231728,0.9727031295037069,0.9176983245725479,0.8994082840236687,0.9198184568835099,0.5727697610855103,8.846405398799106e-05
0.00046415888336127757,0.05530104712041885,0.49419279907084784,0.49392423159399573,1521,0.9983434594061709,0.9709712349596124,0.90848930218023,0.9027355623100304,0.911042944785276,0.5799660086631775,7.640561670996249e-05
0.0006812920690579611,0.035413030831879,0.5818815331010453,0.583988563259471,974,0.9963410446562581,0.9603166182343928,0.887900281231758,0.8724035608308606,0.890909090909091,0.5867928862571716,8.129471825668588e-05
0.0009999999999999994,0.021596858638743454,0.6504065040650406,0.6518942101501072,594,0.9973804671101093,0.9471853944805992,0.9028255704029409,0.8918918918918919,0.9054878048780487,0.5933980941772461,9.328481974080205e-05
0.0014677992676220694,0.012107329842931938,0.7096399535423926,0.7162258756254467,333,0.986378401280482,0.9113482362620019,0.8881491812192717,0.8818181818181818,0.891271056661562,0.6011317372322083,8.648981020087376e-05
0.0021544346900318825,0.0062899941826643395,0.740418118466899,0.7390993566833453,173,0.9993240361769413,0.9762860056136639,0.911295730657691,0.9267515923566879,0.9136577708006279,0.6093399524688721,9.141916234511882e-05
0.003162277660168379,0.002872309482257126,0.7229965156794426,0.72337383845604,79,0.9989047779925453,0.9755926418057534,0.9213958173807769,0.9308176100628931,0.923556942277691,0.6185861229896545,7.908976840553805e-05
0.004641588833612776,0.0013816172193135544,0.7860046457607434,0.7784131522516082,38,0.9989568391145178,0.9722751751186359,0.908557225486672,0.9182389937106918,0.9110764430577224,0.6295154094696045,5.375399996410124e-05
0.006812920690579607,0.0006544502617801048,0.7319976771196284,0.7312365975696926,18,0.9987247794325338,0.9637816875841396,0.9028528716206851,0.9228295819935691,0.9053627760252366,0.6426123380661011,2.9829121558577754e-05
0.009999999999999995,0.0003272251308900524,0.5824622531939605,0.5868477483917084,9,0.9935723898824195,0.8529519702927948,0.7600100623286352,0.7940199335548173,0.7660256410256411,0.6576992869377136,0.0012945206835865974
0.014677992676220683,0.00029086678301337986,0.6010452961672474,0.5968548963545389,8,0.9932727615102156,0.8496194384909409,0.7567135255540549,0.7906976744186046,0.7628205128205129,0.6696140766143799,0.0006377905956469476
0.02154434690031883,0.0002545084351367074,0.632404181184669,0.6283059328091494,7,0.9924910139180425,0.8267316894262238,0.727563735878568,0.7651006711409396,0.7342995169082125,0.6784611940383911,0.00039236267912201583
0.0316227766016838,0.0002181500872600349,0.7653890824622532,0.7616154395997141,6,0.9905985367501676,0.7610086728886192,0.6676005782116196,0.7275985663082437,0.6744186046511628,0.6852121949195862,0.0005035573267377913
0.046415888336127774,0.00010907504363001745,0.8077816492450639,0.7998570407433881,3,0.9825809855059621,0.5877128043798011,0.5107130329699198,0.6,0.5176056338028169,0.6900121569633484,0.00014038942754268646
0.06812920690579607,7.271669575334496e-05,0.9866434378629501,0.9874910650464617,2,0.9604014244809118,0.2675810410431278,0.15984218870228273,0.3018867924528302,0.1491841491841492,0.6927676200866699,0.00031418100115843117
0.0999999999999999,0.0,0.0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.6931473612785339,0.0
0.14677992676220672,0.0,0.0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.6931473612785339,0.0
0.21544346900318834,0.0,0.0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.6931473612785339,0.0
0.3162277660168378,0.0,0.0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.6931473612785339,0.0
0.4641588833612774,0.0,0.0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.6931473612785339,0.0
