,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.42313845258871435,0.15881939564300773,0.1588929889298893,11638,0.9941067004743873,0.9798325626476269,0.9271712698532069,0.90463645943098,0.937995083310571,0.19823352992534637,1.1144298639464978e-07
1.4677992676220687e-05,0.4027050610820244,0.17275708596861092,0.17284132841328415,11076,0.9940264809027919,0.9795836721888193,0.9225726481803957,0.8987939171473519,0.9340599455040873,0.19900831580162048,2.42057467403356e-08
2.1544346900318854e-05,0.38259889470622455,0.18564066526118528,0.18671586715867158,10523,0.9937770286088325,0.9788653696857733,0.9264034437044887,0.9049630411826821,0.9373803664205633,0.20006173849105835,8.206858836956599e-08
3.16227766016838e-05,0.35776614310645727,0.2046146638557039,0.20428044280442803,9840,0.9933880728783888,0.9780407571329979,0.9216757074650318,0.8999473407056345,0.9333697433096668,0.20055903494358063,5.579820694379123e-08
4.6415888336127784e-05,0.33151541593949974,0.22581400796439446,0.2267158671586716,9118,0.9940950824674667,0.9786528817871792,0.9329684891087952,0.9187735341581496,0.9431253451131971,0.20160330832004547,3.784988678035006e-08
6.81292069057961e-05,0.30373763816172195,0.25087842586085735,0.25121771217712174,8354,0.9942343820792681,0.9791240265619708,0.9322779236419456,0.9219088937093276,0.9426115885777654,0.20189878344535828,3.927779346213356e-08
9.999999999999991e-05,0.2739237929028505,0.276996954790349,0.27690036900369003,7534,0.9954890103554586,0.9817756192053166,0.9353533152160436,0.9232017306652245,0.9451827242524917,0.20233669877052307,5.439615335944836e-08
0.00014677992676220703,0.2426192553810355,0.310728507847271,0.3104059040590406,6673,0.9948533394053676,0.9800603341971771,0.9332879084192168,0.9224932249322493,0.9434589800443459,0.20269495248794556,2.0860751348550366e-08
0.0002154434690031884,0.20960587550901688,0.34867650503630826,0.34937269372693724,5765,0.9948124579975565,0.9778808322610154,0.9316201765391473,0.9213665943600867,0.9420571111727197,0.2067476511001587,6.531184482128083e-08
0.00031622776601683783,0.17542902850494474,0.39622862497071915,0.3974907749077491,4825,0.9955647749018438,0.9815111783406998,0.9363264733507425,0.9317931793179318,0.9461044401005307,0.21128952503204346,6.095212512491344e-08
0.00046415888336127795,0.1456151832460733,0.4440149918013586,0.443690036900369,4005,0.9946922887881283,0.9773477965341563,0.936533156751043,0.9381270903010034,0.9463030643800956,0.21711525321006775,7.187137107678154e-09
0.0006812920690579617,0.11325625363583479,0.4973061606933708,0.49785977859778596,3115,0.9942087875226683,0.9755269089518249,0.9315181287507593,0.939120631341601,0.9420412779191406,0.222966730594635,3.461817854599758e-08
0.0010000000000000002,0.08540575916230367,0.5631295385336145,0.5647232472324724,2349,0.993636360459875,0.9717403050705589,0.9319597946854093,0.9431818181818182,0.9423786545557763,0.22998622059822083,2.0757934748871776e-07
0.0014677992676220694,0.060573007562536356,0.6182361208713985,0.6187453874538745,1666,0.992398736985794,0.9663377037718652,0.9260649387757878,0.9360859728506787,0.9374114981591617,0.2389916181564331,3.8058036722077304e-08
0.0021544346900318843,0.04112129144851658,0.6729913328648396,0.6715867158671587,1131,0.9946312869723417,0.9719074500861474,0.9165017422855928,0.9412107101280559,0.9290433783395576,0.2502237558364868,8.148487751213906e-08
0.003162277660168382,0.026832460732984294,0.7162098852190208,0.7176383763837639,738,0.9979661790792015,0.9854716457478775,0.9419379137462707,0.9532497149372862,0.9508103497298833,0.26372894644737244,1.6157386539816798e-07
0.004641588833612781,0.014870564281559046,0.758608573436402,0.7607380073800738,409,0.9983975303436717,0.9880573617980748,0.9514447139516644,0.9586167800453514,0.9588885738588036,0.2775462865829468,4.2074592698782e-08
0.006812920690579613,0.007780686445607912,0.790114780979152,0.7891512915129151,214,0.9983602013089038,0.9907698485578723,0.9564575153654693,0.9631310266591038,0.9631310266591038,0.2932201027870178,2.665396259260433e-08
0.010000000000000004,0.0037812681791739382,0.8060435699226984,0.8099630996309963,104,0.9978375365865306,0.9894979785609744,0.9535212225086749,0.9587570621468926,0.9606566657231814,0.3138720393180847,7.269636057571915e-07
0.014677992676220709,0.0007271669575334497,0.8806512063715155,0.8812546125461255,20,0.9976224141927202,0.9844592678252558,0.9325892438300498,0.9509521061742643,0.9427917620137299,0.33034640550613403,0.0007282767328433692
0.02154434690031885,0.0004726585223967423,0.8798313422347154,0.8814760147601476,13,0.9973348466830737,0.9841204755559869,0.9311644689210877,0.9513607411696584,0.9415472779369627,0.3687226176261902,0.0006445815670304
0.0316227766016838,0.0003272251308900524,0.9342937456078707,0.9344649446494465,9,0.9972334584622767,0.9831664325699568,0.9319402952045502,0.9498559077809798,0.9422527158376215,0.4124515652656555,0.000599040009547025
0.04641588833612786,0.0002545084351367074,0.9558444600609042,0.955719557195572,7,0.9965662529219723,0.9798696756815503,0.9270752097753945,0.9422196796338673,0.9381942466533751,0.4639010429382324,0.0009221062646247447
0.0681292069057962,0.0002545084351367074,0.9558444600609042,0.955719557195572,7,0.9965662529219723,0.9798696756815503,0.9270752097753945,0.9422196796338673,0.9381942466533751,0.5217257738113403,0.000702533929143101
0.10000000000000002,0.0002181500872600349,0.9866479269149684,0.9859040590405904,6,0.9967059601831394,0.9787408946098405,0.9277781738927735,0.9422857142857143,0.9387987475092513,0.5797750353813171,0.0005808697314932942
