,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.3788176265270506,0.10829791166143042,0.1080018501387604,10419,0.9915969893462327,0.9707606115228664,0.8943834323058246,0.8427773343974462,0.9025641025641026,0.2899399399757385,3.301425977042527e-08
1.4677992676220687e-05,0.35005817335660266,0.11984845684716319,0.11956521739130435,9628,0.9928152605078593,0.9726649698270966,0.9071157757312358,0.8641571194762684,0.9146816803811173,0.2983434200286865,9.658104005438872e-08
2.1544346900318854e-05,0.3240255962769052,0.13186102384032528,0.13182238667900092,8912,0.9908865703743586,0.9723833888742291,0.9107774436160545,0.8711808422791082,0.918189730200174,0.3088923692703247,5.3054794335594124e-08
3.16227766016838e-05,0.29206660849331006,0.14803178710035114,0.14801110083256244,8033,0.9926957606795574,0.9749662989308633,0.9202135013732191,0.8873002523128679,0.9270650263620386,0.3172314167022705,5.503961020281167e-08
4.6415888336127784e-05,0.2610892961023851,0.16632785067455183,0.16628122109158186,7181,0.9934438048745332,0.9769589965447611,0.9241914198667402,0.8975234842015372,0.9309123117803366,0.32666516304016113,9.150161162096992e-08
6.81292069057961e-05,0.22425828970331588,0.19164664572167806,0.1922987974098057,6168,0.9928852116268654,0.9753834580955255,0.9262261028378599,0.9027538726333907,0.9328590484659849,0.3359358012676239,3.567949988791952e-07
9.999999999999991e-05,0.18593659104130308,0.22361855479578635,0.22282608695652173,5114,0.9932653058701001,0.9768761754413088,0.9358130188087751,0.9186351706036745,0.9417040358744394,0.34437501430511475,3.7133710861780855e-07
0.00014677992676220703,0.1511416521233275,0.25854740343744226,0.2574005550416281,4157,0.9939460927707284,0.9774082200971631,0.9321383643380119,0.9173989455184535,0.9384269662921348,0.3543388247489929,1.4380258051005512e-07
0.0002154434690031884,0.11641942990110529,0.3086305673627795,0.3080481036077706,3202,0.9957772311227366,0.9805780807953283,0.9384843130968015,0.9303571428571429,0.9442682374263706,0.3659953773021698,2.0664360889099953e-08
0.00031622776601683783,0.08620564281559046,0.37238957678802437,0.3723404255319149,2371,0.9964780229835353,0.9826516906761781,0.9413275913172496,0.9425706472196901,0.9468864468864469,0.3769795894622803,6.312301081834448e-08
0.00046415888336127795,0.06195462478184991,0.4407688042875624,0.43975485661424607,1704,0.9969478083395864,0.9801240419371421,0.9428712795734463,0.9435336976320583,0.948283752860412,0.3862370550632477,2.518117696581612e-07
0.0006812920690579617,0.04184845840605003,0.49325448161153207,0.49283071230342274,1151,0.9966124492501098,0.978270549017162,0.9439344459137734,0.9436363636363636,0.9492455418381345,0.39848220348358154,1.804758831269737e-08
0.0010000000000000002,0.02915939499709133,0.5645906486786176,0.5626734505087881,802,0.9949950504283975,0.9650275238907757,0.9342448940784694,0.9361896080218779,0.9404761904761906,0.412176251411438,3.7065522207058166e-08
0.0014677992676220694,0.01799738219895288,0.6239142487525411,0.6234967622571693,495,0.9983894461425844,0.9866084527797834,0.939196489393503,0.9423604757548033,0.944954128440367,0.4259694218635559,5.265460458758753e-07
0.0021544346900318843,0.011089296102385108,0.648124191461837,0.6470860314523589,305,0.9989151394005683,0.9907737124000492,0.9466836966091233,0.9512867647058824,0.9517241379310344,0.4424334168434143,1.2822927430988784e-07
0.003162277660168382,0.006799011052937755,0.6980225466642026,0.696577243293247,187,0.9990122937325211,0.9916100750486421,0.9414642282725929,0.9491682070240296,0.9469801751959428,0.46276330947875977,5.405711362982402e-07
0.004641588833612781,0.0041084933100639905,0.7495841803733136,0.7513876040703052,113,0.9987687013256796,0.988578599770587,0.9419506428451773,0.9500462534690102,0.9474169741697417,0.48469996452331543,0.001345858327113092
0.006812920690579613,0.0020724258289703318,0.791535760487895,0.7883903792784459,57,0.9972867444749214,0.9757516852450867,0.911395892788502,0.9222941720629048,0.9197416974169742,0.505876362323761,0.0008497707895003259
0.010000000000000004,0.001127108784176847,0.7939382738865275,0.7907030527289547,31,0.9956112738593376,0.9619358825523273,0.8766684927890733,0.891566265060241,0.8882733148661125,0.5256011486053467,0.0006420940044336021
0.014677992676220709,0.0005817335660267597,0.8144520421363888,0.8142923219241444,16,0.9944340283224308,0.9457224160839128,0.8638078102627739,0.8669064748201439,0.8767621646202819,0.5442119240760803,0.0007110476144589484
0.02154434690031885,0.00036358347876672484,0.8470707817408982,0.8471322849213692,10,0.9935697080565318,0.9412840609381807,0.861186882750689,0.868421052631579,0.8743718592964824,0.5638973116874695,0.0005545017193071544
0.0316227766016838,0.0003272251308900524,0.9042690815006468,0.9017113783533766,9,0.9933632109400724,0.9382233044404877,0.8491248148458787,0.8602739726027397,0.8634280476626948,0.5869462490081787,0.0005370030412450433
0.04641588833612786,0.0002181500872600349,0.9284790242099427,0.9269195189639223,6,0.990773076450214,0.9238016388584588,0.8257243798853297,0.8479477611940298,0.8420565076424269,0.6129529476165771,0.0005554850795306265
0.0681292069057962,0.00018179173938336242,0.9526889669192385,0.9521276595744681,5,0.9890023062671962,0.8995726636049617,0.8052297981743012,0.8372978116079924,0.823199251637044,0.6399782299995422,0.0004551179299596697
0.10000000000000002,0.00014543339150668993,0.9284790242099427,0.9272664199814986,4,0.9876718660132241,0.8828561292762628,0.7950718973705238,0.8271604938271605,0.814018691588785,0.6655635833740234,0.0003871128137689084
