,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.06424520069808028,0.3969855505729945,0.3968352466645982,1767,0.9999996352502877,0.9999976013450307,0.9985460493906089,0.9974779319041615,0.9987373737373738,0.005135487299412489,0.0024393766652792692
1.4677992676220687e-05,0.0610456660849331,0.40508221225710017,0.4052125349053677,1679,0.9999515186840608,0.9996793387256899,0.9981833772831064,0.9968494013862634,0.9984222152098454,0.006906761787831783,0.0010675742523744702
2.1544346900318854e-05,0.0545738801628854,0.4248878923766816,0.4238287309959665,1501,0.9999994528754313,0.9999963959347123,0.9981833772831064,0.9968494013862634,0.9984222152098454,0.009117462672293186,1.821101614041254e-05
3.16227766016838e-05,0.04406631762652705,0.46493522670652715,0.46556003723239214,1212,0.9999994528754315,0.9999963984687514,0.9974590081489274,0.9955947136563876,0.9977924944812362,0.01638397015631199,2.993427733599674e-05
4.6415888336127784e-05,0.043520942408376964,0.49451918285999,0.4936394663357121,1197,0.9999995744586688,0.9999972029146476,0.9981833772831064,0.9968494013862634,0.9984222152098454,0.02384939417243004,0.00012223348312545568
6.81292069057961e-05,0.0220695171611402,0.5909317389138017,0.5946323301272107,607,0.9999994528754315,0.999996403030382,0.9989079334613334,0.9987365761212887,0.9990521327014218,0.026456650346517563,4.2668674723245203e-05
9.999999999999991e-05,0.014761489237929028,0.685413552566019,0.6856189885200124,406,0.9999973251687757,0.9999827541936228,0.9981788692081603,0.9987349778621126,0.9984192222573506,0.030157219618558884,0.00011174683459103107
0.00014677992676220703,0.010289412449098314,0.7446437468858994,0.7404591995035681,283,0.9999936776716519,0.9999587846625893,0.9970868656303398,0.9974715549936789,0.9974715549936789,0.034329283982515335,0.00024464272428303957
0.0002154434690031884,0.007635253054101222,0.7589063278525162,0.7572913434688179,210,0.9999784797669686,0.9998712858362558,0.995991812809774,0.9974667511082964,0.9965200885795633,0.03737625479698181,3.509199814288877e-06
0.00031622776601683783,0.014688772542175684,0.6639262580966616,0.6652963077877754,404,0.9999912460069026,0.999945472075395,0.9985429168617336,0.9993670886075949,0.9987349778621125,0.042224518954753876,0.00011089436884503812
0.00046415888336127795,0.010616637579988365,0.7048455406078724,0.7049332919640087,292,0.99999136759014,0.9999445148447308,0.9967219115065468,0.9974699557242251,0.9971546000632311,0.04709310829639435,0.00012146584049332887
0.0006812920690579617,0.0032722513089005235,0.8255480817140011,0.8266366739062985,90,0.9995841853278699,0.9992083354066529,0.9956251940174693,0.9993638676844784,0.9961953075459734,0.05290330946445465,2.4898845367715694e-06
0.0010000000000000002,0.0026905177428737637,0.8292850024912806,0.826869376357431,74,0.996330800268164,0.9957094366619407,0.9937999866272671,0.9974570883661793,0.9946117274167987,0.059610556811094284,1.3680572010343894e-05
0.0014677992676220694,0.0022178592204770216,0.8293472845042352,0.8270245113248527,61,0.9999961093364012,0.9999748723532911,0.9978138655650194,0.9993662864385298,0.9981012658227848,0.0689624696969986,5.785074972664006e-05
0.0021544346900318843,0.001490692262943572,0.883034379671151,0.8799255352156377,41,0.9999971427939195,0.9999814220275098,0.9974492452870032,0.9993658845909955,0.99778410889522,0.08257265388965607,1.932783743541222e-05
0.003162277660168382,0.001272542175683537,0.9211509715994021,0.9219671113869066,35,0.9999979938765817,0.9999868335873855,0.9974494696676935,1.0,0.9977827050997783,0.10057111829519272,6.853063041489804e-06
0.004641588833612781,0.0011634671320535194,0.9020926756352765,0.9009463233012721,32,0.9999984802095316,0.9999900182542237,0.9967199833846467,0.9987317691819911,0.9971509971509971,0.12348249554634094,0.0001178691818495281
0.006812920690579613,0.0008362420011634672,0.9211509715994021,0.9219671113869066,23,0.9999603638645864,0.9997523528052679,0.993799308020876,0.9980903882877148,0.9946083095464636,0.14660629630088806,8.14934610389173e-05
0.010000000000000004,0.0006180919139034322,0.9291230692575984,0.9291033198883029,17,0.9998752555983609,0.9992834388289336,0.9923398902312239,0.996185632549269,0.9933438985736927,0.1779850423336029,0.00015901128062978387
0.014677992676220709,0.0003999418266433973,0.9291230692575984,0.9291033198883029,11,0.9998317287993485,0.9989946902456068,0.9912406651035635,0.9968112244897959,0.9923809523809523,0.22023481130599976,1.4338327218865743e-06
0.02154434690031885,0.0003272251308900524,0.9291230692575984,0.9291033198883029,9,0.9990896151136719,0.997962450754439,0.9857454021979398,0.994868505452213,0.9875835721107927,0.2702060639858246,6.146055397948658e-07
0.0316227766016838,0.0002181500872600349,0.9349152964623817,0.9352311511014583,6,0.9984841001952871,0.9970518301282065,0.9813336601389546,0.9954692556634305,0.9836904381196035,0.3299958109855652,5.173789759282954e-05
0.04641588833612786,0.00018179173938336242,0.9407075236671649,0.9413589823146137,5,0.9984794800322634,0.9969376155677657,0.9809661222895252,0.9948253557567918,0.983375959079284,0.40185651183128357,6.873968345644244e-07
0.0681292069057962,0.00014543339150668993,0.945254110612855,0.9458578963698417,4,0.9984383848980002,0.9961680468087866,0.9769261916048628,0.9903163331181407,0.9798786330245928,0.4812176525592804,0.0
0.10000000000000002,7.271669575334496e-05,0.9676133532635776,0.9679646292274279,2,0.9970554667592644,0.9939820711750862,0.9728598779093084,0.9902470741222367,0.9762820512820513,0.5588346123695374,6.246830889722332e-05
