,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.3612565445026178,0.10068059141046702,0.10041103934233706,9936,0.9881550388618678,0.9171890602185743,0.8130034290383666,0.7590953785644051,0.8247863247863249,0.5032347440719604,3.977285450673662e-05
1.4677992676220687e-05,0.33133362420011636,0.11241492607369162,0.11215502055196712,9113,0.9861822883027755,0.9084504032015793,0.8156149900054688,0.7722672064777328,0.8279978296256103,0.5104721784591675,7.477991630366887e-07
2.1544346900318854e-05,0.3022105875509017,0.12414926073691622,0.12360540223135642,8312,0.9885159775220671,0.913365733308141,0.8210228935260023,0.7784552845528455,0.8330614464382817,0.5179955959320068,6.468120409408584e-05
3.16227766016838e-05,0.2685063990692263,0.1386998357193147,0.138285378743394,7385,0.9865247736169875,0.9076599588796767,0.8175574401365342,0.7845993756503642,0.8303964757709252,0.5257794857025146,1.4882848518027458e-06
4.6415888336127784e-05,0.23367510180337406,0.15747477118047407,0.15678214914856137,6427,0.9868088782562466,0.9116364873325362,0.826930651658793,0.79768177028451,0.8392461197339245,0.533708393573761,1.1129693120892625e-05
6.81292069057961e-05,0.19902559627690516,0.17941797700070405,0.178508514386377,5474,0.9853999433218658,0.9070313914684431,0.8338696012555212,0.8118279569892473,0.84593837535014,0.541599452495575,5.2219176723156124e-05
9.999999999999991e-05,0.1647760325770797,0.20699366345928186,0.2064004697592484,4532,0.9843176216273214,0.9005022482205094,0.8225191225534495,0.8056460369163952,0.8355855855855856,0.5493404865264893,8.951401468948461e-06
0.00014677992676220703,0.1277632344386271,0.24700774466087771,0.24559600704638873,3514,0.981465316496852,0.8969161898346192,0.8140898308712343,0.804635761589404,0.82793867120954,0.5567857027053833,1.4627420569013339e-05
0.0002154434690031884,0.09562245491564864,0.29946022060549166,0.2991779213153259,2630,0.9839202705612012,0.9012413866410461,0.8254351984700302,0.8215488215488216,0.8384879725085911,0.5638802647590637,5.8936464483849704e-05
0.00031622776601683783,0.06726294357184409,0.36751936165219434,0.3668526130358192,1850,0.9775114674364348,0.8612484494571886,0.7916959928936029,0.7875417130144605,0.8072976054732041,0.5705476999282837,1.5423171362272114e-06
0.00046415888336127795,0.043121000581733564,0.4402722365641868,0.4399588960657663,1186,0.9894183241725653,0.9209846290006173,0.8414829471530768,0.8459770114942529,0.8533333333333332,0.5768914818763733,8.33176000014646e-06
0.0006812920690579617,0.027705061082024432,0.5342642572166159,0.532002348796242,762,0.9930090377458798,0.946645552296472,0.8783171769337157,0.8904593639575972,0.8873239436619719,0.5832952857017517,3.7274189708114136e-06
0.0010000000000000002,0.017779232111692845,0.6172260032856137,0.6165590135055784,489,0.9936476553266461,0.9561094475516289,0.8861820801912162,0.9073405535499398,0.8944246737841044,0.5901061296463013,4.581100938594318e-07
0.0014677992676220694,0.01068935427574171,0.688453414691387,0.6886376981796829,294,0.9935866933800819,0.9553403278978412,0.8906120986988553,0.9120481927710843,0.8985163204747775,0.5973424315452576,6.102644647398847e-07
0.0021544346900318843,0.006762652705061082,0.7339826331846985,0.7348796241926012,186,0.9934127046893466,0.9556963243838611,0.8909098044304601,0.9161603888213852,0.8986889153754469,0.6047187447547913,2.936094460892491e-07
0.003162277660168382,0.004435718440954043,0.7453649378080263,0.7455960070463887,122,0.9935327612796078,0.9412878368741561,0.8625845792742,0.895320197044335,0.8722255548890223,0.6119043231010437,1.0672196140149026e-06
0.004641588833612781,0.002654159394997091,0.7589767660173669,0.7563123899001761,73,0.9924948704091809,0.9311222394607012,0.8476856374990112,0.8865336658354115,0.8581774290887145,0.6194968819618225,2.5684673801151803e-06
0.006812920690579613,0.0017088423502036067,0.7634358131893921,0.761303581914269,47,0.9912009393631838,0.9213982052142915,0.8312015172160999,0.8772151898734177,0.8425531914893617,0.6274402141571045,6.9037332650623284e-06
0.010000000000000004,0.000981675392670157,0.8976766017366815,0.9004697592483852,27,0.9864038382959653,0.8871634608325191,0.796136595223773,0.8622516556291391,0.808695652173913,0.6353359818458557,2.6409810516270227e-07
0.014677992676220709,0.0006908086096567772,0.9007275287491199,0.9028185554903112,19,0.983165935123308,0.86638990191966,0.7678702026550338,0.8430311231393776,0.7816813048933502,0.6435959339141846,1.066453364728659e-06
0.02154434690031885,0.0005090168702734148,0.9226707345693499,0.9227833235466824,14,0.9826254058637703,0.860934720641111,0.7734538745926848,0.8475033738191633,0.7869674185463659,0.6522173881530762,3.125626335531706e-07
0.0316227766016838,0.0002181500872600349,0.9559962450129078,0.9536112742219612,6,0.9730008875180689,0.8016455677496398,0.7054817601351223,0.8051948051948052,0.7209302325581395,0.6610652804374695,1.2609972088739596e-07
0.04641588833612786,0.00014543339150668993,0.9559962450129078,0.9536112742219612,4,0.9706073347656645,0.794848454344036,0.7036513713838296,0.7988587731811697,0.7197943444730075,0.6712036728858948,1.2393709766911343e-05
0.0681292069057962,7.271669575334496e-05,0.9131659234921381,0.9139753376394597,2,0.9565728511737644,0.7220768401597948,0.6459020939434715,0.7424460431654676,0.6658064516129032,0.6818601489067078,6.3536463130731136e-06
0.10000000000000002,0.0,0.0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.6905772686004639,3.0681490898132324e-05
