,Percentage,Prevalence,Train_prevalence,Feature_number,AUC,AUPR,MCC,Precision,F1 score,loss_history,error_history
9.999999999999997e-06,0.2234584060500291,0.35678391959798994,0.35714285714285715,6146,0.9999513513435017,0.9954481770767508,0.939132644061698,0.8832116788321168,0.937984496124031,0.06685411930084229,0.3139885365962982
1.4677992676220687e-05,0.3055191972076789,0.2747068676716918,0.27521008403361347,8403,0.9954764010450022,0.9836314973693008,0.8554521811416491,0.7407407407407407,0.8480565371024734,0.17155534029006958,0.002096461597830057
2.1544346900318854e-05,0.2702152414194299,0.3098827470686767,0.31092436974789917,7432,0.9877862828215059,0.9766765064996769,0.8657318224353723,0.7712418300653595,0.8613138686131386,0.183875173330307,0.0010463288053870201
3.16227766016838e-05,0.2285849331006399,0.3500837520938023,0.35084033613445376,6287,0.999860225874986,0.9915131689377925,0.9417710707341898,0.8955223880597015,0.9411764705882352,0.1530163586139679,0.007193399593234062
4.6415888336127784e-05,0.17608347876672484,0.423785594639866,0.42436974789915966,4843,0.9850096789043452,0.9782323260080455,0.9294055640243644,0.8872180451127819,0.9291338582677166,0.14206412434577942,0.0002520387643016875
6.81292069057961e-05,0.12027341477603258,0.490787269681742,0.49369747899159666,3308,0.9917870902439839,0.9909427357044005,0.9751797226972153,0.967479674796748,0.9754098360655739,0.1512548327445984,0.00043040630407631397
9.999999999999991e-05,0.08867801047120419,0.5661641541038526,0.5672268907563025,2439,0.991758046269955,0.9917537711492783,0.9875310719027685,0.9836065573770492,0.9876543209876544,0.13105793297290802,9.97528786683688e-06
0.00014677992676220703,0.06159104130308319,0.626465661641541,0.6302521008403361,1694,0.9917660333628131,0.9914856315752545,0.9873953818664025,1.0,0.9874476987447699,0.1707194447517395,8.496759255649522e-05
0.0002154434690031884,0.03904886561954625,0.6968174204355109,0.6995798319327731,1074,0.9923273081609211,0.9918287177821251,0.9958154512371064,1.0,0.995850622406639,0.1862943172454834,1.3913017937738914e-05
0.00031622776601683783,0.025123618382780686,0.7621440536013401,0.7647058823529411,691,0.9999920129071421,0.9993086661199082,0.9916139839146769,1.0,0.9916666666666667,0.206049382686615,0.0006776718073524535
0.00046415888336127795,0.017233856893542756,0.8048576214405361,0.8077731092436975,474,1.0,1.0,0.9873953818664025,1.0,0.9874476987447699,0.34032341837882996,6.236547778826207e-05
0.0006812920690579617,0.011452879581151832,0.830820770519263,0.8340336134453782,315,0.9999956434038957,0.9996080035450114,0.9958154512371064,1.0,0.995850622406639,0.3093568682670593,4.3499494495335966e-05
0.0010000000000000002,0.006762652705061082,0.8584589614740368,0.8592436974789915,186,0.9999963695032463,0.9996631976837508,0.9916139839146769,1.0,0.9916666666666667,0.3569682538509369,2.131013934558723e-05
0.0014677992676220694,0.004072134962187318,0.914572864321608,0.9191176470588235,112,0.9999963695032463,0.9996707333070969,0.9873953818664025,1.0,0.9874476987447699,0.4195828437805176,0.00013282020518090576
0.0021544346900318843,0.002763234438627109,0.914572864321608,0.9191176470588235,76,0.9998075836720586,0.9928070430032643,0.9873953818664025,1.0,0.9874476987447699,0.34942659735679626,3.091463804594241e-05
0.003162277660168382,0.0014179755671902268,0.8525963149078727,0.8592436974789915,39,0.9936560699727424,0.9893093985275009,0.9916139839146769,1.0,0.9916666666666667,0.35564640164375305,0.0026220513973385096
0.004641588833612781,0.0008362420011634672,0.8693467336683417,0.8823529411764706,23,0.9999339249590844,0.9963513167966742,0.9831594243274872,1.0,0.9831932773109243,0.4059833884239197,2.5947707626983174e-07
0.006812920690579613,0.0006908086096567772,0.9128978224455612,0.9096638655462185,19,0.9999796692181797,0.9984185797604817,0.9874287696817408,0.9916666666666667,0.9875518672199171,0.6037870049476624,0.017746545374393463
0.010000000000000004,0.0025814426992437464,0.916247906197655,0.9201680672268907,71,0.9998830980045338,0.9927667781030683,0.9831594243274872,1.0,0.9831932773109243,0.6455869674682617,7.172283949330449e-05
0.014677992676220709,0.0013816172193135544,0.9195979899497487,0.9233193277310925,38,0.9999077853824583,0.9953037780723786,0.9789058857966645,1.0,0.9789029535864979,0.65780109167099,7.343586185015738e-05
0.02154434690031885,0.0006180919139034322,0.9229480737018425,0.9264705882352942,17,0.9999970956025971,0.9997273219171665,0.9831594243274872,1.0,0.9831932773109243,0.6687124967575073,7.084530807333067e-05
0.0316227766016838,0.0002181500872600349,0.966499162479062,0.9653361344537815,6,0.9999920129071421,0.999239280993083,0.9875310719027685,0.9836065573770492,0.9876543209876544,0.6835529804229736,1.8976925275637768e-06
0.04641588833612786,0.00010907504363001745,0.9782244556113903,0.976890756302521,3,0.9999186768727191,0.9800421113888607,0.987698969494486,0.9758064516129032,0.9877551020408163,0.6894537210464478,2.432874168789567e-07
0.0681292069057962,0.00010907504363001745,0.9782244556113903,0.976890756302521,3,0.9999186768727191,0.9800421113888607,0.987698969494486,0.9758064516129032,0.9877551020408163,0.6926374435424805,1.019896717480151e-05
0.10000000000000002,0.0,0.0,0.0,0,0.0,0.0,-1.0,0.0,0.0,0.6931473612785339,0.0
