,names,scores,logfoldchanges,pvals,pvals_adj
0,TYROBP,125.291756,9.977874,0.0,0.0
1,FTL,122.85296,3.1183848,0.0,0.0
2,CST3,122.478386,10.052693,0.0,0.0
3,LYZ,117.09263,9.588817,0.0,0.0
4,S100A6,116.91651,4.669181,0.0,0.0
5,FTH1,116.66241,2.8545032,0.0,0.0
6,CTSS,116.35139,8.402666,0.0,0.0
7,FCN1,116.08092,10.447749,0.0,0.0
8,LST1,113.36631,8.97184,0.0,0.0
9,S100A9,113.16612,9.220729,0.0,0.0
10,PSAP,110.908,7.8422966,0.0,0.0
11,S100A8,108.115746,8.74692,0.0,0.0
12,S100A4,106.159515,4.8258824,0.0,0.0
13,AIF1,103.5749,7.610033,0.0,0.0
14,LGALS1,103.175064,7.7427506,0.0,0.0
15,SRGN,102.255486,6.3390274,0.0,0.0
16,S100A11,101.39654,7.218577,0.0,0.0
17,GPX1,100.642944,6.5618277,0.0,0.0
18,ACTB,97.46065,1.5275345,0.0,0.0
19,CSTA,96.876175,8.874208,0.0,0.0
20,OAZ1,95.21569,3.1529498,0.0,0.0
21,VCAN,95.13438,9.04886,0.0,0.0
22,NEAT1,94.400185,5.695905,0.0,0.0
23,COTL1,93.46127,5.8998237,0.0,0.0
24,MNDA,93.26041,8.53237,0.0,0.0
25,FCER1G,92.64895,7.659995,0.0,0.0
26,SAT1,90.42889,6.1214404,0.0,0.0
27,TSPO,89.64149,5.620332,0.0,0.0
28,FOS,88.95892,6.794341,0.0,0.0
29,SH3BGRL3,87.84117,3.352024,0.0,0.0
30,AP1S2,85.73097,6.3799787,0.0,0.0
31,MT-CO1,85.33591,0.97964716,0.0,0.0
32,S100A12,84.953995,8.48996,0.0,0.0
33,VIM,84.49482,4.291978,0.0,0.0
34,CYBA,84.04877,3.2475538,0.0,0.0
35,TMSB10,83.94627,0.95790243,0.0,0.0
36,GAPDH,83.20933,3.72889,0.0,0.0
37,H3F3A,82.60656,2.5245416,0.0,0.0
38,TYMP,82.56477,7.02118,0.0,0.0
39,SERPINA1,82.460625,8.767461,0.0,0.0
40,GRN,82.076126,6.809376,0.0,0.0
41,ATP5E,81.00726,1.8687328,0.0,0.0
42,FGL2,79.902885,8.189336,0.0,0.0
43,CFD,79.75317,7.2290807,0.0,0.0
44,GSTP1,78.313705,4.943002,0.0,0.0
45,MS4A6A,78.02529,7.927083,0.0,0.0
46,NPC2,77.99,5.4501796,0.0,0.0
47,RPS24,76.69969,0.8820838,0.0,0.0
48,SERF2,75.11238,1.6932712,0.0,0.0
49,TKT,74.746284,5.4361053,0.0,0.0
50,CYBB,74.732895,7.10837,0.0,0.0
51,HLA-DRA,70.7143,5.832234,0.0,0.0
52,LGALS2,70.466515,8.001074,0.0,0.0
53,TMSB4X,69.685295,0.7939228,0.0,0.0
54,CD14,69.565994,7.969252,0.0,0.0
55,PYCARD,68.20087,5.1382375,0.0,0.0
56,S100A10,67.10963,4.0598965,0.0,0.0
57,C14orf2,66.711945,3.0623293,0.0,0.0
