,names,scores,logfoldchanges,pvals,pvals_adj
0,GNLY,59.525864,12.359455,0.0,0.0
1,NKG7,59.52156,11.221887,0.0,0.0
2,KLRB1,51.039425,9.361454,0.0,0.0
3,CST7,50.49131,9.19222,0.0,0.0
4,CD7,48.57013,6.908978,0.0,0.0
5,KLRD1,48.228607,9.737149,0.0,0.0
6,GZMB,48.028027,10.261295,0.0,0.0
7,KLRF1,47.59671,10.459192,0.0,0.0
8,B2M,47.511868,1.0980511,0.0,0.0
9,CMC1,45.932148,8.417597,0.0,0.0
10,GZMA,45.552372,8.429366,0.0,0.0
11,PRF1,42.34372,8.8101015,0.0,0.0
12,IFITM2,42.176098,4.865053,0.0,0.0
13,CTSW,41.84135,6.539713,0.0,0.0
14,CCL4,37.406994,7.6343865,3.00758011211704e-306,2.557796506349937e-303
15,HOPX,36.763496,6.8821473,7.07698255568219e-296,5.471472558618108e-293
16,CLIC3,35.67727,8.307565,8.902653872180365e-279,6.583706074431123e-276
17,SPON2,35.407578,8.468052,1.3054902325773682e-274,9.252118069128523e-272
18,FGFBP2,34.588726,8.527506,3.7328510890592034e-262,2.442002468223384e-259
19,PLAC8,34.466324,4.4552817,2.5646665325416828e-260,1.6156449278519067e-257
20,HLA-C,34.073246,1.8395272,1.837548248539875e-254,1.116244934264812e-251
21,HLA-A,33.71798,1.592793,3.151829642167173e-249,1.67529594948817e-246
22,PFN1,33.69162,1.7527665,7.668989355605797e-249,3.9527830287726967e-246
23,HLA-B,33.051327,1.1088581,1.4888898350706788e-239,7.448390354328581e-237
24,MALAT1,33.019257,0.8888535,4.2991118700829694e-239,2.0892455370926066e-236
25,ID2,33.004585,4.7897573,6.9808636447548316e-239,3.2982641592676373e-236
26,CD247,32.578194,5.6701183,8.352930613220162e-233,3.7388157052700457e-230
27,HCST,30.920046,3.2315784,6.423841112118088e-210,2.541002638977129e-207
28,TRDC,30.656948,7.650785,2.1352952461444043e-206,8.070941520371149e-204
29,GZMM,30.123615,4.8674564,2.377713512235046e-199,8.604793431831042e-197
30,H3F3B,29.746328,1.3199347,1.934484925506667e-194,6.58073081958858e-192
31,GZMH,28.69283,6.7399397,4.688172291237714e-181,1.4766874537344865e-178
32,CCL5,28.365747,5.5342474,5.352429519935647e-177,1.5696460983549212e-174
33,UBB,28.273268,2.6231244,7.368455187661737e-176,2.0888342381156413e-173
34,S100B,27.740505,5.4930363,2.2684430169341795e-169,6.3252372582022065e-167
35,MATK,26.476316,5.504435,1.8166004326410286e-154,4.351909402646656e-152
