,names,scores,logfoldchanges,pvals,pvals_adj
0,STMN1,62.09158,7.666932,0.0,0.0
1,TUBA1B,61.277977,6.4910984,0.0,0.0
2,HMGB1,59.475365,3.619681,0.0,0.0
3,H2AFZ,55.960503,5.2575502,0.0,0.0
4,GAPDH,54.368908,3.4824238,0.0,0.0
5,PTMA,53.676487,0.8556069,0.0,0.0
6,HMGN2,52.655186,4.17909,0.0,0.0
7,TUBB,51.868183,5.920765,0.0,0.0
8,KIAA0101,51.289726,8.19087,0.0,0.0
9,HMGB2,50.75339,4.9260936,0.0,0.0
10,RP11-620J15.3,48.37777,7.377466,0.0,0.0
11,H2AFY,48.223343,5.2323484,0.0,0.0
12,HIST1H4C,47.774483,5.953045,0.0,0.0
13,HMGA1,47.25079,5.8492923,0.0,0.0
14,RPLP0,46.809322,1.326441,0.0,0.0
15,PPIA,46.420338,3.2042975,0.0,0.0
16,ANP32B,46.293728,4.5137186,0.0,0.0
17,DUT,46.208153,4.9969125,0.0,0.0
18,TXN,46.182426,5.1839495,0.0,0.0
19,RPS24,45.850334,0.70640683,0.0,0.0
20,HSP90AA1,44.6377,4.135019,0.0,0.0
21,RANBP1,43.59913,4.757185,0.0,0.0
22,YWHAE,43.54399,5.0898275,0.0,0.0
23,HSP90AB1,43.38421,3.9588673,0.0,0.0
24,H2AFV,43.13925,4.8538337,0.0,0.0
25,TYMS,42.74732,8.218024,0.0,0.0
26,YBX1,42.743103,2.464256,0.0,0.0
27,RAN,42.33806,4.362451,0.0,0.0
28,SOX4,42.150898,5.568422,0.0,0.0
29,DEK,42.07369,4.6920133,0.0,0.0
30,HNRNPA1,41.287876,1.7061404,0.0,0.0
31,SNRPE,41.16758,4.326731,0.0,0.0
32,SNRPD1,41.028408,4.703779,0.0,0.0
33,HSPD1,40.713226,4.9637055,0.0,0.0
34,NCL,40.319946,4.0298243,0.0,0.0
35,RPLP1,40.118008,0.4348587,0.0,0.0
36,HNRNPAB,40.093056,5.306896,0.0,0.0
37,CDK6,40.05888,6.4145474,0.0,0.0
38,FABP5,39.966763,5.789215,0.0,0.0
39,IDH2,39.936806,4.962422,0.0,0.0
40,HMGN1,39.800262,3.4179904,0.0,0.0
41,SLC25A5,39.38708,4.1310062,0.0,0.0
42,NUCKS1,38.925777,4.455754,0.0,0.0
43,ENO1,38.638416,4.0449433,0.0,0.0
44,PCNA,38.53942,5.6850996,0.0,0.0
45,NAA38,38.113277,4.3548956,0.0,0.0
46,YBX3,37.952465,4.8215604,0.0,0.0
47,MYB,37.452785,7.397717,5.4113964866638875e-307,1.3945824672979707e-304
48,CKS2,37.405903,6.2084327,3.13292927850044e-306,7.95343195492746e-304
49,NME4,37.23076,5.322363,2.1703966295257313e-303,5.4288641575887e-301
50,CKS1B,37.161488,5.349844,2.860037072252461e-302,6.949481508848872e-300
51,CAT,37.113823,4.6125813,1.6815714590532146e-301,4.028429429160018e-299
52,TMEM14C,36.45523,4.2454734,5.684380148741723e-291,1.3244605746568216e-288
53,NUCB2,35.9043,4.2738028,2.6172546947822095e-282,6.015795284263594e-280
54,TFDP1,35.878445,4.7801414,6.6250966850910724e-282,1.5024835935561874e-279
55,CDK4,35.8081,5.02915,8.261667475911275e-281,1.848982922339143e-278
56,SRSF2,35.543247,3.9993334,1.0565402953913186e-276,2.3338563486118097e-274
57,IMPDH2,35.534065,4.4716487,1.464508600823881e-276,3.1935675373606913e-274
58,MCM7,35.430832,5.410903,5.724662054118722e-275,1.232541479474751e-272
59,ATP5G3,35.371376,3.8851633,4.70523805276998e-274,1.0003924254945574e-271
60,SMC4,35.067368,5.2462626,2.1199100685173752e-269,4.451549426594078e-267
61,SLC25A3,34.950863,3.7052746,1.2563848393367724e-267,2.6060792356438e-265
62,CHCHD2,34.87142,3.0237918,2.016383537794479e-266,4.132128625824855e-264
63,UQCRH,34.770233,3.1851552,6.855525045902251e-265,1.3881622084018022e-262
64,SERBP1,34.614548,3.7549021,1.5265119266413936e-262,3.019121088400403e-260
65,NASP,34.577255,4.5936494,5.55233986135642e-262,1.0855143528943832e-259
66,EBPL,34.466557,4.408685,2.5440080097837115e-260,4.917162754364903e-258
67,COX5A,34.294678,3.950935,9.419669419607642e-258,1.780212857312293e-255
68,NME1,34.25113,4.580095,4.195573616057556e-257,7.756794742991627e-255
69,PRDX3,34.19216,4.2808437,3.1618721657787976e-256,5.7828262008313515e-254
70,CALR,34.103584,3.9511755,6.526897898549742e-255,1.1810213442173677e-252
71,MPC2,33.740677,4.294045,1.4647596385627948e-249,2.595218405449435e-247
72,IGLL1,33.49399,6.836708,5.894990594552531e-246,1.033689639409732e-243
73,LYL1,33.443596,4.2898808,3.1889882007792984e-245,5.534846970107662e-243
74,IGFBP7,33.355904,5.3469963,5.981837129841132e-244,1.0277279569845234e-241
75,NUDT1,33.337776,4.4459105,1.0953718450657591e-243,1.8631179712723497e-241
76,SRSF3,33.274017,3.5020068,9.176254732398674e-243,1.5453358093402875e-240
77,TALDO1,33.013878,3.94412,5.135492562106606e-239,8.563685587144241e-237
78,GGCT,32.99621,4.465925,9.206241211179538e-239,1.520281133601483e-236
79,RPA3,32.99326,4.2823935,1.0148135563686023e-238,1.659708055795534e-236
80,H3F3A,32.977,1.7406837,1.7358396144839386e-238,2.785367547429935e-236
81,SNRPF,32.9611,3.8147283,2.9331058887182986e-238,4.662541874879397e-236
82,SET,32.946476,3.5628502,4.7520152349582526e-238,7.483983993648603e-236
83,PTTG1,32.913002,5.9706388,1.4321641599736282e-237,2.234833045595545e-235
84,YWHAH,32.881943,4.0567985,3.982878780750077e-237,6.158616834707097e-235
85,HNRNPA3,32.829823,3.870466,2.2109685735846857e-236,3.387960762892065e-234
86,EIF5A,32.823296,3.818421,2.7397732357215182e-236,4.1607859791417235e-234
87,CCT2,32.775093,4.1453824,1.333425511621657e-235,2.007100400634758e-233
88,RNASEH2B,32.744446,3.9485097,3.642442769661495e-235,5.434588514839681e-233
89,HNRNPD,32.683205,3.8968067,2.7058532459967057e-234,3.967573953548101e-232
90,PDIA6,32.657055,3.8891902,6.363428188018274e-234,9.250901713675454e-232
91,SNRPG,32.650127,3.74409,7.979759097285707e-234,1.1405690965187612e-231
92,SFPQ,32.592896,3.841712,5.17081035489541e-233,7.26862093606744e-231
93,ATP5B,32.58422,3.7946193,6.862682524245357e-233,9.567816971712235e-231
94,ILF2,32.563904,4.0884414,1.3310254094185e-232,1.840602535674737e-230
95,HDAC2,32.26337,4.159356,2.284645532014747e-228,3.1087628683231064e-226
96,DYNLL1,32.260323,3.7540665,2.5208389700018524e-228,3.3761377984851583e-226
97,AMD1,32.253975,3.9759,3.0943819522013966e-228,4.1119017675776216e-226
98,APEX1,32.242188,3.8535585,4.527098562507383e-228,5.923186111514467e-226
99,GLRX5,32.099216,4.2404776,4.52152937463491e-226,5.826264631300393e-224
100,NENF,31.988895,3.8667583,1.5561569196497805e-224,1.9901257929566252e-222
101,HSP90B1,31.902168,3.691719,2.4914294209061965e-223,3.1624420164323505e-221
102,SYNGR1,31.893589,4.740276,3.2765904528675603e-223,4.1282612602092095e-221
103,SPN,31.862986,3.882949,8.700134224092836e-223,1.0880925221881988e-220
104,TIMM10,31.832022,3.823159,2.3346420780837006e-222,2.898534825264647e-220
105,RBBP4,31.829988,3.8305295,2.49090505169047e-222,3.070130726391537e-220
106,NGFRAP1,31.801527,4.346717,6.166008903313365e-222,7.545154347946548e-220
107,RPL37A,31.671663,0.3067792,3.816739602176667e-220,4.637065992387352e-218
108,PRKDC,31.573082,4.3113704,8.647802074221502e-219,1.0431947906413726e-216
109,TIMM13,31.536499,3.7446964,2.74626640887417e-218,3.2895243203197716e-216
110,PARP1,31.483843,3.8723247,1.4455884799763485e-217,1.719441570343896e-215
111,EIF3A,31.463827,3.7403512,2.7158965838270655e-217,3.207964235716289e-215
112,TUBB4B,31.411173,4.7946525,1.4240954354362539e-216,1.6590711822832357e-214
113,RPL22L1,31.356825,3.711015,7.852892256368455e-216,9.086383972011638e-214
114,SNRPB,31.30252,3.658903,4.311876046869637e-215,4.955452681162544e-213
115,DNAJC9,31.247732,4.558114,2.3966885101143156e-214,2.7359244878211e-212
116,HMGB3,31.028528,6.1225343,2.223227543515532e-211,2.5209918191770457e-209
117,MRPL51,31.02146,3.7738373,2.7690322708328467e-211,3.119103966529529e-209
118,YWHAQ,30.865004,3.7314138,3.524008017139774e-209,3.8943067798767515e-207
119,PRDX1,30.864986,3.6307578,3.525917126821211e-209,3.8943067798767515e-207
120,RBBP7,30.857994,3.9184055,4.376026660587799e-209,4.802054030318572e-207
121,C1QBP,30.851227,3.5885413,5.393333043603692e-209,5.8804616499137956e-207
122,PRSS57,30.801502,7.3607106,2.5018396508573707e-208,2.7104325236581543e-206
123,CENPU,30.790756,7.020071,3.4843662670130646e-208,3.750986445292735e-206
124,SLC39A3,30.74619,4.411676,1.3749710165865644e-207,1.4619430169300267e-205
125,OSTC,30.746183,3.6810362,1.375218312121843e-207,1.4619430169300267e-205
126,GLUL,30.739174,3.7573574,1.706292174213424e-207,1.8026287944842314e-205
127,PAICS,30.73601,4.916511,1.880798246439794e-207,1.974722060104596e-205
128,STOML2,30.719793,3.9576557,3.097170868740276e-207,3.231888301006341e-205
129,SHFM1,30.696957,3.6941233,6.249546738683915e-207,6.481618321846018e-205
130,C19orf48,30.652065,4.8196054,2.480380686950684e-206,2.5568966729905568e-204
131,CCT6A,30.64587,3.8272846,2.9995901693335997e-206,3.0734957343491085e-204
132,METAP2,30.620222,3.6827517,6.586575935091451e-206,6.708447310177873e-204
