,names,scores,logfoldchanges,pvals,pvals_adj
0,RPS29,112.70155,0.96450895,0.0,0.0
1,CD3D,111.20827,8.884612,0.0,0.0
2,TRAC,109.57151,8.529609,0.0,0.0
3,RPS27,109.31567,1.0171424,0.0,0.0
4,RPL31,105.07352,1.2089207,0.0,0.0
5,RPS25,103.92189,1.096835,0.0,0.0
6,RPL21,99.55671,0.77501136,0.0,0.0
7,IL32,99.016815,7.5671973,0.0,0.0
8,RPS15A,98.80485,0.8491719,0.0,0.0
9,RPS3,97.83593,1.0019125,0.0,0.0
10,RPS14,97.70236,0.6715235,0.0,0.0
11,RPS27A,97.629616,0.80602366,0.0,0.0
12,RPL13,97.37481,0.70385844,0.0,0.0
13,RPL3,96.972336,1.1505107,0.0,0.0
14,RPL34,94.62904,0.7139264,0.0,0.0
15,RPL30,94.43619,1.0708339,0.0,0.0
16,MALAT1,93.91863,1.1840565,0.0,0.0
17,RPL23A,92.776245,1.0279611,0.0,0.0
18,RPS6,92.65627,0.94423157,0.0,0.0
19,RPS12,92.300186,0.8088563,0.0,0.0
20,CD3E,91.44754,7.4060965,0.0,0.0
21,RPL32,87.313324,0.6318855,0.0,0.0
22,RPL35A,86.912636,0.76746345,0.0,0.0
23,RPL10,85.84919,0.58485377,0.0,0.0
24,RPLP2,85.1889,0.64201576,0.0,0.0
25,IL7R,84.932495,7.6357074,0.0,0.0
26,RPL13A,84.89444,0.63798827,0.0,0.0
27,RPL11,80.51383,0.6577248,0.0,0.0
28,RPL27A,80.08205,0.6966566,0.0,0.0
29,RPL14,79.62909,1.1347685,0.0,0.0
30,SARAF,78.973366,3.4534357,0.0,0.0
31,RPS18,78.139336,0.6506311,0.0,0.0
32,RPS19,77.55526,0.6519698,0.0,0.0
33,RPS4X,77.07474,0.7498651,0.0,0.0
34,TRBC2,77.04837,5.658149,0.0,0.0
35,RPS28,76.32662,0.5283773,0.0,0.0
36,RPL36,73.16955,0.65919054,0.0,0.0
37,RPL9,72.63066,0.75626636,0.0,0.0
38,RPL19,72.114334,0.64359033,0.0,0.0
39,RPS3A,71.050804,0.611738,0.0,0.0
40,NOSIP,69.62851,4.4725,0.0,0.0
41,LTB,68.3728,4.628206,0.0,0.0
42,RPL5,67.55769,1.2626885,0.0,0.0
43,RPS20,67.39947,0.9410591,0.0,0.0
44,CD3G,67.20622,7.2409945,0.0,0.0
45,B2M,66.94292,0.71945184,0.0,0.0
46,RPL10A,65.686066,1.050191,0.0,0.0
47,EEF1A1,65.310486,0.49090475,0.0,0.0
48,LDHB,64.59435,3.621545,0.0,0.0
49,RPL38,62.453926,0.6890785,0.0,0.0
50,LCK,62.16909,5.2678685,0.0,0.0
51,CD52,58.84271,3.387566,0.0,0.0
52,ZFP36L2,58.833954,2.7571843,0.0,0.0
53,RPS15,58.773605,0.43931708,0.0,0.0
54,RPL4,58.74997,1.340453,0.0,0.0
55,RPS8,58.718582,0.6663997,0.0,0.0
56,RPL6,58.65772,0.8263066,0.0,0.0
57,RPS16,58.605316,0.5782595,0.0,0.0
58,EVL,58.290154,3.7169423,0.0,0.0
59,RPL18,57.49462,0.65658396,0.0,0.0
