,names,scores,logfoldchanges,pvals,pvals_adj
0,FTL,118.32023,3.2098472,0.0,0.0
1,S100A9,116.98772,10.048418,0.0,0.0
2,TYROBP,116.837776,9.611924,0.0,0.0
3,LYZ,115.78083,9.971212,0.0,0.0
4,S100A8,115.32744,9.830252,0.0,0.0
5,FCN1,114.42069,10.486913,0.0,0.0
6,S100A6,113.353065,4.717321,0.0,0.0
7,CTSS,110.49752,8.285427,0.0,0.0
8,CST3,107.5997,9.247141,0.0,0.0
9,LST1,104.95156,8.63089,0.0,0.0
10,S100A4,103.07111,4.9182024,0.0,0.0
11,FTH1,103.03422,2.6619732,0.0,0.0
12,PSAP,102.376045,7.5275264,0.0,0.0
13,VCAN,101.01775,9.765277,0.0,0.0
14,LGALS1,96.01948,7.5353804,0.0,0.0
15,AIF1,95.39983,7.32152,0.0,0.0
16,CSTA,95.23932,8.7471895,0.0,0.0
17,GPX1,94.859116,6.4454126,0.0,0.0
18,SRGN,94.63285,6.1029754,0.0,0.0
19,S100A11,93.47792,6.934788,0.0,0.0
20,NEAT1,93.17812,5.8973827,0.0,0.0
21,S100A12,92.62314,9.437041,0.0,0.0
22,MNDA,92.11843,8.472185,0.0,0.0
23,TSPO,90.06727,5.863773,0.0,0.0
24,FOS,88.21299,6.9720736,0.0,0.0
25,ACTB,87.76089,1.4500448,0.0,0.0
26,OAZ1,85.505516,2.9731638,0.0,0.0
27,COTL1,84.094765,5.666163,0.0,0.0
28,SAT1,82.65185,5.836853,0.0,0.0
29,SH3BGRL3,81.335594,3.2286048,0.0,0.0
30,MT-CO1,81.06083,0.99345213,0.0,0.0
31,GAPDH,80.776344,3.7615428,0.0,0.0
32,TMSB10,80.68887,0.9749936,0.0,0.0
33,AP1S2,78.17038,5.9932055,0.0,0.0
34,MS4A6A,78.08767,7.810916,0.0,0.0
35,VIM,77.962364,4.0943775,0.0,0.0
36,SERPINA1,77.89708,7.8581014,0.0,0.0
37,TYMP,77.60299,6.713732,0.0,0.0
38,FCER1G,77.294945,6.607589,0.0,0.0
39,FGL2,76.46129,7.5637727,0.0,0.0
40,ATP5E,76.20995,1.831816,0.0,0.0
41,CFD,76.186104,6.990098,0.0,0.0
42,CD14,75.219246,8.467857,0.0,0.0
43,CYBA,75.205345,3.0511158,0.0,0.0
44,H3F3A,75.152466,2.4122047,0.0,0.0
45,GRN,74.56851,6.3025575,0.0,0.0
46,RPS24,74.292435,0.9045459,0.0,0.0
47,TKT,71.542534,5.378711,0.0,0.0
48,CYBB,71.446724,6.779216,0.0,0.0
49,GSTP1,69.81942,4.5902557,0.0,0.0
50,LGALS2,69.637856,7.549321,0.0,0.0
51,SERF2,69.4141,1.6102034,0.0,0.0
52,MT-CO3,68.86858,0.7673609,0.0,0.0
53,MT-CO2,65.3867,0.7602827,0.0,0.0
54,C14orf2,65.095474,2.9835231,0.0,0.0
55,NPC2,64.67764,4.7163897,0.0,0.0
56,CLEC7A,63.42547,6.77148,0.0,0.0
57,TMSB4X,63.414547,0.75518537,0.0,0.0
58,S100A10,60.595505,3.839124,0.0,0.0
59,CSF3R,59.621643,6.181556,0.0,0.0
60,APLP2,59.2661,5.024137,0.0,0.0
61,TCEB2,59.22588,2.9862304,0.0,0.0
62,MT-ND3,59.005615,0.7210667,0.0,0.0
63,CFP,58.87275,5.8249717,0.0,0.0
64,PYCARD,58.71124,4.5747185,0.0,0.0
65,MPEG1,58.235844,6.112915,0.0,0.0
66,CEBPD,57.099545,5.3863235,0.0,0.0
67,MT-ND1,56.797184,1.1432773,0.0,0.0
68,HLA-DRA,56.72418,5.108439,0.0,0.0
69,CTSD,56.109177,4.6353273,0.0,0.0
70,STXBP2,55.702736,4.7440324,0.0,0.0
71,FCGRT,54.2656,4.538256,0.0,0.0
72,MCL1,54.229576,4.1765175,0.0,0.0
73,LAMTOR4,52.289677,3.1528616,0.0,0.0
74,PFDN5,52.18325,0.9513287,0.0,0.0
75,RGS2,51.83432,5.0003557,0.0,0.0
76,LTA4H,51.736263,4.3036427,0.0,0.0
77,ATP5G2,50.99647,1.8941003,0.0,0.0
78,CD44,50.72525,3.2898862,0.0,0.0
79,ITM2B,50.271545,2.250026,0.0,0.0
80,CD36,50.12802,5.319679,0.0,0.0
81,C4orf48,49.83907,4.0583725,0.0,0.0
82,TNFSF13B,49.63144,5.023316,0.0,0.0
83,KCTD12,49.334743,5.7613897,0.0,0.0
84,SPI1,49.031425,4.7777348,0.0,0.0
85,BRI3,48.93176,4.5819645,0.0,0.0
86,CLEC12A,48.799053,5.548708,0.0,0.0
87,CD74,48.51644,3.9201853,0.0,0.0
88,RHOA,47.63069,2.9354246,0.0,0.0
89,TPT1,47.465935,0.56185645,0.0,0.0
90,RNASE6,46.984577,4.621837,0.0,0.0
91,MYL6,46.983242,1.8893713,0.0,0.0
92,ARPC1B,46.80189,2.5344832,0.0,0.0
93,RNF130,46.2338,4.1377535,0.0,0.0
94,ASAH1,45.91117,4.087132,0.0,0.0
95,ANXA2,45.529423,3.8076952,0.0,0.0
96,NUP214,45.49053,4.947422,0.0,0.0
97,ANXA1,45.19742,3.3450177,0.0,0.0
98,AP2S1,44.955482,3.24961,0.0,0.0
99,DAZAP2,44.812614,2.941234,0.0,0.0
100,HLA-DRB5,44.150726,3.6489835,0.0,0.0
101,FKBP1A,43.254383,2.8309927,0.0,0.0
102,RAC1,43.067326,2.9008358,0.0,0.0
103,ATP6V0B,42.792046,3.2087429,0.0,0.0
104,HLA-DRB1,42.718624,3.4760795,0.0,0.0
105,AHNAK,42.537617,3.742887,0.0,0.0
106,IQGAP1,42.483353,3.6653695,0.0,0.0
107,EIF1,42.25923,0.6172699,0.0,0.0
108,DUSP1,42.019836,3.1101038,0.0,0.0
109,BLVRB,41.677307,3.9831583,0.0,0.0
110,RBP7,41.366066,7.094313,0.0,0.0
111,CD68,40.87357,4.8524375,0.0,0.0
112,MT-ND4,40.243156,0.49545068,0.0,0.0
113,LCP1,40.183304,3.010937,0.0,0.0
114,PRELID1,40.13817,2.5957172,0.0,0.0
115,C10orf54,40.03239,3.1024168,0.0,0.0
116,CALM2,39.843666,1.8273039,0.0,0.0
117,NDUFB1,39.53525,2.318583,0.0,0.0
118,TIMP1,39.306293,3.405662,0.0,0.0
119,SDCBP,39.207226,3.2517385,0.0,0.0
120,TGFBI,39.10968,4.905544,0.0,0.0
121,GCA,38.94242,4.1995034,0.0,0.0
122,NCF1,38.628586,3.1130025,0.0,0.0
123,FGR,38.590252,3.9846954,0.0,0.0
124,UQCR11,38.535004,1.7712747,0.0,0.0
125,CEBPB,38.53261,3.2638662,0.0,0.0
126,GNAI2,38.529667,3.1467998,0.0,0.0
127,RAB31,38.44441,4.8722925,0.0,0.0
128,CPVL,38.43795,4.640536,0.0,0.0
129,C1orf162,38.434418,2.8996708,0.0,0.0
