,names,scores,logfoldchanges,pvals,pvals_adj
0,CCL5,26.13683,10.16735,1.391288518380179e-150,2.3664426409128463e-146
1,B2M,23.694653,1.1502485,4.093813122384874e-124,3.481583369932216e-120
2,CMC1,23.173447,8.713179,8.437248314071933e-119,4.783638552468317e-115
3,CCL4,22.6466,9.132016,1.5070081254896803e-113,6.408175301613492e-110
4,CST7,21.630966,8.001569,9.184014750936348e-104,3.124218137973527e-100
5,IL32,21.454779,6.1616087,4.120611026731546e-102,1.1681245492279475e-98
6,MALAT1,21.412022,1.1460494,1.0323609383512693e-101,2.508489600059534e-98
7,DUSP2,20.852417,7.6630983,1.4491302046869822e-96,3.08103195644011e-93
8,GZMA,19.970295,7.546487,9.986136509010108e-89,1.8872688431305883e-85
9,HCST,19.190887,4.1029854,4.410461862993358e-82,7.501754582765403e-79
10,NKG7,19.006805,7.1586933,1.497997176695277e-80,2.3163121798554517e-77
11,HLA-B,18.51403,1.3292264,1.591378822333916e-76,2.2556468657564644e-73
12,GZMK,18.30816,7.938478,7.123428966184268e-75,9.320184868140633e-72
13,CXCR4,17.968721,4.5883164,3.42516498716694e-72,4.1613308047658915e-69
14,HLA-A,17.429792,1.8264948,4.902417763791687e-68,5.559014916288853e-65
15,CTSW,16.216057,5.2633452,3.883369247743918e-59,4.128264220929769e-56
16,CD69,15.674978,5.5270214,2.2430279820206813e-55,2.0079822603257774e-52
17,HLA-C,15.313078,1.8330756,6.253353268557951e-53,4.624490684560965e-50
18,H3F3B,15.008265,1.3262893,6.482172382576381e-51,4.593969585635069e-48
19,HLA-E,14.164175,2.101729,1.5264973383503325e-45,9.61636786222252e-43
20,EIF1,13.84196,0.8620978,1.4227412646690244e-43,8.066468723585145e-41
21,RGS1,13.821332,6.9999857,1.8952928233663424e-43,1.039904375246391e-40
22,TMSB4X,13.378378,0.6374966,8.089301573597594e-41,3.821970290703375e-38
23,TRAC,12.982441,3.857801,1.5389625497408215e-38,6.711849745779907e-36
24,CD3D,12.870673,3.7741716,6.582616092382984e-38,2.7990929278835543e-35
25,KLRG1,12.711231,5.496276,5.122129902667044e-37,2.0743406551062797e-34
26,GZMM,12.51792,4.213896,5.9575987126620974e-36,2.3565766628760375e-33
27,BTG1,12.418848,2.0464845,2.065132595396914e-35,7.98314552616048e-33
28,JUNB,12.287315,2.636446,1.0596667380222474e-34,3.918232945004436e-32
29,ZFP36L2,12.255881,2.2408752,1.562415822724518e-34,5.654283133770496e-32
30,TRGC2,12.228629,5.346482,2.1859695308012594e-34,7.746074114458045e-32
31,ID2,12.066762,3.6674237,1.5823939045031177e-33,5.492844473815005e-31
32,STK17A,11.845851,3.7475655,2.2611054870200672e-32,7.691828645744865e-30
33,TRBC2,11.698303,3.3938012,1.3002731982381452e-31,4.3365385938887475e-29
34,XCL2,11.347116,6.1689568,7.664881110447567e-30,2.3703993237745943e-27
35,SRGN,10.994763,3.0921671,4.049734667065439e-28,1.1876196026226905e-25
36,MYL12A,10.685275,1.6791409,1.1929498005335205e-26,3.4391327385211276e-24
37,CD8A,10.60893,4.6113825,2.708325806054539e-26,7.551789120521583e-24
38,CCL3,10.25669,6.9710507,1.1042679660804923e-24,2.845832399251984e-22
39,CD8B,10.24475,3.9446266,1.2494696454358642e-24,3.125327823414502e-22
40,DUSP1,10.234313,2.8986483,1.3917892930923078e-24,3.43086146176914e-22
41,KLRD1,10.029765,4.559211,1.127847966340836e-23,2.6643841749293447e-21
42,CCL4L2,9.840599,6.3002777,7.526156169070418e-23,1.7535943873934072e-20
43,CD3E,9.522209,2.7576547,1.695355940719237e-21,3.650165720973861e-19
44,DDX5,9.349069,0.97443116,8.842284783743105e-21,1.8120291793576685e-18
45,FYN,9.234422,3.375515,2.5968586337624934e-20,5.2583295835316965e-18
46,CCL3L3,9.223432,5.4767194,2.8774217864554106e-20,5.7578902548023615e-18
47,RARRES3,9.170679,2.6772656,4.70046771161264e-20,9.296541314746441e-18
48,PIK3R1,9.019523,3.7198353,1.889109012057101e-19,3.570206131786581e-17
49,LCK,8.936886,2.7213888,4.0029087062361605e-19,7.481920240040754e-17
50,SH2D1A,8.916372,4.27787,4.818136800832481e-19,8.81200955326448e-17
51,CD2,8.84073,2.8963811,9.509515645860934e-19,1.7026037012678803e-16
52,ZFP36,8.521028,2.9036899,1.581436528423132e-17,2.6115197972766067e-15
53,IRF1,8.2340765,2.6941512,1.8094866148125769e-16,2.8236291588391852e-14
54,JUN,8.139063,2.914536,3.983482276148132e-16,6.049558038839605e-14
55,SRSF7,7.703314,2.0316536,1.3258220007748763e-14,1.8186214847725703e-12
56,SON,7.659726,1.549502,1.8632982427889948e-14,2.5153047469522235e-12
57,LYAR,7.522292,2.7608805,5.3824190189319336e-14,7.15230977289166e-12
58,RPS29,7.4879084,0.3769098,6.997978812167383e-14,9.227024931484885e-12
59,TMA7,7.4780946,0.7732464,7.540789977920595e-14,9.8662535949578e-12
60,CD99,7.298692,2.0051978,2.905778686747746e-13,3.661065902436475e-11
61,WIPF1,7.2281456,2.3958106,4.896330243275825e-13,5.991487849487662e-11
62,PPDPF,7.1523705,1.2417814,8.529187622619313e-13,1.0216405089657175e-10
63,PTPN7,7.0932508,3.2982202,1.3099770548096497e-12,1.5473194253650926e-10
64,PTPRC,7.0872526,1.4837735,1.3680061178385765e-12,1.6047183488494034e-10
65,IER2,6.903848,1.8771933,5.061242508020591e-12,5.777629115363908e-10
66,DDX24,6.8169193,2.0485797,9.301335086569989e-12,1.0206865063707673e-09
67,DNAJB1,6.7690063,2.7214541,1.2966974692612662e-11,1.395919446497777e-09
68,ITM2A,6.5636115,2.5850046,5.25198935304216e-11,5.414005267023885e-09
69,GUK1,6.485734,1.4623245,8.830096944713003e-11,8.993480175606195e-09
70,VAMP2,6.466359,1.1673359,1.0039222324404344e-10,1.0164115030701994e-08
71,PPP2R5C,6.2847342,1.9882104,3.2841484103585833e-10,3.2103494432062723e-08
72,ARPC5L,6.2496142,2.5132585,4.114674812859394e-10,3.99922879382431e-08
73,SARAF,6.1571307,1.1707484,7.407474105220655e-10,7.03875570143565e-08
74,PSMB9,6.146967,1.6611019,7.897861652119531e-10,7.463040491161173e-08
75,APMAP,6.1226406,2.893913,9.20372183213873e-10,8.601434321035586e-08
76,CLEC2B,5.977495,2.1721578,2.265947234596659e-09,2.0833241358515988e-07
77,TRBC1,5.839611,2.128699,5.2322837198653665e-09,4.625319265913383e-07
78,PIP4K2A,5.803921,2.125374,6.478173531295098e-09,5.650628389425556e-07
79,CALM1,5.768258,1.0716671,8.009511892910707e-09,6.880494332652435e-07
80,RBM39,5.7371902,1.1916866,9.626014475876228e-09,8.14571543383974e-07
81,ARF6,5.6849117,1.1157757,1.3088023959992118e-08,1.1020504927500292e-06
82,CD160,5.6485786,4.3963704,1.617797470050813e-08,1.3422983984436233e-06
83,UBB,5.572697,0.8582169,2.5082559003288204e-08,2.051102144648697e-06
84,PNRC1,5.533698,0.9806013,3.135484609198583e-08,2.539593224659938e-06
85,CYCS,5.3504405,1.6136086,8.774050572804207e-08,6.752842814155057e-06
86,ALOX5AP,5.3310356,1.9700594,9.765416322356792e-08,7.481980460674174e-06
87,MAF,5.255491,3.6469915,1.4763036310695008e-07,1.1110817903035903e-05
88,TIGIT,5.206988,4.0595922,1.919307286385163e-07,1.4193694623532712e-05
89,RPL36AL,5.146865,0.42293802,2.648759555102355e-07,1.9503355529322924e-05
90,LITAF,5.135675,1.5350697,2.8113351436420047e-07,2.0435042503507204e-05
91,EOMES,5.130403,4.5890565,2.8912265182956995e-07,2.0837657563428625e-05
92,CIRBP,5.1040106,0.60097766,3.325299416446011e-07,2.3566674072637583e-05
93,UBC,5.0913973,0.6400618,3.5543428221767e-07,2.5085401270706842e-05
94,AC092580.4,5.0637217,2.6976132,4.111493148310961e-07,2.8897680561826916e-05
95,PRKCH,5.057427,2.3346198,4.2495097232954974e-07,2.9622914296529964e-05
96,PDCD4,4.9605513,1.6124935,7.029340722922788e-07,4.782482254247748e-05
97,MT-ND2,4.9530935,0.2564819,7.304289809008302e-07,4.9301057683104056e-05
98,FUS,4.923082,1.041069,8.51917645027434e-07,5.7048296158549704e-05
99,SELK,4.884676,1.5629957,1.035989654947777e-06,6.856477836967602e-05
100,GZMH,4.853302,2.866554,1.2142269437830241e-06,7.912944860845002e-05
101,IL2RG,4.848163,1.4890615,1.2460983561387857e-06,8.089651503650613e-05
102,HLA-F,4.811627,1.4681768,1.4970656495439098e-06,9.645299103444077e-05
103,ACAP1,4.775541,1.388948,1.7922513060572814e-06,0.00011460301678469286
104,IL2RB,4.7669363,3.3651218,1.87048343932085e-06,0.00011871288365450873
105,RP11-51J9.5,4.724152,2.2477877,2.3107766640962916e-06,0.00014503321136388866
106,AKNA,4.600917,1.827139,4.206350870302137e-06,0.0002582881658951951
107,MATK,4.465952,2.3402777,7.971346162792364e-06,0.00047909762149447106
108,GIMAP4,4.4526424,1.4476706,8.481990780254796e-06,0.0005079935957089923
109,CLEC2D,4.386658,1.4092327,1.1510558059759526e-05,0.0006704900069809924
110,OST4,4.351408,0.31101528,1.352660809328865e-05,0.0007694785185911259
111,PYHIN1,4.3381352,2.9972103,1.4369681473651023e-05,0.0008147130406177675
112,EVL,4.312662,0.9981537,1.6130035184528695e-05,0.0009054645823552758
113,SRSF5,4.28653,0.41338432,1.8148586953336354e-05,0.0010120759841725183
114,CRTAM,4.2617702,3.9331517,2.0281396084307847e-05,0.0011056611089679236
115,CDC42SE2,4.2358007,1.2261385,2.277385023263011e-05,0.0012336319063911006
116,NUCB2,4.2229214,1.4588791,2.4115611304798582e-05,0.0013021664529629178
117,TSPYL2,4.178284,2.5438924,2.937168294325821e-05,0.0015710155823329525
118,LINC00152,4.059701,1.8380482,4.913558832116638e-05,0.002579466733810861
119,FAM46C,4.05094,3.1683187,5.101224609905049e-05,0.002661556116253834
120,SEPT7,4.0046234,0.9064434,6.211636539275394e-05,0.0032310007919429716
121,CD63,3.9859853,1.2473154,6.720065849139361e-05,0.003474212766808857
122,RUNX3,3.9076009,2.180596,9.321708036825037e-05,0.004649646099658565
123,ELF1,3.8431628,1.1672435,0.00012145890393293708,0.005936478439641743
124,KLRC2,3.7949831,4.604261,0.0001476535412415655,0.007114558308718946
125,KRT10,3.7816403,0.87376845,0.0001557984459932678,0.007485807253953368
126,PTGDR,3.740765,3.4570165,0.00018346088553901514,0.008790101977839743
127,TMEM59,3.6886566,0.78688073,0.00022544120369999388,0.01068114048393648
128,HOPX,3.6271043,1.7591676,0.0002866176768879934,0.01335638374298049
129,PLA2G16,3.5888617,2.61867,0.0003321249275459954,0.015185787345779128
130,SLC38A1,3.5843096,1.5125425,0.00033797088617938827,0.015405804288979771
131,PDIA3,3.58371,1.0860645,0.00033874835699208855,0.015405804288979771
132,MT2A,3.5183718,1.1214122,0.0004342035645093323,0.01938416910430245
133,PRF1,3.5176086,2.0175664,0.00043545399947486635,0.019389102295989533
134,F2R,3.4741743,3.6907763,0.0005124279046904462,0.022463624306391237
135,CLIC1,3.4648838,0.7407602,0.0005304608513388908,0.02313489389852101
136,GYPC,3.455383,0.91719395,0.0005495115106841078,0.023904453414900228
137,SYTL3,3.4474254,2.342601,0.0005659568425197164,0.02455704064902514
138,ARHGDIA,3.4435532,1.1508684,0.0005741238586860072,0.024848022168932057
139,RHOC,3.40782,1.9542665,0.0006548409294103367,0.02798540042296587
140,PTPN22,3.404811,2.3008282,0.0006620991247794339,0.02815411003343348
141,NR4A2,3.4024415,2.0884333,0.0006678666111199749,0.028258067633183215
142,XCL1,3.3960266,4.9763584,0.0006837170968360367,0.028714429876750984
143,FAM49B,3.3865492,0.88443154,0.0007077755369792274,0.02957875702329159
144,MYL6,3.3850996,0.21649633,0.0007115239776192695,0.029662527782662148
145,TERF2IP,3.3646157,1.2439464,0.0007665037772636488,0.03164432705698399
146,PFN1,3.3634427,0.18593176,0.0007697685261007527,0.03170216188970388
147,EML4,3.3551784,1.5097481,0.0007931386100395042,0.032429073601350784
148,MORF4L1,3.3490133,0.54552853,0.000810998918745832,0.03300067131327238
149,DOK2,3.303453,1.2934842,0.0009550198617918615,0.03858416348982844
150,CD7,3.3027399,1.0277603,0.0009574517065270193,0.03859074899601438
151,RP11-222K16.2,3.2934225,3.848748,0.0009897562526644816,0.03972498837828364
152,A2M-AS1,3.2707455,3.2442412,0.0010726435020694874,0.04223285492291646
153,LYST,3.2450695,1.4775587,0.0011742192358275615,0.045808016014199524
154,FCRL6,3.2394278,3.636447,0.00119769757883353,0.04631486914771259
155,OFD1,3.2371652,1.5523707,0.0012072351399861432,0.0465620464762456
156,PITPNC1,3.2286675,1.9883792,0.0012436836191087627,0.04760261483808936
157,ARID5A,3.228271,1.7514242,0.0012454091129960473,0.04760261483808936
158,HNRNPA0,3.222806,0.65149456,0.001269415281002123,0.04830309734802038
159,CHST12,3.1820774,1.6906296,0.001462226736073768,0.054902901884941985
160,FNBP1,3.1697178,1.038464,0.0015258710134014733,0.056915658041547496
161,NDUFA3,3.1636593,0.4731696,0.0015579899140521585,0.05798654365013821
162,ARL4C,3.1280563,1.1751626,0.0017596651078279236,0.06464393913400682
163,CORO1A,3.1183457,0.41534317,0.0018186936521222908,0.06624017201059539
164,DDIT4,3.0625615,1.2436961,0.0021945134346085244,0.07825257653932158
165,SBDS,3.0242758,1.4970384,0.0024922914016075374,0.08794893039407178
166,MYL12B,3.022673,0.46200457,0.0025055290700875697,0.08823301025490574
167,RSRP1,2.988959,0.8086066,0.002799295429797941,0.09716982850088404
168,TUBA4A,2.975853,1.5147474,0.0029217497727053094,0.10121393459051854
169,C12orf75,2.9641662,1.3629148,0.003035042979028619,0.10431157233107304
170,CD27,2.9354377,0.984904,0.003330774542255412,0.11298585048899538
171,CBLB,2.935078,2.1823487,0.0033346403048665815,0.11298585048899538
172,IL16,2.9180126,1.1458998,0.0035227001134959797,0.11864872520881806
173,PPIB,2.9049132,0.6416953,0.0036735509235463976,0.12204314186536001
174,SLA2,2.9048998,2.7544973,0.00367370736874974,0.12204314186536001
175,BTG2,2.8797035,1.3961424,0.0039804919729851266,0.13020036147789235
176,LAT,2.8578632,1.0159484,0.0042650429253302015,0.1374749775359595
177,SAMD3,2.8578298,2.1443026,0.0042654908360549824,0.1374749775359595
178,IDI1,2.844037,1.6098702,0.004454586310839146,0.142689375821211
179,SYNRG,2.8345563,1.5186268,0.004588934997961818,0.14644126713007982
180,SH2D2A,2.820997,2.4515135,0.00478746543248559,0.1505175592257808
181,TC2N,2.802419,1.6400133,0.005072096240619507,0.1580060164042073
182,RPS27L,2.7819881,0.4520003,0.005402702452571741,0.16708102911962316
183,ATG2A,2.7445788,2.1059597,0.006058861965393124,0.1850182821712238
184,SAP18,2.7429593,0.47316715,0.006088825230059784,0.1852680292273468
185,DDX6,2.7322555,0.81764245,0.006290232651257877,0.19037467467125485
186,SELM,2.7183197,1.4569271,0.006561443782107223,0.1961398897888607
187,SURF4,2.7157636,1.7109146,0.006612311471331235,0.19731369441381227
188,TMEM2,2.6998615,2.3911972,0.006936835633212592,0.204132590459019
189,CD96,2.6763415,1.8107324,0.007443076496768464,0.2167796029683815
190,SUN2,2.6374393,0.9770598,0.008353459219960863,0.23934202942259988
191,FAM173A,2.6247494,1.2597015,0.008671273499142065,0.2474659244075627
192,ARGLU1,2.615802,0.42980215,0.008901814754140246,0.2519062300244252
193,RASSF1,2.6069512,1.4455931,0.009135236840628511,0.25640469211592465
194,PRDM1,2.5978272,2.1482003,0.009381570037054176,0.2620215513304671
195,FAM177A1,2.5597246,1.3865427,0.010475511615066303,0.2883138787389365
196,TSTD1,2.5450654,0.66594636,0.010925723511178192,0.29877111125663963
197,SLC9A3R1,2.5394804,1.1699064,0.011101725140617715,0.3030966981007492
198,CFL1,2.5365713,0.19721925,0.011194395314950603,0.30513697101281223
199,PTGER4,2.5115285,1.5721341,0.012020961241919545,0.32454687264096754
200,HBB,2.4987288,0.09361301,0.01246396857828747,0.33597407535355245
201,CEBPB,2.4770548,0.82303,0.013247153046253226,0.35151454939738086
202,RNF125,2.4690504,1.5666661,0.013547210117753113,0.35835847106199487
203,ISCU,2.4669378,0.6058557,0.013627404160085394,0.3599200580107026
204,TAP1,2.461106,1.2450913,0.013850940291402804,0.3635658077414665
205,SIT1,2.4550812,1.5357991,0.01408527931740852,0.3685792552458485
206,RHOF,2.446487,1.0700532,0.014425603306494986,0.3763268200002657
207,TSEN54,2.4290051,1.5739517,0.015140314098973005,0.39196590945119
208,DYNLRB1,2.4267159,0.8537664,0.01523618272387897,0.3938483768244034
209,CH17-189H20.1,2.4081578,1.104647,0.016033248063596052,0.41132657060890687
210,HSP90AA1,2.391656,0.32621258,0.016772560949974806,0.42771287735850294
211,RAB27A,2.3733945,1.3202465,0.017625432718954528,0.44286829704735864
212,ATP5E,2.373331,0.08003363,0.017628454693629607,0.44286829704735864
213,PNISR,2.3728113,0.18121372,0.01765328387313241,0.44286829704735864
214,CLK1,2.3712416,0.9645263,0.017728434966995395,0.44409860140445456
215,RP11-596C23.2,2.3657331,2.1591265,0.01799440492179251,0.4494373470114079
216,ARHGAP25,2.3600981,1.4821703,0.018270099300616963,0.45432181140964023
217,SKAP1,2.3455923,1.2844874,0.01899687418676028,0.47033163470539396
218,SNRPD2,2.3431697,-0.0037813662,0.019120686066567215,0.4720228582093494
219,ETS1,2.3277073,0.9742362,0.01992764622022046,0.4883996175212245
220,CD3G,2.3268375,0.7779866,0.019973908118494855,0.48876882896346685
221,SEPW1,2.304544,0.8145642,0.021192126033803185,0.5147208209312422
222,TTC19,2.298709,0.8472748,0.021521470107613145,0.5170320410457514
223,SOD1,2.2903748,0.3465828,0.02199960552321283,0.5255495650903469
224,PARP8,2.2884252,1.5321583,0.022112768974910612,0.527512044171465
225,HERPUD2,2.2792544,1.4857386,0.02265193982744278,0.5371554794373284
226,ANKRD12,2.2782748,0.61320585,0.02271021013032388,0.5372433436810555
227,PTPN4,2.2687843,1.2571181,0.023281454218899756,0.546953390620533
228,RNF213,2.260813,0.7377237,0.023770832831605387,0.5569119774556144
229,MBP,2.257894,1.104119,0.023952272867523636,0.559621166488612
230,ISG20,2.2548947,0.6377716,0.02413993353501383,0.5632320020535669
231,RGL4,2.2477202,1.5261648,0.024594039411687894,0.5722572043138159
