,names,scores,logfoldchanges,pvals,pvals_adj
0,CCL5,27.990072,9.065299,2.146064111294226e-172,3.650240446900349e-168
1,IL32,19.765837,5.0777774,5.861755413477987e-87,4.985129891392354e-83
2,B2M,18.705648,0.70279,4.452866229261563e-78,2.5246267231169975e-74
3,LYAR,16.496376,4.7388635,3.895769620545332e-61,1.6565786368963888e-57
4,TRAC,16.250595,4.1694183,2.2120515876293487e-59,7.524957090797519e-56
5,IL7R,15.484416,4.1122036,4.4205847312833913e-54,1.2531620949066534e-50
6,ZFP36L2,15.110217,2.4117174,1.3868198122124542e-51,3.3697740265602335e-48
7,CD8B,14.991283,4.686392,8.371935041328079e-51,1.7799780389743661e-47
8,RPS29,14.313266,0.51149523,1.8081814989193633e-46,3.4172621239021615e-43
9,MALAT1,13.833774,0.69683284,1.5943258513366358e-43,2.465262582307713e-40
10,CD3D,13.040775,3.5751348,7.172386434244931e-39,9.384240066159387e-36
11,RPL27A,12.866221,0.4502705,6.973094270779423e-38,8.4718114608348e-35
12,RPS3,12.679478,0.5353488,7.684241353835668e-37,8.16882882421193e-34
13,CTSW,12.621151,3.580024,1.6144402336166562e-36,1.5255563296436504e-33
14,RPS27,11.582671,0.49168587,5.044888342387464e-31,4.086119324555637e-28
15,RPL23A,11.387647,0.5306682,4.8182763913089216e-30,3.7251846881715205e-27
16,RPL3,11.296549,0.58168006,1.3647713582056773e-29,1.009278088335668e-26
17,DUSP2,11.1769705,3.706611,5.28638769466789e-29,3.7465070124419225e-26
18,HLA-B,11.045947,0.75798273,2.293358337710771e-28,1.5603092786449002e-25
19,HLA-C,10.759757,1.2223991,5.331026422202538e-27,3.358349200564554e-24
20,MT-ND2,10.477385,0.48627415,1.0973649395571935e-25,6.436234571354587e-23
21,CD8A,10.4626255,3.9251573,1.2825210124446852e-25,7.271466633557217e-23
22,CD3E,10.428728,2.7641191,1.833251990237666e-25,1.0058639710307246e-22
23,RPL13A,10.276829,0.32974836,8.962831223043735e-25,4.483788125669143e-22
24,RPS14,10.215769,0.27954802,1.6853779229148386e-24,8.190455168816712e-22
25,HCST,9.94947,2.019255,2.53531677194989e-23,1.165491972272856e-20
26,GZMK,9.812735,4.2258377,9.924204422575913e-23,4.4421261321998346e-20
27,CD2,9.759528,2.7730212,1.679350166696039e-22,7.324119739828956e-20
28,RPS12,9.586146,0.37481087,9.14366741669968e-22,3.7932838802596304e-19
29,AC092580.4,9.3571825,3.7048767,8.189112460562987e-21,3.1656503145844514e-18
30,RPS27A,9.33213,0.3568441,1.037634349954726e-20,3.922027257417763e-18
31,NKG7,9.227823,2.9859796,2.761867475544105e-20,9.786792477402017e-18
32,TRBC2,9.183393,2.471847,4.1771938361505856e-20,1.393135097236967e-17
33,CXCR4,9.140087,2.2226431,6.240230225953894e-20,2.0411553060240343e-17
34,JUNB,9.07558,1.8501923,1.1307438422099227e-19,3.6288343419148257e-17
35,BTG1,8.991101,1.4189856,2.447658609993774e-19,7.569495508615292e-17
36,RPLP2,8.8972025,0.2957344,5.727184006236836e-19,1.7395298707514703e-16
37,CST7,8.727582,3.0071032,2.6017451038192067e-18,7.500522452688286e-16
38,TRBC1,8.584275,2.6013353,9.141116242963788e-18,2.591354102942851e-15
39,RPL36AL,8.530169,0.97042036,1.461350196940869e-17,4.009049274156007e-15
40,ID2,8.494694,2.2973726,1.984559031028931e-17,5.357994374408109e-15
41,RPL41,8.168754,0.22216228,3.115917204155371e-16,8.153636265458263e-14
42,HLA-A,8.150267,0.76279557,3.6312400547962244e-16,9.358145771519543e-14
43,SARAF,7.983918,1.3754647,1.4175991153359865e-15,3.348881021215249e-13
44,RPS15A,7.9606028,0.32559153,1.712032673028211e-15,3.9890361281557315e-13
45,CD3G,7.8292017,2.2712197,4.909774519394622e-15,1.098820457899778e-12
46,RPS19,7.7161407,0.30131844,1.1990478588710609e-14,2.6486500040958276e-12
47,RPL14,7.695156,0.46774444,1.4132160004113393e-14,3.081716788589291e-12
48,GZMM,7.6325793,2.3396533,2.30102707721425e-14,4.954198678017364e-12
49,CD52,7.6278763,1.7598239,2.3865247366793346e-14,5.074049905772351e-12
50,CLEC2D,7.521799,2.0841436,5.402749478103374e-14,1.0983487540091241e-11
51,RPS25,7.5032673,0.4026234,6.224639714577662e-14,1.245587022414723e-11
52,LCK,7.485069,2.0597608,7.150962932631884e-14,1.414310796757392e-11
53,MYL12A,7.40461,1.2015954,1.3153609894158213e-13,2.5716063297670923e-11
54,HLA-E,7.3911815,1.2849642,1.4552966368686347e-13,2.8128568746021145e-11
55,TRGC2,7.2326703,3.087997,4.735880238343472e-13,8.851932634503749e-11
56,FYN,7.032795,2.3085723,2.0243668018558665e-12,3.6244689402912033e-10
57,CD27,7.004879,2.005783,2.471991437705163e-12,4.3346497282399087e-10
58,LAT,6.994412,2.0802903,2.6637424253848247e-12,4.62322397075209e-10
59,EVL,6.988909,1.6828146,2.7703291153285096e-12,4.759649285113396e-10
60,GZMA,6.9660683,2.5829105,3.2592156963856196e-12,5.5435999779823e-10
61,RPL13,6.9350076,0.2534208,4.061996291681488e-12,6.77357793384416e-10
62,RPL35A,6.845029,0.30306926,7.646045173294489e-12,1.2385864985958664e-09
63,RPS28,6.822905,0.22373839,8.921761592220779e-12,1.431606065302672e-09
64,RPS18,6.573954,0.27078098,4.8996368401022236e-11,7.375037434805197e-09
65,RPL31,6.568159,0.43882963,5.094107658969323e-11,7.534406710557323e-09
66,MT-CYB,6.424041,0.28586403,1.3270381099814316e-10,1.9291958301430913e-08
67,ISG20,6.226182,1.6966239,4.779387079546427e-10,6.663327445574196e-08
68,RPS4X,6.1345534,0.29388827,8.539881039458375e-10,1.180933630895508e-07
69,CALM1,6.097845,1.1602157,1.0750782527998373e-09,1.4570554542084748e-07
