,names,scores,logfoldchanges,pvals,pvals_adj
0,CD74,67.34269,7.0075965,0.0,0.0
1,HLA-DRA,63.2269,7.5003858,0.0,0.0
2,HLA-DPB1,58.812057,7.195547,0.0,0.0
3,CD79B,57.06213,8.564974,0.0,0.0
4,CD79A,55.954727,8.736073,0.0,0.0
5,CD37,54.867085,4.6608133,0.0,0.0
6,MS4A1,53.61093,8.612342,0.0,0.0
7,IGHD,53.33465,9.881172,0.0,0.0
8,HLA-DPA1,53.040707,6.7418165,0.0,0.0
9,HLA-DQB1,49.3111,6.40891,0.0,0.0
10,RPL18A,46.68341,0.70209867,0.0,0.0
11,CD52,46.240463,3.3299623,0.0,0.0
12,HLA-DRB1,44.07796,5.5475388,0.0,0.0
13,HLA-DRB5,43.683002,5.5788174,0.0,0.0
14,BTG1,43.28865,2.622153,0.0,0.0
15,IGKC,42.31274,4.049143,0.0,0.0
16,TCL1A,42.09009,9.335649,0.0,0.0
17,CXCR4,42.02056,4.463267,0.0,0.0
18,HLA-DQA1,39.492046,5.920038,0.0,0.0
19,LTB,39.482204,4.326083,0.0,0.0
20,IGHM,39.27997,5.693894,0.0,0.0
21,RPL8,38.90532,0.68451846,0.0,0.0
22,MEF2C,34.902836,4.711498,6.733097640392538e-267,4.241602139460618e-264
23,RPS27,34.336887,0.624667,2.2105143888581616e-258,1.296504801382361e-255
24,RPS11,33.397846,0.81107515,1.4732328252065456e-244,8.35273904131271e-242
25,VPREB3,32.498642,6.55565,1.1144898527039314e-231,6.114954162787474e-229
26,IGLC2,31.956142,4.2766886,4.438983284135943e-224,2.2206666670549486e-221
27,RPS5,31.568329,1.0113851,1.0049229637779396e-218,4.883638483113993e-216
28,HLA-DMA,30.20131,4.062887,2.2767128825921588e-200,1.0190686689476323e-197
29,LAPTM5,29.908503,2.403092,1.5255840204524164e-196,6.653502206121833e-194
30,LINC00926,29.641018,6.3588786,4.42769198708243e-193,1.8827653252071265e-190
31,FCER2,29.307089,7.6244226,8.424129087903336e-189,3.4947807721011665e-186
32,RPL13A,28.99471,0.43053186,7.671693808828277e-185,3.1068533331990516e-182
33,BIRC3,28.980762,4.8798113,1.149963429224795e-184,4.548773945973148e-182
34,BANK1,28.852648,5.5091815,4.69380294255271e-183,1.814474869315433e-180
35,FAU,27.553041,0.5251372,4.0692242677311005e-167,1.3571261876438881e-164
36,TSC22D3,27.410042,2.3428717,2.0820231484014093e-165,6.81021764060761e-163
37,PLPP5,27.375853,5.38074,5.3181048172151085e-165,1.7067102799247505e-162
38,RPS19,27.159916,0.4512585,1.9336381038093792e-162,5.979863728671588e-160
39,RPS23,26.699442,0.5164658,4.777495651686919e-157,1.4010417851645312e-154
40,HVCN1,26.562874,5.126453,1.8236600387107875e-155,5.257395525157929e-153
41,RPL12,24.099789,0.43928212,2.5124410252088067e-128,6.378225283250238e-126
42,RPL15,24.004185,0.4920024,2.5145866770814734e-127,6.289794822129233e-125
43,RPSA,23.66212,1.1154495,8.8561121784973e-124,2.15190874348658e-121
44,RPL35,23.184063,0.42738324,6.593704555741015e-119,1.557671122063874e-116
45,RPL13,22.94512,0.3632203,1.648410428379125e-116,3.788893645446019e-114
46,IGLC3,22.595135,3.630899,4.838485249780693e-113,1.0828657317568395e-110
47,RP11-231C14.7,22.571241,5.782762,8.307926140267366e-113,1.8351885158416574e-110
48,RPS17,22.060907,0.4719136,7.506193205647733e-108,1.5959105029357789e-105
49,RPLP2,22.013319,0.3511221,2.146889571122985e-107,4.5082030512630685e-105
50,RPS8,22.000929,0.48238304,2.8214477297154484e-107,5.8524395652109825e-105
51,ARHGAP24,21.897175,4.4394546,2.7639558686622415e-106,5.66411149037061e-104
52,RPL21,21.8607,0.3750021,6.149258407471679e-106,1.2451516220557832e-103
53,TNFRSF13C,21.539782,5.17173,6.601809019126492e-103,1.3056996465851454e-100
54,HLA-DMB,21.483992,3.3479776,2.197814347555223e-102,4.296853360639861e-100
55,SEC62,21.2764,2.096533,1.8782058352625715e-100,3.630273074088759e-98
56,RPL23A,21.143171,0.5104524,3.1891650860536357e-99,6.094888645919808e-97
57,MARCH1,21.068634,3.40251,1.5431812835303094e-98,2.884392357315059e-96
