,names,scores,logfoldchanges,pvals,pvals_adj
0,SOX4,17.419046,9.134968,5.915409570582714e-68,1.0061520138604138e-63
1,IGLL1,15.619202,10.170307,5.387565123457096e-55,4.581854759244087e-51
2,PTMA,15.4733925,1.191248,5.24676527489318e-54,2.974741018688603e-50
3,VPREB1,14.6644945,11.25396,1.0882426198147654e-48,4.627479680107336e-45
4,DNTT,13.292433,12.269723,2.5611492361590666e-40,7.260431226304926e-37
5,ACTG1,13.132714,3.059517,2.1385197267544225e-39,5.196297433195139e-36
6,HNRNPA1,12.930231,2.3596647,3.039035040611951e-38,6.461368375721083e-35
7,STMN1,12.825171,6.2601857,1.1852391527092664e-37,2.239970305381324e-34
8,H3F3B,12.619887,1.9102226,1.6405547530695324e-36,2.7904195794959678e-33
9,HMGB1,12.028527,2.9448278,2.5160954147953614e-33,3.890569719114028e-30
10,MZB1,11.908515,6.744487,1.0686341796611552e-32,1.5146998968213822e-29
11,HLA-DRA,11.6099825,5.5857234,3.6668980539024005e-31,4.644564760618587e-28
12,CD74,11.548387,4.8909974,7.521904876494612e-31,8.529338669619789e-28
13,H3F3A,11.143828,2.077589,7.674742260852909e-29,7.252205061935952e-26
14,SNHG7,10.753854,5.031504,5.683606045684456e-27,4.833622761552346e-24
15,CD79B,10.139405,5.615245,3.693429686882801e-24,2.991502168770932e-21
16,BTF3,9.997037,1.6787598,1.5702490548557272e-23,1.1612333119148288e-20
17,ADA,9.842382,5.8633604,7.393893307216751e-23,4.657878935646286e-20
18,TCF4,9.780912,5.6266,1.3597886556650673e-22,8.260230444359689e-20
19,LAT2,9.765766,5.2029295,1.5791400159801344e-22,9.261928459243485e-20
20,UBE2J1,9.637841,5.018792,5.533962206275027e-22,3.137572105551064e-19
21,ZCCHC7,9.549156,5.393447,1.3075706004717903e-21,6.9501463573202125e-19
22,CD79A,9.407992,5.0823283,5.0570366934794445e-21,2.529856974099761e-18
23,KIAA0125,9.3161955,5.731109,1.2058665770989688e-20,5.697384613854545e-18
24,VPREB3,9.304108,6.232478,1.3512235348934415e-20,6.211611109460148e-18
25,RCSD1,9.043674,4.314761,1.5149185653127127e-19,6.780855230895771e-17
26,PRDX1,8.886665,4.0743155,6.297041451925673e-19,2.6123506842878968e-16
27,HLA-DPB1,8.787713,4.337977,1.5263574477063819e-18,6.181384244770916e-16
28,BCL11A,8.735549,5.0143824,2.4247477143669897e-18,9.373303153106394e-16
29,H2AFY,8.678959,3.5703225,3.994089602978939e-18,1.5096771123793059e-15
30,GNB2L1,8.645068,0.78843915,5.377314422669548e-18,1.9883204568518773e-15
31,MSI2,8.445076,4.919514,3.0384832833647036e-17,1.0766992118072967e-14
32,SLC25A5,8.353293,3.4818337,6.638536639259816e-17,2.258297393943404e-14
33,SPINK2,8.302893,5.711712,1.016067728594484e-16,3.3886854893458e-14
34,SRP14,8.253176,2.3940895,1.5423966634461199e-16,5.0451201631836634e-14
35,ITM2C,8.176603,4.628218,2.9195683884544373e-16,9.196099762818801e-14
36,CD38,8.045139,5.7240005,8.614735902397163e-16,2.5263455683426437e-13
37,NPM1,8.033449,1.6429886,9.476982299374464e-16,2.7321015581366146e-13
38,RPL15,7.9718776,0.40573153,1.5628145363180265e-15,4.4303187413722185e-13
39,RPS24,7.8862367,0.4382974,3.1143575140937614e-15,8.683951960200129e-13
40,UHRF1,7.872867,5.898143,3.466052688434406e-15,9.508724222190454e-13
41,YBX3,7.833782,4.2472405,4.734090416400116e-15,1.2781292681357076e-12
42,NAP1L1,7.831156,2.0883057,4.834055463254304e-15,1.2847257714764446e-12
43,SSBP2,7.6565676,4.7975593,1.909681982034221e-14,4.9971970511415485e-12
44,SNRPE,7.642518,3.2721653,2.1301378588157843e-14,5.4101680784386284e-12
45,ZFAS1,7.640552,2.2012942,2.1629221549404828e-14,5.4101680784386284e-12
46,IGFBP7,7.4804068,4.6942983,7.409297659807287e-14,1.800353484223745e-11
47,DDAH2,7.45492,4.241483,8.992257657691935e-14,2.095196034242221e-11
48,MYB,7.452206,5.1132374,9.179228021864287e-14,2.109857965187698e-11
49,SOCS2,7.4361954,5.737029,1.0362660685464363e-13,2.3391229865685758e-11
50,CDK6,7.3198,4.62387,2.483407824243239e-13,5.415420984942725e-11
