,names,scores,logfoldchanges,pvals,pvals_adj
0,KLF1,39.662178,11.565857,0.0,0.0
1,KIAA0101,39.254707,9.435985,0.0,0.0
2,TUBA1B,38.926514,7.3102217,0.0,0.0
3,CA1,38.56386,10.313815,0.0,0.0
4,TUBB,38.429745,7.5982385,0.0,0.0
5,BLVRB,38.387978,8.139558,0.0,0.0
6,HMGB1,38.35175,4.0003843,0.0,0.0
7,PRDX2,38.274464,7.948625,0.0,0.0
8,MPC2,37.659832,7.84722,2.2586903463208e-310,2.9552357000438854e-307
9,YBX1,37.58928,3.6701305,3.21760519500574e-309,3.9091604829894714e-306
10,NME4,37.250343,8.31716,1.0460440418597411e-303,1.186144207199489e-300
11,UROD,37.02381,8.273918,4.7403545260865445e-300,5.039293133387877e-297
12,HMGA1,36.993702,7.7696447,1.445776320863384e-299,1.4465417318567824e-296
13,TMEM14C,36.572067,7.0905,7.953470791874857e-293,7.515588038833303e-290
14,HBD,36.503937,9.476622,9.60446050495437e-292,8.598014143619415e-289
15,AHSP,36.307526,10.102984,1.2308960605747819e-288,1.0468155547158233e-285
16,RP11-620J15.3,36.031223,8.330167,2.714774863715893e-284,2.1988383646163628e-281
17,GLRX5,35.84181,7.580844,2.4673418944441543e-281,1.8246529688087225e-278
18,HMBS,35.745663,8.901837,7.725805346700341e-280,5.475342630917754e-277
19,SMIM1,35.41603,9.604794,9.675289965388958e-275,6.582680280852031e-272
20,REXO2,34.549778,7.6219845,1.4363219100138166e-261,9.048296062009262e-259
21,GATA1,34.522007,10.377395,3.7511506159448945e-261,2.278690029521668e-258
22,HIST1H4C,34.429863,7.560387,9.014259255853804e-260,5.287018471821288e-257
23,TFRC,34.39293,7.992039,3.216493309248022e-259,1.8236444898999866e-256
24,YBX3,34.390945,7.238935,3.443675389898492e-259,1.8894669260252724e-256
25,FBXO7,34.26434,7.2158194,2.6674753074836576e-257,1.4178464845309228e-254
26,APOC1,34.254005,10.747025,3.8016880428351465e-257,1.9594821794116062e-254
27,KCNH2,34.002533,10.69172,2.043784399687226e-253,1.0224332015964713e-250
28,CNRIP1,33.966927,10.703942,6.861314464742697e-253,3.3344027923088154e-250
29,H2AFZ,33.86099,5.5877757,2.5009354761474757e-251,1.1816225420497894e-248
30,STRADB,33.74765,7.7372904,1.1574200900353322e-249,5.3206914355164766e-247
31,FAM178B,33.4448,10.670611,3.062862707182949e-245,1.3709534680651257e-242
32,TFDP1,33.421246,7.115774,6.737198405952215e-245,2.938282248380544e-242
33,CKS2,33.405945,7.7630777,1.1238648738368057e-244,4.778954409772557e-242
34,STMN1,33.345345,7.0709944,8.509740496590539e-244,3.530296978207524e-241
35,SLC25A37,33.28274,7.1834455,6.861640455240452e-243,2.7141777326322056e-240
36,HMGB2,33.263107,5.540936,1.3194988672272524e-242,5.100762780151895e-240
37,GYPC,33.187298,6.2323556,1.6417597621167777e-241,6.205487065298727e-239
38,FECH,33.10705,8.399546,2.3527084765149413e-240,8.699395321096225e-238
39,HBB,33.087734,7.159792,4.4616399193689993e-240,1.614639008266964e-237
40,ATPIF1,33.006245,5.879793,6.60852606024532e-239,2.34175874497318e-236
41,TYMS,32.985664,8.045165,1.3039761331976582e-238,4.526393887665096e-236
42,TFR2,32.956924,10.301129,3.3666511999765414e-238,1.1452674052080198e-235
43,LINC00152,32.754383,6.883531,2.6298427332311516e-235,8.770783343044835e-233
44,SYNGR1,32.61053,7.4669886,2.9084480052395874e-233,9.513421561753873e-231
45,HSP90AA1,32.590405,5.1706805,5.6086992211899e-233,1.7999691519475284e-230
46,IDH2,32.574368,6.7862124,9.46261070066268e-233,2.9805471371772507e-230
47,HSPD1,32.556774,6.7076626,1.6791098768740574e-232,5.192723617409244e-230
48,CA2,32.4796,9.377911,2.0701579113361875e-231,6.287734984628074e-229
49,HNRNPAB,32.214783,6.9086466,1.0958609700279103e-227,3.2137067653801254e-225
50,RAN,32.19167,5.729607,2.3083536402696407e-227,6.65470967243158e-225
51,CAT,32.141155,6.6065454,1.173974220197231e-226,3.328021251889117e-224
52,CENPU,32.085052,8.139248,7.126262817686109e-226,1.987059086328246e-223
53,NFIA,32.006893,8.477887,8.743705085742431e-225,2.3606615841808414e-222
54,MPST,31.96204,6.970565,3.6757690283537243e-224,9.768930531760703e-222
55,CDK6,31.805834,7.2240295,5.375921689890622e-222,1.4067546465130705e-219
56,RANBP1,31.739962,6.0338964,4.3681330815613403e-221,1.1257208421860128e-218
57,CDK4,31.663498,6.9462085,4.944073873786272e-220,1.2551306346153836e-217
58,TMEM14B,31.622952,5.99428,1.7859283661203955e-219,4.467184644020854e-217
59,ANK1,31.59185,10.358513,4.77756559000566e-219,1.1777045379769027e-216
60,DNAJC9,31.589853,6.91512,5.0891151094186534e-219,1.2365822699443126e-216
