,names,scores,logfoldchanges,pvals,pvals_adj
0,TRAC,15.59839,4.783486,7.46531174511352e-55,1.2697748747263587e-50
1,IL32,15.024572,4.6599054,5.0687033831266914e-51,2.873785861453396e-47
2,CD3D,11.544178,3.6506767,7.89932183482404e-31,1.679494563606526e-27
3,CD52,10.996246,2.3943408,3.983727799779614e-28,7.5288029051612735e-25
4,MALAT1,10.491692,0.65346074,9.432469182518872e-26,1.604368683254635e-22
5,RPL30,10.003006,0.5784223,1.4783948761603424e-23,1.6764012299074174e-20
6,TRBC2,9.822863,3.1111221,8.97581075665386e-23,9.541847822495344e-20
7,LDHB,9.794705,2.5251455,1.1864221672277335e-22,1.1870502730809717e-19
8,RPS27,9.766852,0.45174992,1.562310330357025e-22,1.3985966531075072e-19
9,RPL36,9.760304,0.4375525,1.666546266564708e-22,1.417314272399956e-19
10,B2M,9.686313,0.49529335,3.4475050599197674e-22,2.7923149316273964e-19
11,CD3E,9.6582,3.1213346,4.537639326443746e-22,3.4785503428477274e-19
12,SARAF,9.008941,2.0272498,2.0805693565771214e-19,1.4155361674408103e-16
13,EVL,8.969014,2.5874104,2.9918010308908925e-19,1.8496626726091823e-16
14,RPS6,8.967076,0.4612151,3.0448912242375863e-19,1.8496626726091823e-16
15,RPL32,8.467883,0.29842776,2.4989343474625447e-17,1.2880113429088007e-14
16,RPL11,7.9925723,0.34097,1.3215188053825144e-15,6.24380926687533e-13
17,RPL34,7.8882456,0.28871736,3.06464726052478e-15,1.3488290339693073e-12
18,SRSF5,7.8871064,1.560187,3.0927351593158315e-15,1.3488290339693073e-12
19,TRBC1,7.76454,2.8608382,8.194205470514676e-15,3.399396118243515e-12
20,RPL13A,7.732304,0.29912904,1.0561740280672776e-14,4.2772533436657914e-12
21,RPL13,7.6536174,0.27691847,1.9540279506456784e-14,7.553650321030078e-12
22,RPS15A,7.4906864,0.35440826,6.851437677740322e-14,2.533393553493155e-11
23,CD3G,7.4415774,2.5841346,9.948999880726405e-14,3.600479552580328e-11
24,RPS29,7.3426695,0.34603536,2.0937489709981743e-13,7.267872703613866e-11
25,RPL35A,7.3182664,0.33210072,2.511946476031362e-13,8.545139522163487e-11
26,RPS15,7.259652,0.26748174,3.880873527708757e-13,1.2694188044768894e-10
27,RPS28,7.129402,0.26241547,1.0080574927119265e-12,3.1174636170067564e-10
28,HSPA8,7.1218004,1.7862526,1.0652619520046306e-12,3.235542953865493e-10
29,RPL5,7.1138077,0.69052535,1.1288436750934615e-12,3.3685091350288924e-10
30,RPL31,7.0785866,0.49001688,1.4563197795499042e-12,4.270783298338676e-10
31,RPL3,7.0271525,0.45288792,2.1079099910245274e-12,5.975573506222697e-10
32,KLF2,6.9219584,1.8968545,4.45441617803788e-12,1.2026216630515287e-09
33,RPS3,6.7941394,0.41331223,1.0896088988092994e-11,2.808054206037481e-09
34,RPS4X,6.7174826,0.35064468,1.8489057862442114e-11,4.557686741772144e-09
35,CD27,6.6767745,2.2837353,2.4425811009934693e-11,5.935123135256846e-09
36,RPS12,6.5798826,0.2920315,4.708191873470636e-11,1.1122449385536396e-08
37,RPS18,6.4297853,0.2759292,1.2778414918041934e-10,2.937135937040206e-08
38,LTB,6.3855247,2.3049097,1.7081085614125097e-10,3.822791910666497e-08
39,RPS7,6.362036,0.49143323,1.9909675471368527e-10,4.397969741461133e-08
40,RPL21,6.3222117,0.25279573,2.578456817373604e-10,5.5515154438870415e-08
41,PIK3IP1,6.301001,2.270209,2.9572956933698555e-10,6.287580306065984e-08
42,RPL10,6.288881,0.22795664,3.1976250178529333e-10,6.714617768970438e-08
43,AES,6.2812486,1.71478,3.358645213922371e-10,6.966731273610439e-08
44,RPL14,6.2401323,0.5543598,4.37200413958542e-10,8.852787905977192e-08
45,RPS25,6.1750517,0.35985208,6.614178700973881e-10,1.2931099485616636e-07
46,RPL6,6.1526647,0.41581511,7.619179046069991e-10,1.472666095393233e-07
47,ITGB1,5.9494333,2.1777356,2.6907257575816924e-09,5.029291693484287e-07
48,HLA-A,5.848465,0.44225267,4.961295469681103e-09,9.172464635196292e-07
49,BTG1,5.646723,1.1230421,1.6353520820015522e-08,2.884937046930926e-06
50,RPL37,5.597682,0.33890098,2.1723684856525786e-08,3.6699621680660732e-06
51,RPL18A,5.574285,0.23188664,2.4854841433509347e-08,4.144666646495691e-06
52,HLA-E,5.3939133,0.95116186,6.893948441154005e-08,1.1384385343261016e-05
