,names,scores,logfoldchanges,pvals,pvals_adj
0,CST3,33.889507,8.55122,9.50984611982153e-252,1.617529726520444e-247
1,HLA-DPB1,33.602676,8.048059,1.5331510280553043e-247,1.3038682918096336e-243
2,HLA-DRA,32.895138,7.5669446,2.579575937086824e-237,1.4625335704636596e-233
3,HLA-DRB5,32.05091,7.637832,2.1321946230648124e-225,9.066624585927348e-222
4,CD74,31.902454,6.5765276,2.46876433702812e-223,8.39824252170226e-220
5,HLA-DPA1,31.408499,7.7231336,1.549007668246068e-216,4.391178571532895e-213
6,HLA-DRB1,30.965527,7.410991,1.5702411375508684e-210,3.815461644086103e-207
7,HLA-DQA1,29.386097,8.201554,8.267550505227886e-190,1.7577845817927638e-186
8,HLA-DQB1,29.035854,7.3054786,2.3217974796634956e-185,4.387939259066267e-182
9,ACTB,27.327236,1.5133506,2.013775979510612e-164,3.4252315635496e-161
10,COTL1,26.736607,5.776471,1.7675141380329766e-157,2.7330589067093545e-154
11,HLA-DMA,25.88943,6.5546465,8.759968192680795e-148,1.2416524915775636e-144
12,VIM,25.147495,4.3871155,1.505191954703687e-139,1.969369996735001e-136
13,S100A10,24.026798,5.059766,1.4595431129393674e-127,1.7732406291418357e-124
14,FCER1G,23.97214,6.480934,5.431305460148043e-127,6.158738304777203e-124
15,ARPC1B,23.877588,4.334769,5.236328238606136e-126,5.566544188153235e-123
16,LGALS2,23.81423,6.643138,2.3786628196518996e-125,2.3722391038276655e-122
17,CLEC10A,23.81197,9.402259,2.510453516896818e-125,2.3722391038276655e-122
18,GAPDH,23.740618,3.5995114,1.3734614270749804e-124,1.2295371270062284e-121
19,FTH1,23.671314,1.9141821,7.121896475602498e-124,6.056816857676145e-121
20,FCER1A,23.617939,9.177431,2.521465541635321e-123,2.0422670189369128e-120
21,ANXA2,23.472155,5.985,7.853488738705109e-122,6.0718177253016e-119
22,AP1S2,23.362865,5.8489814,1.0198992175176479e-120,7.542376430764205e-118
23,GRN,23.010406,6.0271587,3.667216641642289e-117,2.5989869940705706e-114
24,TMSB10,22.990276,0.8766714,5.831801378874398e-117,3.967724386130986e-114
25,LYZ,22.82038,7.1521997,2.8778877419960656e-115,1.8826920232158106e-112
26,RPS24,22.793406,0.8696375,5.330422208476391e-115,3.3579685682953676e-112
27,LGALS1,22.645935,5.9582124,1.529953805387979e-113,9.29392295565862e-111
28,GSTP1,22.504564,4.983219,3.7446526292459596e-112,2.1963033300291215e-109
29,LST1,22.376755,6.216829,6.6298438684985425e-111,3.758900478643057e-108
30,C1orf162,22.368446,5.444567,7.986939951131442e-111,4.3822536009288615e-108
31,CFP,22.350721,6.062874,1.1881093532624047e-110,6.3151724967625756e-108
32,HLA-DMB,22.234543,6.0227594,1.59179306223228e-109,8.204487331972379e-107
33,SPI1,20.996191,5.670101,7.106090651283736e-98,3.453357025362431e-95
34,FOS,20.952665,5.6416383,1.774178407331707e-97,8.382500147306947e-95
35,SLC25A6,20.87491,2.648664,9.054035365508942e-97,4.1621645278903134e-94
36,SAMHD1,20.752993,5.4319625,1.1519273367156597e-95,5.156087386893857e-93
37,RNASE6,20.531712,5.598154,1.121538426651066e-93,4.769061774726996e-91
38,FCGRT,20.469355,5.280808,4.039343998240298e-93,1.675736635757786e-90
39,CEBPD,20.15985,5.4766507,2.2055680285040324e-90,8.932025380196449e-88
40,CSTA,19.701006,5.542019,2.113810592039989e-86,8.361349851164691e-84
41,GPX1,19.645397,4.88187,6.329890438362514e-86,2.446934237866091e-83
42,MNDA,19.604113,5.543726,1.4261925186677258e-85,5.3906907888931885e-83
43,ACTG1,19.591364,3.0045,1.8321536429835612e-85,6.774587242066824e-83
44,AIF1,19.53487,5.267507,5.548772269394031e-85,2.0080652665983632e-82
45,RNF130,19.424234,5.123749,4.81514911039075e-84,1.7062681503882555e-81
46,TMSB4X,19.391985,0.7454035,9.018752650799315e-84,3.130611506886644e-81
47,RAC1,19.31506,4.5689178,4.012618570813102e-83,1.3650125854192012e-80
48,CPVL,19.11499,5.4818068,1.8945729916027384e-81,6.31858666944529e-79
49,YBX1,18.970324,2.825777,3.000541545553033e-80,9.814655990059912e-78
50,LSP1,18.64176,4.309955,1.4731205617714273e-77,4.727605214183058e-75
51,JAML,18.520063,4.960847,1.4227047394184185e-76,4.481256465327385e-74
52,S100A11,18.449644,5.029727,5.248932557118432e-76,1.5942695332862036e-73
53,SLC25A5,18.40129,4.5664215,1.2827102460652935e-75,3.827652381635891e-73
54,TYROBP,18.363905,5.9272738,2.555549656758912e-75,7.494369674450402e-73
55,SH3BGRL3,18.02221,2.6991076,1.30431622215505e-72,3.76018891909072e-70
56,FKBP1A,17.960783,4.263721,3.951881526848033e-72,1.1202925481693032e-69
57,SRGN,17.887829,4.3829355,1.4671297654215405e-71,4.090886914763112e-69
58,PYCARD,17.800917,4.682333,6.952189627828458e-71,1.9072547319311974e-68
59,CTSZ,17.64658,4.88418,1.0810760723707152e-69,2.9187337960243645e-67
60,H2AFY,17.384571,4.4201374,1.0799071463785432e-67,2.8700219769926e-65
61,GLIPR1,16.986404,4.5573225,1.03543828239727e-64,2.6286223500440543e-62
62,PFN1,16.925718,1.6811619,2.9077893460875498e-64,7.167911447478716e-62
63,LY86,16.856396,4.8826323,9.415984462615968e-64,2.2879497103519284e-61
64,OAZ1,16.837502,2.2851162,1.2959472959731796e-63,3.1046151489025084e-61
65,CTSH,16.804865,4.9323697,2.2482385072385563e-63,5.311151218002862e-61
66,CSTB,16.695772,4.178469,1.406888054872078e-62,3.278049167851941e-60
67,ARPC2,16.693546,3.0048468,1.4603432895643327e-62,3.3566187854323963e-60
68,S100A6,16.63952,2.7410805,3.604962679984721e-62,8.068001345244752e-60
69,ARPC3,16.522045,3.3459258,2.5461922588369143e-61,5.623385975088797e-59
70,TNFSF13B,16.510782,4.5587187,3.0688215735148993e-61,6.607289385305686e-59
71,NPC2,16.506536,4.36504,3.2924839100335465e-61,7.000232353220074e-59
72,CNPY3,16.184233,4.244224,6.515636644920638e-59,1.3515178499201844e-56
73,CFL1,16.044275,2.1865518,6.268642437426468e-58,1.2846185447974312e-55
74,SLC25A3,15.923326,4.0064497,4.3654137077111833e-57,8.735449618171708e-55
75,AP2S1,15.901971,4.07673,6.140195581950438e-57,1.2004435247516665e-54
76,CD1C,15.85769,7.07462,1.243848673945509e-56,2.4041616017203593e-54
77,FGL2,15.856301,4.468868,1.2716685371436687e-56,2.4303157469973778e-54
78,PRELID1,15.804917,3.9563735,2.8776546938216834e-56,5.438447631912557e-54
79,MEF2C,15.6027975,4.2228365,6.967278300806842e-55,1.3022685342683911e-52
80,EIF3L,15.601961,3.5025997,7.059165158295988e-55,1.305101523668005e-52
81,TIMP1,15.580486,4.2044687,9.880032780427906e-55,1.8069836297021316e-52
82,RAB32,15.560056,4.6703663,1.3598002687557876e-54,2.46051518843268e-52
83,FCN1,15.408432,4.789576,1.4365585292423537e-53,2.5190127859673396e-51
84,RNASET2,15.36572,3.6730072,2.779361842779712e-53,4.823894447330625e-51
85,H3F3A,15.337786,1.9364523,4.27528996846021e-53,7.34529364379189e-51
86,TYMP,15.299106,4.280567,7.751430311510784e-53,1.3184407816848692e-50
