,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,MCC
CD14_Mono,0.9791770781276029,0.9284660766961652,0.9782439782439782,0.9527052591751798,0.9964820779070143,0.9857896128125796,0.9398930937973655
CD16_Mono,0.9983341662502082,0.9629629629629629,0.9176470588235294,0.9397590361445782,0.9974574081068723,0.9683602071726297,0.9391953406109458
CD4_Memory,0.9415292353823088,0.7701543739279588,0.6741741741741741,0.7189751801441152,0.9639141671182143,0.8079294674224136,0.6884001352684185
CD4_Naive,0.9052140596368482,0.7115117891816921,0.5869565217391305,0.6432601880877744,0.9401906777676005,0.7285913023259245,0.5928135984003208
CD56_bright_NK,0.9960019990004998,1.0,0.04,0.07692307692307693,0.9792372030779524,0.2964626108345121,0.19959973275423362
CD8_Effector_1,0.9810094952523738,0.5,0.11403508771929824,0.1857142857142857,0.9694568821442296,0.36580199244637,0.23243088516832489
CD8_Effector_2,0.9910044977511244,0.5897435897435898,0.3770491803278688,0.45999999999999996,0.980340008056017,0.5178848380730745,0.46732119688661766
CD8_Memory_1,0.98584041312677,0.6666666666666666,0.06818181818181818,0.12371134020618554,0.9467628525320833,0.33303820399203576,0.210215626382115
CD8_Memory_2,0.9816758287522905,0.5,0.01818181818181818,0.03508771929824561,0.9599679126236058,0.3697494145828838,0.09273617910124933
CD8_Naive,0.9663501582542062,0.8995756718528995,0.8292046936114733,0.8629579375848031,0.9818977134530474,0.9247976756388211,0.8447240074047675
GMP,0.9918374146260204,0.889763779527559,0.7635135135135135,0.8218181818181819,0.9963498511320885,0.9035276181213817,0.8201741060171261
HSC,0.9965017491254373,0.8780487804878049,0.6923076923076923,0.7741935483870966,0.980064759639621,0.84632145509364,0.7780016240000562
LMPP,0.9936698317507913,0.7021276595744681,0.5789473684210527,0.6346153846153846,0.9895521683455191,0.6854383175844596,0.6344433580946279
MAIT,0.9888389138763951,0.7093023255813954,0.5922330097087378,0.6455026455026455,0.9860457462563765,0.7023227357660581,0.6425675267409218
Memory_B,0.9441945693819757,0.4804270462633452,0.4166666666666667,0.44628099173553726,0.9674156900341089,0.46951445945430903,0.4182263221739852
NK,0.9896718307512911,0.8481481481481481,0.916,0.8807692307692307,0.9978286111593951,0.9468405679426652,0.8760878872229552
Naive_B,0.9821755788772281,0.8774373259052924,0.8333333333333334,0.8548168249660787,0.9933512051734275,0.9286796482950689,0.8456474810839741
Plasmablast,0.9975012493753124,0.8918918918918919,0.75,0.8148148148148148,0.9850989336221758,0.8629685714852393,0.8166631097825825
Prog_B_1,0.9975012493753124,0.8823529411764706,0.5357142857142857,0.6666666666666667,0.9835385534967125,0.7497673305442353,0.6864626904300173
Prog_B_2,0.9995002498750625,1.0,0.88,0.9361702127659575,0.9995249247239879,0.9592619948090473,0.937847856659292
Prog_DC,0.9958354156255206,0.7647058823529411,0.75,0.7572815533980582,0.9884893295244497,0.800179692443851,0.7552176549642162
Prog_Mk,0.9973346660003332,0.7857142857142857,0.4583333333333333,0.5789473684210527,0.9943273680102581,0.6826447325351102,0.5989415833623049
Prog_RBC,0.9951690821256038,0.9411764705882353,0.8590604026845637,0.8982456140350877,0.9888701123306957,0.9521554236787854,0.8967559638889583
Treg,0.9903381642512077,0.0,0.0,0.0,0.7592442214552941,0.022706668423423962,0.0
cDC2,0.9920039980009995,0.8405797101449275,0.6105263157894737,0.7073170731707318,0.9873498913159676,0.7993663223277991,0.7126259857314844
gdT,0.9901715808762286,0.6458333333333334,0.4246575342465753,0.512396694214876,0.9815518954006791,0.5443347470543123,0.5190680906552516
pDC,0.9980009995002499,0.9193548387096774,0.890625,0.9047619047619047,0.9996211483414715,0.970900904159611,0.9038683619636152
