query,_id,_score,name,symbol,ensembl.gene,entrezgene,notfound,ensembl
MIR1302-2HG,ENSG00000243485,26.271759,MIR1302-2 host gene,MIR1302-2HG,ENSG00000243485,,,
MIR1302-2HG,107985730,26.271759,MIR1302-2 host gene,MIR1302-2HG,,107985730,,
FAM138A,645520,27.063152,family with sequence similarity 138 member A,FAM138A,ENSG00000237613,645520,,
OR4F5,79501,25.752413,olfactory receptor family 4 subfamily F member 5,OR4F5,ENSG00000186092,79501,,
OR4F5,81099,24.230534,olfactory receptor family 4 subfamily F member 17,OR4F17,ENSG00000176695,81099,,
AL627309.1,,,,,,,True,
AL627309.3,,,,,,,True,
AL627309.2,,,,,,,True,
AL627309.4,,,,,,,True,
AL732372.1,,,,,,,True,
OR4F29,729759,25.746635,olfactory receptor family 4 subfamily F member 29,OR4F29,ENSG00000284733,729759,,
AC114498.1,,,,,,,True,
OR4F16,81399,26.27205,olfactory receptor family 4 subfamily F member 16,OR4F16,ENSG00000284662,81399,,
AL669831.2,,,,,,,True,
AL669831.5,,,,,,,True,
FAM87B,400728,27.063547,family with sequence similarity 87 member B,FAM87B,ENSG00000177757,400728,,
LINC00115,ENSG00000225880,26.271315,long intergenic non-protein coding RNA 115,LINC00115,ENSG00000225880,,,
LINC00115,79854,26.271315,long intergenic non-protein coding RNA 115,LINC00115,,79854,,
FAM41C,284593,27.059961,family with sequence similarity 41 member C,FAM41C,ENSG00000230368,284593,,
AL645608.7,,,,,,,True,
AL645608.3,,,,,,,True,
AL645608.5,,,,,,,True,
AL645608.1,,,,,,,True,
SAMD11,148398,17.594423,sterile alpha motif domain containing 11,SAMD11,ENSG00000187634,148398,,
NOC2L,26155,17.558527,NOC2 like nucleolar associated transcriptional repressor,NOC2L,ENSG00000188976,26155,,
KLHL17,339451,17.56342,kelch like family member 17,KLHL17,ENSG00000187961,339451,,
PLEKHN1,84069,17.641476,pleckstrin homology domain containing N1,PLEKHN1,ENSG00000187583,84069,,
PERM1,84808,17.985003,"PPARGC1 and ESRR induced regulator, muscle 1",PERM1,ENSG00000187642,84808,,
AL645608.8,,,,,,,True,
HES4,57801,18.679907,hes family bHLH transcription factor 4,HES4,ENSG00000188290,57801,,
ISG15,9636,18.324299,ISG15 ubiquitin like modifier,ISG15,ENSG00000187608,9636,,
AL645608.2,,,,,,,True,
AGRN,375790,17.56117,agrin,AGRN,ENSG00000188157,375790,,
AL645608.9,,,,,,,True,
RNF223,401934,17.985003,ring finger protein 223,RNF223,ENSG00000237330,401934,,
C1orf159,54991,22.551395,chromosome 1 open reading frame 159,C1orf159,ENSG00000131591,54991,,
LINC01342,254099,27.062708,long intergenic non-protein coding RNA 1342,LINC01342,ENSG00000223823,254099,,
AL390719.2,,,,,,,True,
TTLL10-AS1,100506376,27.06384,TTLL10 antisense RNA 1,TTLL10-AS1,ENSG00000205231,100506376,,
