Gene	Weight	Tendency	Symbol
ENSG00000116251	0.118566796	1	RPL22
ENSG00000142676	9.560908e-07	1	RPL11
ENSG00000142669	-0.098708495	0	SH3BGRL3
ENSG00000169442	-0.0520751	0	CD52
ENSG00000142937	2.9499583e-06	1	RPS8
ENSG00000177606	-0.09765725	0	JUN
ENSG00000122406	0.07638292	1	RPL5
ENSG00000197747	-0.031969402	0	S100A10
ENSG00000197956	-0.37304634	0	S100A6
ENSG00000196154	-1.8128424	0	S100A4
ENSG00000158710	-0.049708113	0	TAGLN2
ENSG00000188404	0.029176814	1	SELL
ENSG00000009790	1.8246908e-07	1	TRAF3IP3
ENSG00000143947	1.2968203e-06	1	RPS27A
ENSG00000034510	0.13266037	1	TMSB10
ENSG00000153563	0.5867487	1	CD8A
ENSG00000172116	3.0864122	1	CD8B
ENSG00000071082	0.093371145	1	RPL31
ENSG00000136732	0.08587154	1	GYPC
ENSG00000114942	0.03708714	1	EEF1B2
ENSG00000197756	0.010850113	1	RPL37A
ENSG00000187514	0.010655669	1	PTMA
ENSG00000144713	0.1969336	1	RPL32
ENSG00000174748	8.890342e-07	1	RPL15
ENSG00000168028	9.456097e-07	1	RPSA
ENSG00000188846	0.009058627	1	RPL14
ENSG00000162244	8.4111343e-07	1	RPL29
ENSG00000156976	0.065670155	1	EIF4A2
ENSG00000182899	0.03375501	1	RPL35A
ENSG00000163682	0.006400075	1	RPL9
ENSG00000109475	0.09524298	1	RPL34
ENSG00000145425	0.010221111	1	RPS3A
ENSG00000145592	6.663395e-07	1	RPL37
ENSG00000145741	0.008049444	1	BTF3
ENSG00000019582	-0.31377396	0	CD74
ENSG00000164587	0.010287008	1	RPS14
ENSG00000181163	0.11345627	1	NPM1
ENSG00000120129	-0.050028693	0	DUSP1
ENSG00000204628	0.058845945	1	GNB2L1
ENSG00000206503	-0.0868689	0	HLA-A
ENSG00000204525	-0.053704657	0	HLA-C
ENSG00000234745	-0.107988305	0	HLA-B
ENSG00000227507	-0.4580274	0	LTB
ENSG00000213719	-0.26787055	0	CLIC1
ENSG00000204387	0.03290359	1	C6orf48
ENSG00000213654	2.679879e-07	1	GPSM3
ENSG00000231500	-0.023563791	0	RPS18
ENSG00000198755	0.08518847	1	RPL10A
ENSG00000156508	0.023836708	1	EEF1A1
ENSG00000112306	0.047544666	1	RPS12
ENSG00000075624	0.35138667	1	ACTB
ENSG00000106153	-0.025053894	0	CHCHD2
ENSG00000179144	0.05179407	1	GIMAP7
ENSG00000002586	-0.22221039	0	CD99
ENSG00000205542	-0.47140998	0	TMSB4X
ENSG00000198034	1.7017314e-06	1	RPS4X
ENSG00000133872	0.13685317	1	TMEM66
ENSG00000008988	0.019025996	1	RPS20
ENSG00000147604	0.067929894	1	RPL7
